 10 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF ; 36 ; Продано в зале ; 42000 
 11 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 61 ; Продано в зале ; 42000 
 12 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; AU ; 58 ; 439 ; 53061 
 13 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF- ; 21 ; ddv kv ; 12240 
 14 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF+ ; 28 ; kartem05 ; 15300 
 15 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 13 ; Продано в зале ; 7400 
 16 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 35 ; Продано в зале ; 28000 
 17 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU/XF ; 21 ; Продано в зале ; 10500 
 18 ; Рубль ; 1882 ; СПБ НФ ; Ag ; XF- ; 42 ; Fliege1 ; 20000 
 19 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 52 ; ДмитрийЩ ; 56100 
 20 ; Полтина ; 1829 ; СПБ НГ ; Ag ; XF ; 59 ; fgd ; 29260 
 21 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU ; 65 ; Продано в зале ; 21000 
 22 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 86 ; ДмитрийЩ ; 22980 
 23 ; Полуполтинник ; 1799 ; СМ МБ ; Ag ; XF- ; 41 ; WCN ; 40000 
 24 ; 25 копеек ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 37 ; Продано в зале ; 7800 
 25 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF- ; 18 ; verunk1 ; 4400 
 26 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; XF- ; 13 ; Продано в зале ; 5000 
 27 ; 25 копеек ; 1896 ; АГ ; Ag ; XF+ ; 18 ; ZOLTAN333 ; 5667 
 28 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 41 ; verunk1 ; 11000 
 29 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 25 ; ZOLTAN333 ; 3300 
 30 ; Гривенник ; 1748 ;  ; Ag ; VF-XF ; 38 ; Продано в зале ; 4400 
 31 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; AU ; 40 ; Продано в зале ; 15000 
 32 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 5 ; Продано в зале ; 6500 
 33 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU/XF ; 19 ; Продано в зале ; 3600 
 34 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 22 ; Продано в зале ; 4000 
 35 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 21 ; Продано в зале ; 5000 
 36 ; 50 пенни ; 1864 ; S Финляндия ; Ag ; VF-XF ; 18 ; Продано в зале ; 3800 
 37 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 25 ; Продано в зале ; 5600 
 38 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF-XF ; 13 ; ЛАВ-13 ; 8000 
 39 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 51 ; бегемот ; 11195 
 40 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 51 ; бегемот ; 11676 
 41 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 44 ; $$$ ; 14495 
 42 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 28 ; $$$ ; 12271 
 43 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 42 ; $$$ ; 11000 
 44 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 39 ; Продано в зале ; 16000 
 45 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 32 ; Продано в зале ; 19000 
 46 ; 5 копеек ; 1770 ; ЕМ ; Cu ; VF-XF ; 14 ; Продано в зале ; 1200 
 47 ; 5 копеек ; 1774 ; ЕМ ; Cu ; XF- ; 11 ; Хозяин ; 1800 
 48 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 23 ; Продано в зале ; 6000 
 49 ; 5 копеек ; 1784 ; ЕМ ; Cu ; VF-XF ; 30 ; Продано в зале ; 1300 
 50 ; 5 копеек ; 1786 ; ЕМ ; Cu ; VF-XF ; 14 ; Продано в зале ; 1400 
