 135 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF ; 46 ; Продано в зале ; 5100 
 136 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 17 ; 333985 ; 3800 
 137 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 4600 
 138 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 17 ; TaraskaPeter ; 2754 
 139 ; 5 копеек ; 1758 ; СПБ ; Ag ; XF+ ; 55 ; Продано в зале ; 6500 
 140 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 22 ; Продано в зале ; 9500 
 141 ; 10 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 75 ; sheff78 ; 8133 
 142 ; 5 копеек. Брак чеканки ; 18 век ;  ; Cu ; F-VF ; 36 ; Продано в зале ; 10000 
 143 ; 5 копеек ; 1788 ; КМ ; Cu ; VF-XF ; 26 ; водкой надо ; 4083 
 144 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 18 ; 12:71 ; 1224 
 145 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 14 ; Продано в зале ; 1500 
 146 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 15 ; 12:71 ; 1400 
 147 ; 5 копеек ; 1802 ; КМ ; Cu ; VF-XF ; 85 ; Продано в зале ; 28000 
 148 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 37 ; кабаносси ; 4873 
 149 ; 5 копеек ; 1806 ; КМ ; Cu ; VF-XF ; 42 ; кабаносси ; 9136 
 150 ; 5 копеек ; 1807 ; КМ ; Cu ; VF-XF ; 59 ; Продано в зале ; 12000 
 51 ; Рубль. В капсуле ННР ; 1798 ; СМ МБ ; Ag ;  ; 15 ; Продано в зале ; 16000 
 52 ; Рубль. В капсуле ННР ; 1799 ; СМ МБ ; Ag ;  ; 25 ; ацетон ; 25059 
 53 ; Рубль. В капсуле ННР ; 1800 ; СМ ОМ ; Ag ;  ; 27 ; Алексеев71 ; 16684 
 54 ; Рубль. В капсуле ННР ; 1801 ; СМ АИ ; Ag ;  ; 28 ; Sunday ; 34000 
 55 ; Рубль. В капсуле ННР ; 1809 ; СПБ МК ; Ag ;  ; 43 ; Сыч ; 46104 
 56 ; Рубль. В капсуле ННР ; 1810 ; СПБ ФГ ; Ag ;  ; 16 ; Продано в зале ; 11500 
 57 ; Рубль. В капсуле NGC ; 1818 ; СПБ ПС ; Ag ;  ; 31 ; Продано в зале ; 31000 
 58 ; Рубль. В капсуле ННР ; 1822 ; СПБ ПД ; Ag ;  ; 11 ; Сахарный ; 7650 
 59 ; Рубль. В капсуле ННР ; 1834 ; СПБ НГ ; Ag ;  ; 20 ; sax ; 11569 
 60 ; Рубль. В капсуле ННР. Сертификат ; 1834 ; "На открытие Александровской колонны" ; Ag ;  ; 2 ; Продано в зале ; 65000 
 61 ; Рубль. В капсуле NGC ; 1837 ; СПБ НГ ; Ag ;  ; 61 ; keen ; 18737 
 62 ; Рубль. В капсуле ННР. Сертификат ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ;  ; 10 ; Продано в зале ; 81000 
 63 ; Рубль. В капсуле ННР ; 1841 ; СПБ НГ ; Ag ;  ; 17 ; Алексеев71 ; 5313 
 64 ; Рубль. В капсуле ННР ; 1846 ; СПБ ПА ; Ag ;  ; 15 ; sax ; 7841 
 65 ; Рубль. В капсуле ННР. Сертификат ; 1859 ; На открытие памятника Николаю I ; Ag ;  ; 23 ; Продано в зале ; 60000 
 66 ; Рубль. В капсуле ННР ; 1878 ; СПБ НФ ; Ag ;  ; 10 ; Алексеев71 ; 6629 
 67 ; Рубль. В капсуле ННР ; 1883 ; ЛШ На коронацию Александра III ; Ag ;  ; 16 ; Продано в зале ; 19000 
 68 ; Рубль. В капсуле ННР. Сертификат ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ;  ; 16 ; Осень896 ; 61432 
 69 ; Рубль. В капсуле ННР ; 1896 ; ( * ) ; Ag ;  ; 38 ; Алексеев71 ; 19671 
 70 ; Полтина. В капсуле ННР ; 1720 ;  ; Ag ;  ; 40 ; Алексеев71 ; 33000 
 71 ; Полтина. В капсуле ННР ; 1731 ;  ; Ag ;  ; 13 ; Алексеев71 ; 16563 
 72 ; Полтина. В капсуле ННР ; 1733 ;  ; Ag ;  ; 25 ; krugerrand ; 45000 
 73 ; Полтина. В капсуле ННР ; 1736 ;  ; Ag ;  ; 12 ; Продано в зале ; 15000 
 74 ; Полтина. В капсуле ННР ; 1736 ;  ; Ag ;  ; 22 ; Продано в зале ; 18000 
 75 ; Полтина. В капсуле ННР ; 1764 ; СПБ ЯI ; Ag ;  ; 13 ; ZOLTAN333 ; 14774 
 76 ; Полтина. В капсуле ННР ; 1765 ; СПБ СА ; Ag ;  ; 17 ; Алексеев71 ; 22440 
 77 ; Полтина. В капсуле ННР ; 1839 ; СПБ НГ ; Ag ;  ; 10 ; Продано в зале ; 4800 
 78 ; Полтина. В капсуле ННР ; 1849 ; СПБ ПА ; Ag ;  ; 29 ; A-Stral ; 6630 
 79 ; Полтина. В капсуле ННР ; 1877 ; СПБ HI ; Ag ;  ; 13 ; АЯрослав ; 4043 
 80 ; Полтина. В капсуле ННР ; 1880 ; СПБ НФ ; Ag ;  ; 30 ; Продано в зале ; 15000 
 81 ; Полтина. В капсуле ННР ; 1891 ; (АГ) ; Ag ;  ; 43 ; A-Stral ; 26189 
 82 ; Полтина. В капсуле ННР ; 1894 ; (АГ) ; Ag ;  ; 30 ; taa ; 12362 
 83 ; Полтина. В капсуле ННР ; 1896 ; ( * ) ; Ag ;  ; 8 ; АЯрослав ; 1259 
 84 ; Полтина. В капсуле ННР ; 1897 ; ( * ) ; Ag ;  ; 36 ; Колхозы ; 16728 
 85 ; Полтина. В капсуле ННР ; 1912 ; (ЭБ) АГ ; Ag ;  ; 33 ; АЯрослав ; 1994 
 86 ; Полтина. В капсуле ННР ; 1913 ; (ВС) АГ ; Ag ;  ; 20 ; Sky2 ; 2039 
 87 ; Полуполтинник. В капсуле ННР ; 1767 ; ММД ЕI ; Ag ;  ; 24 ; Продано в зале ; 15000 
 88 ; 25 копеек. В капсуле ННР ; 1827 ; СПБ НГ ; Ag ;  ; 9 ; Продано в зале ; 2850 
 89 ; 25 копеек. В капсуле ННР ; 1835 ; СПБ НГ ; Ag ;  ; 22 ; TaraskaPeter ; 6560 
 90 ; 25 копеек. В капсуле ННР ; 1856 ; СПБ ФБ ; Ag ;  ; 13 ; Продано в зале ; 2800 
 91 ; 25 копеек. В капсуле ННР ; 1857 ; СПБ ФБ ; Ag ;  ; 19 ; il468 ; 3200 
 92 ; 25 копеек. В капсуле ННР ; 1858 ; СПБ ФБ ; Ag ;  ; 5 ; Продано в зале ; 2400 
 93 ; 25 копеек. В капсуле ННР ; 1894 ; (АГ) АГ ; Ag ;  ; 22 ; Продано в зале ; 14500 
 94 ; 25 копеек. В капсуле ННР ; 1900 ; АГ ; Ag ;  ; 37 ; TaraskaPeter ; 37347 
 95 ; 20 копеек. В капсуле NGC ; 1850 ; СПБ ПА ; Ag ;  ; 40 ; Продано в зале ; 67000 
 96 ; Гривенник. В капсуле ННР ; 1757 ; МБ ; Ag ;  ; 32 ; ВС ; 8584 
 97 ; 10 копеек. В капсуле ННР ; 1798 ; СМ МБ ; Ag ;  ; 43 ; Сыч ; 21721 
 98 ; 10 копеек. В капсуле ННР ; 1858 ; СПБ ФБ ; Ag ;  ; 55 ; papinazu ; 30702 
 99 ; 5 копеек. В капсуле ННР ; 1850 ; СПБ ПА ; Ag ;  ; 29 ; Sunday ; 10062 
 100 ; 5 копеек. В капсуле ННР ; 1853 ; СПБ HI ; Ag ;  ; 36 ; Алексеев71 ; 27251 
 1 ; 15 рублей. В капсуле ННР ; 1897 ; (АГ) За обрез шеи заходит "СС" ; Au ;  ; 10 ; Продано в зале ; 33983 
 2 ; 10 рублей. В капсуле ННР. Сертификат ; 1894 ; (АГ) АГ ; Au ;  ; 42 ; DAndy-2003 ; 191294 
 3 ; 5 рублей. В капсуле ННР ; 1848 ; СПБ АГ ; Au ;  ; 29 ; Продано в зале ; 43000 
 4 ; 5 рублей. В капсуле ННР. Сертификат ; 1859 ; СПБ ПФ ; Au ;  ; 28 ; Алексеев71 ; 123544 
 5 ; 5 рублей. В капсуле PCGS ; 1889 ; (АГ) Борода короче ; Au ;  ; 26 ; Victory-2001 ; 36608 
 6 ; Рубль. В капсуле ННР ; 1779 ; "Для дворцового обихода" ; Au ;  ; 20 ; Сыч ; 51102 
 7 ; Полтина. В капсуле HHP ; 1777 ; "Для дворцового обихода" ; Au ;  ; 30 ; ВС ; 20000 
 8 ; Рубль. В капсуле ННР. Сертификат ; 1722 ;  ; Ag ;  ; 34 ; Logik68 ; 83640 
 9 ; Рубль. В капсуле ННР. Сертификат ; 1723 ;  ; Ag ;  ; 42 ; papinazu ; 46545 
 10 ; Рубль. В капсуле HHP ; 1723 ;  ; Ag ;  ; 24 ; sotnik ; 23464 
 11 ; Рубль. В капсуле ННР ; 1724 ;  ; Ag ;  ; 31 ; A-Stral ; 24138 
 12 ; Рубль. В капсуле ННР ; 1728 ;  ; Ag ;  ; 17 ; Borada ; 25947 
 13 ; Рубль. В капсуле HHP ; 1731 ;  ; Ag ;  ; 25 ; ацетон ; 22792 
 14 ; Рубль. В капсуле ННР ; 1732 ;  ; Ag ;  ; 15 ; Borada ; 17115 
 15 ; Рубль. В капсуле HHP ; 1733 ;  ; Ag ;  ; 11 ; Алексеев71 ; 21000 
 16 ; Рубль. В капсуле HHP. Царапины ; 1734 ;  ; Ag ;  ; 15 ; Продано в зале ; 29000 
 17 ; Рубль. В капсуле ННР. (Петербургский орел) ; 1737 ;  ; Ag ;  ; 38 ; Продано в зале ; 87000 
