 104 ; 3 рубля ; 1835 ; СПБ ; Pt ; VF-XF ; 27 ; Глол ; 170340 
 105 ; 10 копеек ; 1836 ; СМ ; Cu ; F-VF ; 15 ; Участник № 55 ; 6000 
 106 ; 5 копеек ; 1837 ; СМ ; Cu ; VF+/VF ; 33 ; SDF ; 6543 
 107 ; 2 копейки ; 1837 ; ЕМ НА ; Cu ; VF ; 8 ; priwet ; 531 
 108 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF+ ; 9 ; SDF ; 1020 
 109 ; 1 грош ; 1838 ; MW Рус.-Пол. ; Cu ; VF+ ; 15 ; Глол ; 4500 
 110 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF+ ; 17 ; Участник № 62 ; 6500 
 111 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF+/AU ; 27 ; Участник № 222 ; 15000 
 112 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 30 ; ZOLTAN333 ; 12908 
 113 ; Копейка ; 1840 ; ЕМ ; Cu ; XF+ ; 33 ; Глол ; 10311 
 114 ; Копейка ; 1840 ; СПМ ; Cu ; VF+ ; 3 ; priwet ; 306 
 115 ; 10 копеек ; 1841 ; СПБ НГ ; Ag ; VF-XF ; 38 ; Глол ; 19742 
 116 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 9 ; Глол ; 1000 
 117 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 59 ; Girus_ ; 2100 
 118 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 10 ; Gatchina ; 3570 
 119 ; 10 копеек ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 33 ; sas ; 10998 
 120 ; 3 копейки ; 1843 ; СПМ ; Cu ; VF+ ; 27 ; Глол ; 4045 
 121 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 48 ; Участник № 148 ; 2000 
 122 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 20 ; Girus_ ; 5102 
 123 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; VF-XF ; 17 ; SDF ; 9080 
 124 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 55 ; Глол ; 13076 
 125 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 19 ; max7421 ; 11220 
 126 ; Дукат. Нидерланды. Петербургский чекан. Признаки № 4,7,10,12 ; 1849 ;  ; Au ; XF+ ; 23 ; Участник № 1036 ; 16000 
 127 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF+/XF ; 13 ; Глол ; 4533 
 128 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 9 ; AAE2006 ; 1530 
 129 ; Копейка ; 1851 ; ВМ ; Cu ; VF+ ; 17 ; luda ; 2387 
 130 ; Денежка ; 1852 ; ЕМ ; Cu ; VF-XF ; 16 ; Глол ; 4000 
 131 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; AU/XF ; 30 ; Глол ; 8500 
 132 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF-XF ; 40 ; SDF ; 15300 
 133 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 53 ; Глол ; 9500 
 134 ; Копейка ; 1856 ; ЕМ ; Cu ; XF+ ; 17 ; Глол ; 4500 
 135 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 15 ; AAE2006 ; 3570 
 136 ; Денежка ; 1858 ; ЕМ ; Cu ; AU ; 29 ; SDF ; 9500 
 137 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF- ; 9 ; Участник № 133 ; 2200 
 138 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 9 ; Участник № 62 ; 3800 
 139 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 25 ; ZOLTAN333 ; 5304 
 140 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF-XF ; 24 ; Глол ; 10202 
 141 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 24 ; SDF ; 10200 
 142 ; 3 копейки ; 1860 ; ЕМ ; Cu ; XF+ ; 15 ; AAE2006 ; 5555 
 143 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 22 ; Участник № 222 ; 5200 
 144 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 47 ; monos72 ; 7660 
 145 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 16 ; Участник № 133 ; 2400 
 146 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF+ ; 23 ; Участник № 1036 ; 8000 
 147 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF ; 17 ; leo 2 ; 2552 
 148 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 11 ; Участник № 133 ; 3400 
 149 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU/XF+ ; 25 ; SDF ; 14879 
 150 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 19 ; Глол ; 6642 
 51 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 14 ; Участник № 1036 ; 7500 
 52 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 26 ; Girus_ ; 7500 
 53 ; Полушка (Очень редкая) ; 1776 ; ЕМ ; Cu ; VF ; 57 ; Глол ; 147900 
 54 ; Рубль (Петров - 4 р.) ; 1777 ; СПБ ФЛ ; Ag ; VF-XF ; 15 ; Kolya-kms ; 18360 
 55 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF- ; 11 ; Участник № 114 ; 5600 
 56 ; 15 копеек ; 1779 ; СПБ ; Ag ; VF-XF ; 20 ; Участник № 1036 ; 9500 
 57 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 22 ; Участник № 62 ; 42000 
 58 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 13 ; Участник № 62 ; 28000 
 59 ; 5 копеек ; 1788 ; ММ ; Cu ; VF ; 7 ; Girus_ ; 4533 
 60 ; 5 копеек ; 1788 ; СПМ ; Cu ; VF- ; 7 ; Girus_ ; 4533 
 61 ; 5 копеек ; 1788 ; КМ ; Cu ; XF ; 16 ; Участник № 9 ; 3900 
 62 ; 2 копейки (Гуртовая надпись. Петров-8р, Ильин-3р) ; 1788 ; ММ ; Cu ; VF+/VF ; 39 ; foma71 ; 16320 
 63 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 545 ; 950 
 64 ; Копейка ; 1789 ; ЕМ ; Cu ; VF ; 9 ; Girus_ ; 2267 
 65 ; 5 копеек ; 1790 ; КМ ; Cu ; VF+ ; 14 ; Глол ; 3060 
 66 ; Копейка ; 1790 ; ЕМ ; Cu ; VF ; 7 ; кабан ; 918 
 67 ; Полушка (Ильин-4р) ; 1792 ; КМ ; Cu ; VF ; 9 ; SDF ; 3000 
 68 ; Полушка (Ильин-4р) ; 1793 ; КМ ; Cu ; VF+ ; 15 ; SDF ; 3800 
 69 ; Денга (Петров-1р, Ильин-1р) ; 1794 ; КМ ; Cu ; VF ; 13 ; SDF ; 5000 
 70 ; 5 копеек (Ильин-20р) ; 1795 ; АМ Павл.перечекан ; Cu ; VF+ ; 66 ; finger ; 94677 
 71 ; 5 копеек ; 1795 ; КМ ; Cu ; XF+ ; 49 ; Глол ; 4590 
 72 ; Копейка ; 1795 ; ЕМ ; Cu ; VF-XF ; 7 ; Участник № 55 ; 1400 
 73 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 9 ; Глол ; 2267 
 74 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 3 ; кабан ; 612 
 75 ; 5 копеек ; 1796 ; КМ ; Cu ; VF+ ; 15 ; кабан ; 3937 
 76 ; 2 копейки (Петров - 1 р.) ; 1796 ; ЕМ ; Cu ; VF+ ; 17 ; Участник № 51 ; 3800 
 77 ; 2 копейки ; 1797 ;  ; Cu ; VF- ; 11 ; кабан ; 5100 
 78 ; 2 копейки ; 1800 ; ЕМ ; Cu ; VF-XF ; 9 ; кабан ; 1020 
 79 ; 10 копеек ; 1805 ; СПБ ФГ ; Ag ; VF-XF ; 23 ; Участник № 55 ; 32000 
 80 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF ; 10 ; SDF ; 7000 
 81 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 52 ; Участник № 133 ; 1500 
 82 ; Копейка ; 1811 ; ЕМ НМ ; Cu ; VF-XF ; 18 ; SDF ; 1009 
 83 ; Копейка ; 1811 ; ИМ МК ; Cu ; VF+ ; 94 ; wolkoff ; 858 
 84 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF-XF ; 13 ; Участник № 148 ; 750 
 85 ; 10 копеек ; 1813 ; СПБ ПС ; Ag ; XF- ; 38 ; SDF ; 12912 
 86 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; AU ; 91 ; SDF ; 26460 
 87 ; 2 копейки ; 1813 ; КМ АМ ; Cu ; VF-XF ; 19 ; Участник № 16 ; 7000 
 88 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 41 ; SDF ; 6400 
 89 ; 2 копейки ; 1815 ; КМ АМ ; Cu ; VF-XF ; 16 ; Участник № 51 ; 7500 
 90 ; 10 копеек ; 1816 ; СПБ ПС ; Ag ; XF+ ; 26 ; Глол ; 14366 
 91 ; Деньга (Ильин - 3 р.) ; 1816 ; КМ АМ ; Cu ; F-VF ; 11 ; Участник № 133 ; 2400 
 92 ; Рубль ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 7 ; Участник № 62 ; 4200 
 93 ; Рубль ; 1824 ; СПБ ПД ; Ag ; VF-XF ; 19 ; Gatchina ; 4500 
 94 ; 10 копеек ; 1825 ; СПБ ПД ; Ag ; VF+ ; 20 ; SDF ; 3500 
 95 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 23 ; SDF ; 6630 
 96 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF- ; 15 ; Участник № 7 ; 2400 
 97 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 17 ; SDF ; 7565 
 98 ; 2 копейки (Ильин - 1 .р) ; 1829 ; КМ АМ ; Cu ; XF- ; 23 ; SDF ; 13841 
 99 ; Дукат. Нидерланды. Петербургский чекан ; 1830 ;  ; Au ; XF+ ; 27 ; Girus_ ; 15810 
 100 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 27 ; Глол ; 5099 
 1 ; Севский чех. Г. Севск. Правление Софьи, Ивана и Петра ; 1686 ;  ; Ag ; VF ; 8 ; AGAT D ; 20000 
 2 ; Копейка ; 1707 ; БК ; Cu ; VF- ; 2 ; AGAT D ; 5000 
 3 ; Полушка ; 1707 ;  ; Cu ; VF- ; 16 ; neman100 ; 2142 
 4 ; Денга ; 1708 ;  ; Cu ; VF- ; 19 ; sas ; 2123 
 5 ; Денга (Петров-2р) ; 1712 ;  ; Cu ; VF+ ; 19 ; ZOLTAN333 ; 2600 
