 6543 ; Оптовый лот, 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 51 ; всёмоё ; 4641 
 6601 ; Наградной портсигар бойца РККА. Серебро, 1928 г. ;  ;  ; Ag ;  ; 71 ; СВИ ; 21930 
 6602 ; Портсигар Har-Bro. Англия ;  ;  ; Ж/м ;  ; 26 ; krass ; 714 
 6603 ; Статуэтка миниатюра Две таксы под зонтом. ;  ;  ; Ж/м ;  ; 17 ; жених ; 1428 
 6604 ; Статуэтка миниатюра Такса с бутылкой шампанского. ;  ;  ; Ж/м ;  ; 17 ; жених ; 847 
 6605 ; Статуэтка миниатюра Таксы 2 шт. ;  ;  ; Ж/м ;  ; 13 ; жених ; 347 
 6606 ; Печатка мужская. Золото. СССР ;  ;  ; Au ;  ; 36 ; msmaci ; 8874 
 6607 ; Солонка/перечница. Серебро, чернение. ;  ;  ; Ag ;  ; 39 ; жених ; 1644 
 6608 ; Стопка Листья. Серебро 84 ;  ;  ; Ag ;  ; 28 ; zef ; 1325 
 6609 ; Стопка эмаль 2 шт. СССР ;  ;  ; Ж/м ;  ; 19 ; жених ; 438 
 6610 ; Вилочка эмаль.Серебро ;  ;  ; Ag ;  ; 30 ; ulf ; 350 
 6611 ; Ложка столовая, 84 проба., 1857 г., вес- 64г ;  ;  ;  ;  ; 59 ; RAPAN ; 2903 
 6612 ; Ложка столовая, 84 проба, 1866 г., вес 67,5г ;  ;  ;  ;  ; 69 ; фюрстен ; 2004 
 6613 ; Ложка большая. Сфинксы 4 шт ;  ;  ; Ж/м ;  ; 25 ; ask ; 463 
 6614 ; Ложка серебро 84 пробы, 3шт ;  ;  ; Ag ;  ; 57 ; snupi ; 6649 
 6615 ; Нож для масла, серебро. Германия. ;  ;  ; Ag ;  ; 47 ; zef ; 1297 
 6616 ; Чайная ложка, серебро, 4шт. ;  ;  ; Ag ;  ; 31 ; pollipol ; 2632 
 6617 ; Ложка чайная, серебро, эмаль. ;  ;  ; Ag ;  ; 22 ; zef ; 675 
 6618 ; Ложка чайная маленькая, серебро, эмаль. ;  ;  ; Ag ;  ; 38 ; Пионерская правда ; 646 
 6619 ; Вилочка, серебро, эмаль. ;  ;  ; Ag ;  ; 19 ; ulf ; 361 
 6620 ; Ложка чайная цветок. ;  ;  ; Ag ;  ; 19 ; ask ; 499 
 6621 ; Набор чайных ложек Дельфины, 6 шт ;  ;  ; Ж/м ;  ; 7 ; Serjd ; 611 
 6622 ; Щипцы для сахара, серебро. Европа. ;  ;  ; Ag ;  ; 50 ; zef ; 765 
 6623 ; Брошь 50 сентаво. Серебро ;  ;  ; Ag ;  ; 47 ; Tall Ships ; 714 
 6624 ; Бронзовая печать. Россия. М-4,35гр ; 1739г ;  ; Br ; VG ; 86 ; seer ; 2334 
 6625 ; Часы дорожные с будильником Rinden. Япония ;  ;  ; Ж/м ;  ; 85 ; Goshka ; 4659 
 6626 ; Часы судовые с нижним подзаводом. 1952 г. СССР ;  ;  ; Ж/м ;  ; 30 ; Kosmas ; 4162 
 6470 ; Альбом на 48 монет ;  ;  ;  ;  ; 11 ; Алексей73 ; 119 
 6471 ; Альбом R010826 на 82 монеты ;  ;  ;  ;  ; 18 ; Unknown ; 114 
 6472 ; Альбом R010801/48 на 48 монет, с листами ;  ;  ;  ;  ; 11 ; Снежный Барс ; 69 
 6473 ; Листы PROFESSIONAL в альбом Optima на 35 монет, с карманами. Упаковка (5 шт.). Альбоммонет ;  ;  ;  ;  ; 32 ; ppp ; 160 
 6474 ; Лист КЛБ-1 в альбом Optima, на 1 банкноты. Упаковка (10 шт.). Сомс, #2025001 ;  ;  ;  ;  ; 13 ; lenohota ; 200 
 6475 ; Лист КЛБ-2 в альбом Optima, на 2 банкноты. Упаковка (10 шт.). Сомс, #2025002 ;  ;  ;  ;  ; 24 ; 462 ; 235 
 6476 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 26 ; металлург ; 261 
 6477 ; Лист КЛБ-4 в альбом Optima, на 4 банкноты. Упаковка (10 шт.). Сомс, #2025004 ;  ;  ;  ;  ; 16 ; 462 ; 249 
 6478 ; Лист КЛМ-12К в альбом Optima на 12 монет, с карманами. Упаковка (5 шт.). Сомс, #2025012 ;  ;  ;  ;  ; 25 ; Ok13 ; 152 
 6479 ; Лист КЛМ-20К в альбом Optima на 20 монет, с карманами. Упаковка (5 шт.). Сомс, #2025020 ;  ;  ;  ;  ; 28 ; Лоцман ; 160 
 6480 ; Листы NUMIS NH20 в альбом на 20 монет. Упаковка (5 шт.). Leuchtturm, #323100 ;  ;  ;  ;  ; 12 ; Alex1 ; 159 
 6481 ; Листы NUMIS NH30 в альбом на 30 монет. Упаковка (5 шт.). Leuchtturm, #305956 ;  ;  ;  ;  ; 13 ; Гостомысл ; 143 
 6482 ; Лист в альбом Optima, на 1 банкноту. (Упаковка 10 шт.). Нумизмат-С ;  ;  ;  ;  ; 7 ; Гостомысл ; 192 
 6483 ; Лист ЛММ-12 в альбом NUMIS на 12 монет. Упаковка 10 шт. Россия ;  ;  ;  ;  ; 9 ; Снежный Барс ; 104 
 6484 ; Лист на 24 монеты, горизонтальный. Упаковка 10 шт. Производство Россия ;  ;  ;  ;  ; 27 ; Meshok ; 116 
 6485 ; Лист в альбом Optima на 60 монет, скользящий. Упаковка 10 шт. Нумизмат-С ;  ;  ;  ;  ; 29 ; Terem ; 139 
 6486 ; Разделитель картонный в альбом OPTIMA. Упаковка (50 шт.). Lindner ;  ;  ;  ;  ; 24 ; val_diver ; 256 
 6487 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 21 ; CoinM ; 1736 
 6488 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 27 ; семь ; 1664 
 6489 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 41 ; olq ; 567 
 6490 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 9 ; solo5 ; 117 
 6491 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 26 ; дидуня ; 357 
 6492 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 36 ; peck ; 282 
 6493 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 31 ; sergey0615 ; 281 
 6494 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 10 ; glad447 ; 116 
 6495 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 8 ; CoinM ; 77 
 6496 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 8 ; семь ; 113 
 6497 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 16 ; семь ; 168 
 6498 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 21 ; Terem ; 161 
 6499 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 21 ; chingizhan ; 159 
 6500 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 21 ; igorka2006 ; 261 
 6501 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 12 ; 462 ; 227 
 6502 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 19 ; семь ; 251 
 6503 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 38 ; Rober ; 79 
