 230 ; Должностной знак. Cолтыс 19 февраля 1864г. Плоцкая губерния ;  ;  ; Br ; VF+ ; 17 ; рап ; 11334 
 231 ; Должностной знак. Лавник 19 февраля 1861г- 19 февраля 1875г. Мастерская братьев Бух ;  ;  ; Br ; VF+ ; 17 ; рап ; 12240 
 232 ; Нагрудный знак об окончании Института инженеров путей сообщения ;  ;  ; Ag ; VF-XF ; 29 ; рап ; 20195 
 233 ; Знак для врачей, имеющих степень лекаря. Клейма на о/с ;  ;  ; Ag,эмаль ; XF ; 22 ; korovan67 ; 20400 
 234 ; Медаль Достойнейшим из окончивших курсы в женских гимназиях. Императрицы Марии Федоровны. D-44мм. М-54,1г ;  ;  ; Au ; VF-XF ; 30 ; Салют ; 209202 
 235 ; Медаль За отличное окончание института. Военный институт физкультуры и спорта им В.И.Ленина. D-26мм. М-10,855г. Коробка ;  ;  ; Au ; XF+ ; 48 ; Продано в зале ; 155000 
 236 ; Медаль в память коронования Императора Александра I 15 сентября 1801 г. СПб монетный двор.  Медальер  С. Леберехт. Реставрация D-65мм ; 1801 ;  ; Ag ; XF- ; 51 ; sotnik ; 52019 
 237 ; Медаль. Вторая Всероссийская Кустарная выставка "За полезные труды". Императрица Александра Федоровна D-63мм ;  ;  ; Ag ; VF+/VF- ; 16 ; кантемир ; 6630 
 238 ; Медаль "За благонравие и успехи в науках" для учениц женских гимназий. D-42мм. Гравер А.Гилихес ;  ;  ; Ag ; XF+ ; 22 ; тойта ; 19633 
 239 ; Медаль "Преуспевающей" Выпускницам женских гимназий, посвященная 300-летию царствования Дома Романовых. ; 1913 ;  ; Ag ; XF- ; 34 ; Салют ; 25758 
 240 ; Медаль Русского нумизматического общества. "Бельгийскому народу" ; 1914 ;  ; Ag ; VF-XF ; 10 ; Салют ; 7140 
 241 ; Медаль Выставка собак. Санкт-Петербург 1904г. D-44мм ;  ;  ; Ag ; XF+ ; 27 ; Sky2 ; 3400 
 242 ; Медаль Гагарин 12 апреля 1961. Медальер Г.Н. Постников. D-40мм. М-32г ; ММД ;  ; Ag ; XF+ ; 8 ; Продано в зале ; 7500 
 243 ; Медаль В память столетия Императорского Московского Воспитательного дома. Медальеры: В.В.Алексеев, И.И.Чукмасов ; 1963 ;  ; Cu ; XF+/XF ; 41 ; Салют ; 14790 
 244 ; Медаль памятная на кончину Императора Александра II. Резчики: В.Алексеев, реверс - Грелихес сын по проекту В.П.Верещагина D-77мм ;  ;  ; Cu ; XF+ ; 33 ; Салют ; 24907 
 245 ; Медаль. В память 100-летия со дня рождения Императора Александра I (1777-1877) D-62мм ;  ;  ; Cu ; XF+ ; 15 ; Салют ; 11220 
 246 ; Медаль в память открытия памятника Императору Александру II в Гельсингфорсе. Медальер А.А.Грилихес (сын). D-68мм ; 1894 ;  ; Cu ; XF+ ; 9 ; Салют ; 5100 
 247 ; Медаль 10-я сельскохозяйственная выставка в Вазе. Медальеры А. Грилихес-отец, А. Грилихес-сын. D-52мм ; 1894 ;  ; Cu ; AU ; 23 ; Салют ; 7650 
 248 ; Медаль В память 50-леития Московского Купеческого общества (1863-1913гг). D-80мм ;  ;  ; Cu ; XF+ ; 21 ; Салют ; 15300 
 249 ; Жетон За Севастополь 1854-55. 14 пех. Олонецкий полк 1798-1898 ;  ;  ; Ag ; VF-XF ; 67 ; обморок ; 13260 
 250 ; Жетон Русского нумизматического общества. "Бельгийскому народу" ; 1914 ;  ; Ag ; XF- ; 20 ; 222211 ; 4150 
 151 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 26 ; Кеннер ; 13000 
 152 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF+ ; 11 ; Продано в зале ; 46000 
 153 ; 5 копеек ; 1727 ; КД КОПЪЕКЬ ; Cu ; VG ; 37 ; Сухона ; 13839 
 154 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 13 ; Продано в зале ; 1900 
 155 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 13 ; yrij ; 3264 
 156 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 13 ; $$$ ; 3191 
 157 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 9 ; $$$ ; 3200 
 158 ; 5 копеек (Петров-9р. Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 45 ; Салют ; 18982 
 159 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF- ; 22 ; ВОДКОЙ НАДО ; 6120 
 160 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 13 ; Салют ; 2920 
 161 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 20 ; electra ; 2601 
 162 ; 5 копеек ; 1793 ; КМ ; Cu ; VF-XF ; 18 ; $$$ ; 3060 
 163 ; 5 копеек ; 1795 ; АМ ; Cu ; VF-XF ; 17 ; Салют ; 4080 
 164 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 28 ; $$$ ; 5000 
 165 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 29 ; Продано в зале ; 9500 
 166 ; 5 копеек ; 1809 ; ЕМ ; Cu ; XF ; 78 ; Продано в зале ; 26000 
 167 ; 5 копеек ; 1852 ; ЕМ ; Cu ; VF-XF ; 17 ; нумизмат ; 11437 
 168 ; 5 копеек ; 1857 ; ЕМ ; Cu ; XF- ; 22 ; ravs ; 10427 
 169 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 15 ; Салют ; 7650 
 170 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF ; 30 ; Салют ; 12819 
 171 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 23 ; Салют ; 19724 
 172 ; 3 копейки ; 1847 ; СМ ; Cu ; VF ; 63 ; обморок ; 11288 
 173 ; 3 копейки ; 1900 ; СПБ ; Cu ; AU ; 58 ; Продано в зале ; 26000 
 174 ; 3 копейки ; 1856 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 6500 
 175 ; 3 копейки (Петров-5р. Ильин-5р) ; 1857 ; ВМ ; Cu ; VF- ; 9 ; Салют ; 15300 
 176 ; 2 копейки. Новодел ; 1757 ; Новодел ; Cu ; AU ; 54 ; Продано в зале ; 36000 
 177 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF+ ; 73 ; 89890 ; 9707 
 178 ; Копейка. Большой формат ; 1707 ; БК ; Cu ; VF- ; 35 ; Продано в зале ; 24000 
 179 ; Копейка (Петров-20р. Ильин-8р) ; 1724 ;  ; Cu ; F-VF ; 64 ; Салют ; 54000 
 180 ; Копейка (Петров -1 р.) ; 1755 ; СПБ ; Cu ; VF+ ; 26 ; Салют ; 27000 
 181 ; Копейка (Петров-1р) ; 1755 ; СПБ ; Cu ; F-VF ; 15 ; Продано в зале ; 9000 
 182 ; Копейка ; 1811 ; ИМ МК ; Cu ; VF+ ; 51 ; sotnik ; 2778 
 183 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 43 ; slando ; 6926 
 184 ; Копейка ; 1834 ; СМ ; Cu ; VF+ ; 23 ; Продано в зале ; 3200 
 185 ; Копейка (Петров-12р, Ильин-10р) ; 1838 ; ЕМ НА ; Cu ; VG ; 41 ; Kupferberg ; 15302 
 186 ; Копейка (Петров-12р, Ильин-5р) ; 1839 ; СМ ; Cu ; F-VF ; 79 ; Продано в зале ; 9500 
 187 ; Копейка. Новодел ; 1840 ; С.П.Б. Пробная. СЕРЕБРОМЪ ; Cu ; AU ; 48 ; Продано в зале ; 48000 
 188 ; Копейка ; 1852 ; ЕМ ; Cu ; VF-XF ; 23 ; 89890 ; 3381 
 189 ; Копейка ; 1857 ; ЕМ ; Cu ; XF ; 21 ; Салют ; 3321 
 190 ; Копейка ; 1861 ; ВМ ; Cu ; XF- ; 30 ; нумизмат ; 10200 
 191 ; Копейка ; 1868 ; СПБ ; Cu ; XF+ ; 14 ; 89890 ; 9180 
 192 ; Деньга (Петров-2,5р. Ильин-3р) ; 1804 ; КМ ; Cu ; VF- ; 60 ; Салют ; 28560 
 193 ; Деньга ; 1812 ; ИМ ПС ; Cu ; XF ; 73 ; Продано в зале ; 10500 
 194 ; Денежка ; 1861 ; ВМ ; Cu ; XF ; 19 ; Салют ; 9182 
 195 ; Полушка (Петров - 10 руб, Ильин - 10 руб) ; 1719 ;  ; Cu ; F-VF ; 58 ; Продано в зале ; 7500 
 196 ; Полушка ; 1734 ; Орёл 1730 г. ; Cu ; VF-XF ; 94 ; ВОДКОЙ НАДО ; 11000 
 197 ; Полушка ; 1855 ; ВМ ; Cu ; VF-XF ; 38 ; Салют ; 23905 
 198 ; 24 копейки ; 1757 ; Ливонез ; Ag ; VF ; 23 ; $$$ ; 16563 
 199 ; 2 марки ; 1870 ; S Финляндия ; Ag ; AU ; 28 ; ravs ; 10710 
 200 ; 1 марка ; 1864 ; S Финляндия ; Ag ; XF ; 20 ; Медальки ; 14280 
 101 ; 20 копеек ; 1764 ; ММД ; Ag ; XF+ ; 17 ; Продано в зале ; 16000 
 102 ; 20 копеек ; 1764 ; ММД ; Ag ; XF+ ; 65 ; Продано в зале ; 16000 
 103 ; 20 копеек ; 1766 ; СПБ TI ; Ag ; XF- ; 33 ; sotnik ; 9183 
 104 ; 20 копеек ; 1767 ; ММД ; Ag ; XF- ; 33 ; нумизмат ; 12648 
 105 ; 20 копеек ; 1767 ; СПБ TI ; Ag ; XF ; 15 ; кантемир ; 10209 
 106 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; XF+/AU ; 21 ; нумизмат ; 16000 
 107 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; XF+ ; 77 ; Продано в зале ; 16000 
 108 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; XF- ; 19 ; бенвенуто ; 8000 
 109 ; 20 копеек ; 1776 ; СПБ TI ; Ag ; XF+ ; 7 ; кантемир ; 10455 
 110 ; 20 копеек ; 1779 ; СПБ ; Ag ; XF- ; 15 ; Продано в зале ; 16000 
 111 ; 20 копеек ; 1785 ; СПБ ; Ag ; XF ; 11 ; Салют ; 13362 
 112 ; 20 копеек ; 1787 ; СПБ ; Ag ; XF ; 17 ; нумизмат ; 11229 
