 90 ; Копейка ; 1898 ; СПБ ; Cu ; XF/AU ; 31 ; Папа любит ; 5100 
 91 ; 1/2 копейки ; 1843 ; СМ ; Cu ; VF-XF ; 7 ; seimens ; 509 
 92 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 47 ; Папа любит ; 3185 
 93 ; Полушка ; 1766 ; ЕМ ; Cu ; VF+ ; 12 ; priwet ; 1734 
 94 ; Полушка (Петров-3р, Ильин-3р) ; 1804 ; КМ ; Cu ; F-VF ; 39 ; priwet ; 8262 
 95 ; Георгиевский крест 3ст. Р-ры: 34 на 34мм №333356 ;  ;  ; Б/м ; VF+ ; 36 ; korovan67 ; 8976 
 96 ; Георгиевский крест IV ст. № 171610 ; 1914-1915 ;  ; Ag ; VF+ ; 36 ; korovan67 ; 10000 
 97 ; Медаль. За Усердие. Имп. Николай II. D-30мм ;  ;  ; Ag ; XF+ ; 19 ; Продано в зале ; 4000 
 98 ; Медаль За усмиреие Польского мятежа 1863-1864гг. D-28мм ;  ;  ; Br ; XF- ; 67 ; ddv tv ; 13726 
 99 ; Медаль "За русско-японскую войну 1904-1905гг". D-28мм ;  ;  ; Br ; XF+ ; 25 ; korovan67 ; 3064 
 100 ; Медаль "100 лет Отечественной войне 1812-1912гг". D-29мм ;  ;  ; Br ; AU/XF ; 23 ; ddv tv ; 3060 
 1 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 45 ; касандра ; 34000 
 2 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 31 ; Продано в зале ; 26000 
 3 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 30 ; aureo2 ; 27636 
 4 ; Рубль ; 1733 ;  ; Ag ; XF- ; 28 ; ВС ; 17850 
 5 ; Рубль ; 1735 ;  ; Ag ; VF+ ; 21 ; vitapool ; 13250 
 6 ; Рубль ; 1749 ; ММД ; Ag ; XF- ; 35 ; Продано в зале ; 34000 
 7 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF-XF ; 47 ; l1 ; 9931 
 8 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 54 ; ruba ; 58344 
 9 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF- ; 63 ; Продано в зале ; 9500 
 10 ; Рубль ; 1896 ; (АГ) ; Ag ; AU ; 68 ; каламбурчик ; 41820 
 11 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF ; 35 ; амбал ; 5224 
