 152 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU ; 36 ; Участник № 1204 ; 7500 
 153 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 18 ; Участник № 133 ; 3200 
 154 ; 2 копейки ; 1858 ; ВМ ; Cu ; XF- ; 47 ; Участник № 1204 ; 12000 
 155 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; VF+ ; 9 ; Участник № 136 ; 1100 
 156 ; Полушка ; 1858 ; ЕМ ; Cu ; VF-XF ; 7 ; dimon46 ; 714 
 157 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 73 ; gerz ; 5304 
 158 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 18 ; tisa66 ; 4000 
 159 ; Денежка ; 1859 ; ВМ ; Cu ; VF+ ; 81 ; Ghb ; 3313 
 160 ; 3 копейки ; 1860 ; ЕМ ; Cu ; XF- ; 15 ; Участник № 1205 ; 6000 
 161 ; Копейка ; 1861 ; ЕМ ; Cu ; XF+ ; 12 ; AVA01 ; 1400 
 162 ; 3 копейки ; 1864 ; ЕМ ; Cu ; VF-XF ; 19 ; АЦТЕК ; 2315 
 163 ; 1 пенни ; 1866 ; Финляндия ; Cu ; VF ; 16 ; o.k. ; 1122 
 164 ; Копейка ; 1869 ; СПБ ; Cu ; XF+ ; 42 ; AVA01 ; 5036 
 165 ; 5 рублей. М-6,58гр ; 1873 ; СПБ НI ; Au ; AU ; 27 ; DMT ; 35000 
 166 ; Полтина ; 1873 ; СПБ HI ; Ag ; VF+ ; 18 ; TDN ; 25398 
 167 ; 5 рублей. М-6,55г ; 1874 ; СПБ НI ; Au ; AU ; 11 ; Участник № 51 ; 32000 
 168 ; 3 копейки ; 1874 ; ЕМ ; Cu ; AU ; 12 ; Участник № 1204 ; 5000 
 169 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 24 ; Участник № 30 ; 7500 
 170 ; 5 рублей. М-6,57г ; 1876 ; СПБ НI ; Au ; AU ; 19 ; gerz ; 33426 
 171 ; 25 копеек ; 1876 ; СПБ HI ; Ag ; VF+ ; 69 ; Участник № 133 ; 17000 
 172 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 9 ; cash ; 2040 
 173 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 20 ; Участник № 30 ; 7000 
 174 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 12 ; Участник № 30 ; 1800 
 175 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 9 ; Участник № 30 ; 2100 
 176 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; Участник № 30 ; 3800 
 177 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF+ ; 16 ; Участник № 1179 ; 23000 
 178 ; 1 пенни ; 1882 ; Финляндия ; Cu ; VF- ; 26 ; krokodil ; 4533 
 179 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; Proof ; 30 ; max7421 ; 42330 
 180 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 19 ; andreyx  ; 2122 
 181 ; Полтина ; 1888 ; (АГ) ; Ag ; XF+ ; 47 ; Участник № 135 ; 130000 
 182 ; Копейка ; 1888 ; СПБ ; Cu ; XF+ ; 15 ; Участник № 147 ; 1300 
 183 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 11 ; Участник № 410 ; 2100 
 184 ; Рубль ; 1891 ; (АГ) ; Ag ; AU ; 44 ; and ; 50000 
 185 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 41 ; tisa66 ; 3594 
 186 ; Рубль ; 1896 ; (АГ) ; Ag ; XF ; 34 ; Aleksey ; 2735 
 187 ; Рубль ; 1896 ; (АГ) ; Ag ; AU ; 17 ; tisa66 ; 15655 
 188 ; Копейка ; 1898 ; СПБ ; Cu ; AU ; 5 ; Участник № 30 ; 1800 
 189 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 8 ; Участник № 133 ; 2300 
 190 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 7 ; and ; 1800 
 191 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 7 ; max7421 ; 1326 
 192 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; Proof ; 43 ; 155оа ; 130000 
 193 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; Proof ; 35 ; Участник № 135 ; 120000 
 194 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; Proof ; 20 ; zerkalozemli ; 71400 
 195 ; 15 копеек ; 1911 ; СПБ ЭБ ; Ag ; Proof ; 13 ; Участник № 30 ; 14000 
 196 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 31 ; tisa66 ; 9000 
 197 ; Медаль за Хивинский поход. Имп. Александр II. М-13,29гр ; 1873 ;  ; Ag ; VF ; 91 ; ZOLTAN333 ; 56838 
 198 ; Медаль. В память торжественного открытия памятника Екатерины II. Санкт-Петербург 24 ноября 1873 года ; 1873 ;  ; Br ; XF+ ; 7 ; Участник № 1179 ; 5500 
 199 ; Медаль на открытие памятника императору Николаю I в Санкт-Петербурге ; 1859 ;  ; Cu ; VF+ ; 32 ; swoon ; 6500 
 200 ; Медаль на 100-летие Московского Университета ; 1855 ;  ; Cu ; VF-XF ; 52 ; ОБХС ; 4150 
 101 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 13 ; Sky2 ; 1122 
 102 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 37 ; o.k. ; 2020 
 103 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 24 ; Ghb ; 6000 
 104 ; 30 копеек-2 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF-XF ; 59 ; Участник № 9 ; 12000 
 105 ; 2 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 9 ; Участник № 751 ; 2800 
 106 ; Копейка ; 1840 ; ЕМ ; Cu ; VF-XF ; 8 ; Участник № 66 ; 320 
 107 ; Копейка ; 1840 ; СПМ ; Cu ; XF- ; 15 ; Участник № 9 ; 2600 
 108 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 14 ; Участник № 1179 ; 5500 
 109 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 7 ; sergfokin ; 400 
 110 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF+ ; 7 ; Участник № 1205 ; 950 
 111 ; 25 копеек-50 грошей ; 1842 ; MW Рус.-Пол. ; Ag ; VF+ ; 16 ; Участник № 136 ; 8000 
 112 ; 2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 24 ; Basilio ; 2370 
