 77 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 23 ; Продано в зале ; 11000 
 78 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 24 ; Продано в зале ; 3400 
 79 ; 5 копеек. В капсуле ННР. Сертификат ; 1900 ; СПБ ФЗ ; Ag ; MS62 ; 15 ; Продано в зале ; 1400 
 80 ; 5 копеек. В капсуле ННР. Сертификат ; 1905 ; СПБ АР ; Ag ; MS63 ; 15 ; A-Stral ; 1600 
 81 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 30 ; prince1959 ; 2267 
 82 ; 5 копеек. В капсуле ННР. Сертификат ; 1913 ; СПБ ЭБ ; Ag ; MS61 ; 13 ; Victory-2001 ; 1591 
 83 ; 5 копеек. В капсуле ННР. Сертификат ; 1914 ; СПБ ВС ; Ag ; MS62 ; 24 ; Продано в зале ; 1700 
 84 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 59 ; 45f ; 9066 
 85 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 37 ; Продано в зале ; 14000 
 86 ; 5 копеек ; 1726 ; МД ; Cu ; VF ; 54 ; Arte ; 10200 
 87 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; dali ; 4600 
 88 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 31 ; Продано в зале ; 9500 
 89 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 47 ; Arte ; 5838 
 90 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 47 ; Продано в зале ; 11000 
 91 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 49 ; icebreaker ; 3672 
 92 ; 5 копеек (Ильин - 10руб) ; 1788 ; ЕМ ; Cu ; VF+/VF- ; 43 ; Продано в зале ; 29000 
 93 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF+ ; 16 ; Продано в зале ; 800 
 94 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 9 ; sax ; 612 
 95 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 26 ; Продано в зале ; 800 
 96 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 950 
 97 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 40 ; icebreaker ; 3894 
 98 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 22 ; Продано в зале ; 3800 
 99 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 39 ; ($$$) ; 7285 
 100 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 23 ; пободаемся ; 8195 
 1 ; Рубль ; 1723 ; ОК ; Ag ; VF ; 48 ; Sky2 ; 46000 
 2 ; Рубль ; 1729 ;  ; Ag ; XF- ; 61 ; Продано в зале ; 48000 
 3 ; Рубль ; 1732 ;  ; Ag ; XF ; 36 ; Продано в зале ; 28000 
 4 ; Рубль ; 1742 ; СПБ ; Ag ; AU ; 67 ; 8128 ; 84412 
 5 ; Рубль ; 1751 ; ММД ; Ag ; VF+ ; 65 ; Продано в зале ; 25000 
 6 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF+/XF ; 24 ; Продано в зале ; 55000 
 7 ; Рубль ; 1758 ; СПБ НК TI ; Ag ; VF-XF ; 52 ; ДМИТРИЙ С ; 85083 
 8 ; Рубль ; 1768 ; ММД EI ; Ag ; XF/AU ; 53 ; Продано в зале ; 70000 
 9 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 23 ; Продано в зале ; 24000 
 10 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; VF+/VF-XF ; 51 ; Продано в зале ; 11000 
 11 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF/AU ; 23 ; Продано в зале ; 42000 
 12 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF/XF ; 36 ; Продано в зале ; 8500 
 13 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF ; 66 ; dali ; 22000 
 14 ; Рубль. Гурт дефекты ; 1798 ; СМ МБ ; Ag ; XF- ; 42 ; Продано в зале ; 40000 
 15 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 30 ; Продано в зале ; 31000 
 16 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 47 ; masterovoi ; 40000 
 17 ; Рубль ; 1812 ; СПБ МФ ; Ag ; AU ; 70 ; Продано в зале ; 70000 
 18 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 53 ; DAndy-2003 ; 49396 
 19 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 24 ; Продано в зале ; 19000 
 20 ; Рубль ; 1819 ; СПБ ПС ; Ag ; AU ; 43 ; Продано в зале ; 60000 
 21 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 40 ; swoon ; 23234 
 22 ; Рубль ; 1841 ; СПБ НГ ; Ag ; AU/XF ; 39 ; electra ; 12000 
 23 ; Рубль ; 1872 ; СПБ HI ; Ag ; AU ; 52 ; 78gen ; 42505 
 24 ; Рубль. В капсуле ННР. Сертификат ; 1880 ; СПБ НФ ; Ag ; AU50 ; 30 ; sax ; 19379 
 25 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU/XF ; 42 ; 45f ; 27000 
 26 ; Рубль ; 1891 ; (АГ) ; Ag ; XF- ; 25 ; Продано в зале ; 17000 
 27 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 60 ; icebreaker ; 33357 
 28 ; Рубль ; 1908 ; (ЭБ) ; Ag ; XF- ; 42 ; Продано в зале ; 115000 
 29 ; Рубль. В капсуле ННР. Сертификат ; 1912 ; (ЭБ) ; Ag ; AU50 ; 36 ; sax ; 12351 
 30 ; 3/4 рубля-5 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; VF+ ; 36 ; форсаж ; 4200 
 31 ; Полтина ; 1813 ; СПБ ПС ; Ag ; VF+ ; 13 ; 234 ; 3000 
 32 ; Полтина ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 32 ; форсаж ; 6916 
 33 ; Полтина ; 1878 ; СПБ НФ ; Ag ; XF- ; 55 ; Sky2 ; 6762 
 34 ; Полуполтинник ; 1765 ; ММД ЕI ; Ag ; XF- ; 71 ; Продано в зале ; 18000 
 35 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; AU ; 20 ; яклич ; 16320 
 36 ; 25 копеек ; 1896 ; АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 7000 
 37 ; 20 копеек ; 1764 ; ММД ; Ag ; VF+ ; 23 ; Продано в зале ; 9000 
 38 ; 20 копеек ; 1819 ; СПБ ПС ; Ag ; XF+ ; 51 ; sax ; 5558 
 39 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; XF ; 19 ; sax ; 4651 
 40 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 18 ; Продано в зале ; 13000 
 41 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 61 ; Продано в зале ; 9500 
 42 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 45 ; Продано в зале ; 18000 
 43 ; 20 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 63 ; 25 ; 13600 
 44 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 11 ; ravs ; 2111 
 45 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 23 ; Продано в зале ; 2500 
 46 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 36 ; каламбурчик ; 3383 
 47 ; 15 копеек ; 1877 ; СПБ НФ ; Ag ; VF ; 15 ; Продано в зале ; 3200 
 48 ; 15 копеек ; 1887 ; СПБ АГ ; Ag ; Unc/AU ; 54 ; Продано в зале ; 9500 
 49 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; Unc/AU ; 59 ; tisa66 ; 14000 
 50 ; 15 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 31 ; Продано в зале ; 7000 
