 325 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 39 ; int1965708 ; 7140 
 326 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 15 ; max7421 ; 3594 
 327 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; VF-XF ; 11 ; Участник № 147 ; 2600 
 328 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF-/XF+ ; 20 ; PSP ; 2204 
 329 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU, красны ; 46 ; priwet ; 3174 
 330 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 13 ; Участник № 222 ; 13000 
 331 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 20 ; Kolya-kms ; 90666 
 332 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF+ ; 61 ; foma71 ; 5500 
 333 ; Копейка ; 1913 ; СПБ ; Cu ; AU ; 11 ; Участник № 133 ; 650 
 334 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 43 ; Участник № 222 ; 19000 
 335 ; 20 копеек. Пробная. (Редкая). Клеймо №29. ; 1956 ;  ; Cu ; XF+ ; 63 ; Участник № 9 ; 65000 
 336 ; Новодел бородового знака ; 1705 ;  ; Cu ; AU ; 19 ; 015 ; 56100 
 337 ; Жетон. На коронацию Николая II ; 1896 ;  ; Ag ; XF+ ; 14 ; priwet ; 5667 
 338 ; "Медаль ""На сооружение четырех флотов"" медальер Т.Иванов, 41х36мм" ; 2 пол. 18в. ;  ; БМ ; AU ; 74 ; foma71 ; 7400 
 339 ; "Медаль ""В память столетия Горного института"" Д=79мм" ; 1873 ;  ; Cu ; AU ; 79 ; Участник № 751 ; 32000 
 340 ; "Медаль ""От главного Управления землеустройства и земледелия"" медальер М.А.Скуднов Д=65мм" ; к.19в. ;  ; Cu ; XF+ ; 25 ; ALCOM ; 4659 
 341 ; Полтина (Петров-4р, Ильин-3р) ; 1727 ; СПБ ; Ag ; VF+ ; 29 ; Глол ; 85000 
 342 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF-XF ; 9 ; PSP ; 3000 
 343 ; Копейка ; 1758 ;  ; Cu ; VF+ ; 22 ; Участник № 9 ; 1700 
 344 ; Денга ; 1759 ;  ; Cu ; VF+ ; 13 ; Участник № 9 ; 2500 
 345 ; Денга ; 1772 ; ЕМ ; Cu ; VF ; 9 ; Участник № 9 ; 1800 
 346 ; 5 копеек ; 1778 ; "КМ ""Сибирь""" ; Cu ; VF+ ; 21 ; Участник № 9 ; 8000 
 347 ; 5 копеек ; 1779 ; "КМ ""Сибирь""" ; Cu ; VF ; 13 ; dimon46 ; 5000 
 348 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF+ ; 23 ; igors1969 ; 5100 
 349 ; Рубль ; 1834 ; """На открытие Александровской ; Ag ; VF-XF ; 21 ; федя ; 50773 
 350 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 251 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; VF-XF ; 3 ; ZOLTAN333 ; 4162 
 252 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 29 ; ААФ ; 10326 
 253 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF+ ; 13 ; Gop ; 4500 
 254 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 13 ; ААФ ; 1360 
 255 ; 2 копейки ; 1861 ; ЕМ ; Cu ; VF+ ; 21 ; Gop ; 9973 
 256 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF-XF ; 25 ; Gop ; 16921 
 257 ; Копейка ; 1861 ; ЕМ ; Cu ; VF-XF ; 16 ; ZOLTAN333 ; 3305 
 258 ; Полушка ; 1861 ; ЕМ ; Cu ; AU ; 40 ; Gop ; 10098 
 259 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU/XF+ ; 10 ; ААФ ; 1134 
 260 ; 3 копейки ; 1862 ; ЕМ ; Cu ; VF+ ; 17 ; Участник № 751 ; 3400 
 261 ; 2 копейки ; 1862 ; ВМ ; Cu ; VF-XF ; 32 ; monos72 ; 17235 
 262 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 1 ; Участник № 133 ; 1300 
 263 ; 2 копейки ; 1863 ; ЕМ ; Cu ; AU ; 26 ; Basilio ; 13566 
 264 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 8 ; Участник № 133 ; 1300 
 265 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 1 ; ZOLTAN333 ; 1500 
 266 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF ; 32 ; Участник № 30 ; 9500 
 267 ; 5 копеек ; 1866 ; ЕМ ; Cu ; VF-XF ; 14 ; Участник № 751 ; 2300 
 268 ; 5 копеек ; 1867 ; ЕМ ; Cu ; VF+ ; 55 ; Глол ; 9692 
 269 ; 5 рублей ; 1868 ; СПБ НI ; Au ; AU ; 24 ; AAE2006 ; 62220 
 270 ; 5 копеек ; 1868 ; ЕМ ; Cu ; VF+ ; 13 ; Глол ; 3060 
 271 ; Рубль (Петров-2,5р) ; 1869 ; СПБ HI ; Ag ; VF ; 39 ; Участник № 9 ; 95000 
 272 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF+ ; 20 ; Участник № 30 ; 3200 
 273 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; XF+ ; 7 ; AAE2006 ; 709 
 274 ; 5 рублей ; 1873 ; СПБ НI ; Au ; AU ; 20 ; AAE2006 ; 55777 
 275 ; Копейка ; 1872 ; ЕМ ; Cu ; VF+ ; 13 ; sergfokin ; 918 
 276 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; XF- ; 11 ; o.k. ; 1530 
 277 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; XF+ ; 15 ; Участник № 147 ; 2600 
 278 ; 5 копеек ; 1873 ; ЕМ ; Cu ; VF-XF ; 23 ; Gop ; 12799 
 279 ; 5 копеек ; 1875 ; ЕМ ; Cu ; XF- ; 104 ; Глол ; 5920 
 280 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; AU ; 47 ; Gop ; 3672 
 281 ; Рубль ; 1877 ; СПБ HI ; Ag ; AU/XF+ ; 31 ; Kolya-kms ; 17342 
 282 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 19 ; Глол ; 3597 
 283 ; 10 марок ; 1878 ; S Финляндия ; Au ; AU ; 46 ; Участник № 9 ; 13000 
 284 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; XF ; 17 ; Участник № 133 ; 2600 
 285 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 6 ; Kolya-kms ; 3500 
 286 ; 5 копеек ; 1878 ; СПБ ; Cu ; VF-XF ; 9 ; Участник № 751 ; 2100 
 287 ; 20 марок ; 1879 ; S Финляндия ; Au ; AU ; 22 ; joker ; 15999 
 288 ; 10 марок ; 1879 ; S Финляндия ; Au ; AU ; 20 ; DMT ; 12442 
 289 ; 3 копейки ; 1879 ; СПБ ; Cu ; XF- ; 9 ; Глол ; 5100 
 290 ; Рубль ; 1880 ; СПБ НФ ; Ag ; VF-XF/VF+ ; 18 ; int1965708 ; 13000 
 291 ; 3 копейки ; 1880 ; СПБ ; Cu ; VF-XF ; 26 ; Gop ; 1600 
 292 ; 2 копейки ; 1880 ; СПБ ; Cu ; XF- ; 44 ; Gop ; 10731 
 293 ; 10 марок ; 1882 ; S Финляндия ; Au ; AU ; 14 ; ALCOM ; 12750 
 294 ; 20 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 19 ; max7421 ; 12000 
 295 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 28 ; Участник № 62 ; 13000 
