 56 ; 10 копеек (Петров-2р) ; 1861 ; СПБ МИ ; Ag ; VF+ ; 32 ; romik ; 15000 
 57 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 13 ; Lisik ; 825 
 58 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 25 ; romik ; 7200 
 59 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 32 ; romik ; 8000 
 60 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 36 ; romik ; 4200 
 61 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 18 ; Isay ; 3064 
 62 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; AU ; 71 ; romik ; 31112 
 63 ; 5 копеек ; 1757 ; СПБ ; Ag ; XF- ; 29 ; Lisik ; 3474 
 64 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF-XF ; 25 ; sdfg ; 20469 
 65 ; 5 копеек ; 1798 ; СП  ОМ ; Ag ; VF ; 22 ; 45500 ; 15887 
 66 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 20 ; Продано в зале ; 3200 
 67 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; XF+ ; 14 ; Продано в зале ; 3600 
 68 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; AU ; 21 ; Продано в зале ; 6400 
 69 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF ; 13 ; sotnik ; 4400 
 70 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; AU ; 29 ; Brian ; 4773 
 71 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU ; 50 ; Brian ; 10075 
 72 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 33 ; Brian ; 4200 
 73 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; AU ; 24 ; Продано в зале ; 7000 
 74 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 21 ; Продано в зале ; 3600 
 75 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 14 ; Продано в зале ; 3400 
 76 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 26 ; Brian ; 2550 
 77 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU/XF ; 10 ; Lisik ; 2652 
 78 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; UNC/AU ; 19 ; Продано в зале ; 5400 
 79 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 11 ; Продано в зале ; 2600 
 80 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 30 ; арбат ; 20514 
 81 ; 5 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 51 ; romik ; 28272 
 82 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 13 ; Lisik ; 3672 
 83 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 9 ; Продано в зале ; 2600 
 84 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 22 ; romik ; 2761 
 85 ; Солид (Петров-6р, Ильин-2р) ; 1760 ; Для Пруссии ; Ag ; VF ; 25 ; Продано в зале ; 7000 
 86 ; 10 копеек (Петров-1,25р) ; 1762 ;  ; Cu ; VF- ; 31 ; SSK ; 24225 
 87 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 48 ; 8 988 ; 13146 
 88 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; VF ; 37 ; Продано в зале ; 15000 
 89 ; 5 копеек ; 1724 ; Хвост в 3 пера ; Cu ; VF ; 33 ; Продано в зале ; 8200 
 90 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; VF-XF ; 31 ; Продано в зале ; 34000 
 91 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 9 ; foxmuld ; 450 
 92 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 30 ; Продано в зале ; 8800 
 93 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF- ; 25 ; alex550 ; 9577 
 94 ; 5 копеек. Двойной удар ; 1796 ; АМ ; Cu ; XF- ; 36 ; фигаро ; 2403 
 95 ; 5 копеек (петров-2р, Ильин-1р) ; 1802 ; КМ ; Cu ; VF-XF ; 13 ; Алексей Викторович ; 20002 
 96 ; 5 копеек ; 1806 ; КМ ; Cu ; VF+ ; 25 ; $$$ ; 8200 
 97 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; XF- ; 22 ; арбат ; 14295 
 98 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF- ; 25 ; double ; 6288 
 99 ; 3 копейки (Ильин-1р) ; 1854 ; ВМ ; Cu ; VF+ ; 34 ; Продано в зале ; 12500 
 100 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF ; 22 ; Продано в зале ; 1600 
 1 ; Новгородская гривна с рисками. М-194,38гр. L-147мм ;  ;  ; Ag ;  ; 36 ; Продано в зале ; 34000 
 2 ; Новгородская гривна. М-197.06гр. L-130мм ;  ;  ; Ag ;  ; 48 ; utjhu ; 44568 
 3 ; Киевская гривна. М-157.84гр.Р-ры: 40х78мм ;  ;  ; Ag ;  ; 41 ; Продано в зале ; 72000 
 4 ; 5 рублей. М-6,53г ; 1836 ; СПБ ПД ; Au ; XF+ ; 42 ; андрей&ка ; 47725 
 5 ; 10 марок. М-3,22г ; 1904 ; L Финляндия ; Au ; AU ; 38 ; Эфес ; 40914 
 6 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 27 ; Продано в зале ; 34000 
 7 ; Рубль ; 1754 ; СПБ ЯI BS ; Ag ; XF+ ; 23 ; Продано в зале ; 57000 
 8 ; Рубль ; 1762 ; СПБ НК ; Ag ; XF- ; 34 ; zorrosha ; 66414 
