 135 ; 2 копейки(Ильин - 2р) ; 1766 ; СПМ ; Cu ; VF ; 53 ; Продано в зале ; 10000 
 136 ; 2 копейки ; 1791 ; ЕМ ; Cu ; VF+ ; 11 ; Продано в зале ; 3000 
 137 ; 2 копейки ; 1795 ; ЕМ ; Cu ; VF+ ; 13 ; luda ; 1785 
 138 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 55 ; Продано в зале ; 14000 
 139 ; 2 копейки. Новодел ; 1809 ; КМ ; Cu ; AU ; 27 ; niki ; 55058 
 140 ; 2 копейки. В пластиковой капсуле  PCGS ; 1813 ; ЕМ НМ ; Cu ; AU58 ; 15 ; Серьезный ; 2550 
 141 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 15 ; Продано в зале ; 1200 
 142 ; Копейка ; 1706 ; БК ; Cu ; VF ; 21 ; 100 М ; 15688 
 143 ; Копейка ; 1728 ;  ; Cu ; XF ; 32 ; au ; 28000 
 144 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 7 ; Серьезный ; 3060 
 145 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 21 ; Алексей Викторович ; 8286 
 146 ; Копейка ; 1860 ; ВМ ; Cu ; XF+ ; 27 ; Алексей Викторович ; 6460 
 147 ; Денга. В пластиковой капсуле  PCGS ; 1731 ;  ; Cu ; XF details ; 19 ; Серьезный ; 3174 
 148 ; Денежка ; 1851 ; ЕМ ; Cu ; XF+ ; 31 ; Серьезный ; 5339 
 149 ; Денежка ; 1856 ; ВМ ; Cu ; XF ; 21 ; 222211 ; 5202 
 150 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF+ ; 23 ; 222211 ; 3084 
 51 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 26 ; Продано в зале ; 7500 
 52 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF/AU ; 24 ; каламбурчик ; 12000 
 53 ; 25 копеек ; 1877 ; СПБ НФ ; Ag ; AU ; 23 ; каламбурчик ; 6120 
 54 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 21 ; Продано в зале ; 22000 
 55 ; 20 копеек. В капсуле NGC ; 1851 ; СПБ ПА ; Ag ; AU 58 ; 59 ; verunk1 ; 7859 
 56 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 54 ; каламбурчик ; 6400 
 57 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 29 ; птичкин ; 9066 
