 17 ; Полуполтинник ; 1754 ; ММД МБ ; Ag ; VF- ; 21 ; Ok203 ; 6500 
 18 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; VF-XF ; 24 ; ЛАВ-13 ; 6484 
 19 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF+ ; 29 ; Продано в зале ; 6400 
 20 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 23 ; Ok203 ; 7500 
 21 ; 25 копеек. Капсула PCGS ; 1858 ; СПБ ФБ ; Ag ;  ; 22 ; Лосики ; 6000 
 22 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 39 ; Продано в зале ; 18000 
 23 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 8 ; sur ; 450 
 24 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 10 ; 敗北 ; 716 
 25 ; 15 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 20 ; sergius ; 2043 
 26 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 14 ; N.A.S.A ; 907 
 27 ; 15 копеек ; 1881 ; СПБ НФ ; Ag ; XF+ ; 8 ; ААФ ; 2392 
 28 ; 15 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 33 ; Продано в зале ; 1600 
 29 ; 15 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 7 ; sergius ; 3063 
 30 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 15 ; RWE ; 1311 
 31 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; XF+ ; 26 ; RWE ; 1385 
 32 ; 15 копеек. Капсула PCGS ; 1917 ; ВС ; Ag ;  ; 13 ; il468 ; 7429 
 33 ; Гривенник ; 1745 ;  ; Ag ; VF+ ; 19 ; zuza ; 4594 
 34 ; Гривенник ; 1746 ;  ; Ag ; VF ; 24 ; Sky2 ; 2492 
 35 ; Гривенник ; 1748 ;  ; Ag ; XF- ; 52 ; zuza ; 3586 
 36 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF+ ; 50 ; Sky2 ; 2040 
 37 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF+ ; 16 ; Продано в зале ; 2000 
 38 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; VF ; 56 ; eastern wind ; 13371 
 39 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 17 ; kost ; 805 
 40 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 18 ; sur ; 650 
 41 ; 10 копеек ; 1885 ; СПБ АГ ; Ag ; XF ; 12 ; ЛАВ-13 ; 1134 
 42 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; XF+ ; 15 ; RWE ; 1328 
 43 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 32 ; амбал ; 6000 
 44 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 66 ; papinazu ; 12000 
 45 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; AU ; 91 ; 25 ; 10404 
 46 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; XF ; 33 ; Продано в зале ; 2400 
 47 ; 5 копеек ; 1866 ; СПБ НФ ; Ag ; XF+ ; 23 ; tisa66 ; 15000 
 48 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; XF+ ; 32 ; Продано в зале ; 9000 
 49 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; XF- ; 20 ; Продано в зале ; 1900 
 50 ; 5 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 21 ; sergius ; 1800 
