 133 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF- ; 7 ; $@€ ; 408 
 134 ; 2 копейки ; 1766 ; СПМ ; Cu ; F-VF ; 16 ; $@€ ; 600 
 135 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 3 ; $@€ ; 1020 
 136 ; 2 копейки ; 1788 ; ММ ; Cu ; VF- ; 5 ; $@€ ; 408 
 137 ; 2 копейки ; 1797 ; АМ ; Cu ; VF-XF ; 23 ; $@€ ; 700 
 138 ; 2 копейки ; 1798 ; АМ ; Cu ; VF-XF ; 15 ; $@€ ; 700 
 139 ; 2 копейки (Ильин-1р) ; 1810 ; ЕМ НМ ; Cu ; VF+ ; 17 ; 🦂 ; 750 
 140 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 15 ; $@€ ; 1200 
 141 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 13 ; $@€ ; 1200 
 142 ; 2 копейки ; 1810 ; КМ ; Cu ; XF- ; 34 ; $@€ ; 1111 
 143 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF+ ; 25 ; $@€ ; 3200 
 144 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; XF ; 7 ; $@€ ; 1020 
 145 ; 2 копейки ; 1897 ; СПБ ; Cu ; AU ; 43 ; tisa66 ; 6000 
 146 ; Копейка ; 1712 ; ·Б·К· ; Cu ; VF+ ; 11 ; Moby ; 3752 
 147 ; Копейка ; 1716 ;  ; Cu ; VF+ ; 32 ; обморок ; 8000 
 148 ; Денга ; 1741 ;  ; Cu ; VF+ ; 25 ; Продано в зале ; 2000 
 149 ; Денга. Петербург. Тип ; 1766 ; ЕМ ; Cu ; F ; 3 ; 🦂 ; 510 
 150 ; Денга ; 1794 ; ЕМ ; Cu ; VF+ ; 33 ; DiatezЪ ; 10000 
 51 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 54 ; Продано в зале ; 30000 
 52 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF+ ; 56 ; 90111 ; 28000 
 53 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 47 ; амбал ; 15000 
 54 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 13 ; Alexdav ; 5500 
 55 ; Полтина ; 1850 ; СПБ ПА ; Ag ; XF ; 20 ; WRC ; 6250 
 56 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+ ; 67 ; vonrussel ; 9500 
 57 ; Полтина. В капсуле NGC ; 1913 ; (ВС) АГ ; Ag ;  ; 34 ; I3 ; 18000 
 58 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF ; 21 ; Uri ; 11000 
 59 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; XF ; 47 ; Rare Breed ; 6809 
 60 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 37 ; iustas ; 6750 
 61 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; XF ; 13 ; vic-dmitri ; 4200 
 62 ; 25 копеек. В капсуле NGC ; 1848 ; СПБ HI ; Ag ;  ; 52 ; Продано в зале ; 14000 
 63 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 59 ; Продано в зале ; 12000 
 64 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 10 ; electra ; 3200 
 65 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 15 ; Продано в зале ; 4500 
 66 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF ; 17 ; Продано в зале ; 2800 
 67 ; 25 копеек ; 1896 ; АГ ; Ag ; XF+ ; 30 ; Продано в зале ; 5500 
 68 ; 25 копеек ; 1900 ; АГ ; Ag ; XF ; 72 ; ито ; 30720 
 69 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; AU ; 29 ; амбал ; 17000 
 70 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF+/AU ; 31 ; I3 ; 18000 
 71 ; 20 копеек ; 1784 ; СПБ ; Ag ; AU ; 26 ; I3 ; 13000 
 72 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 36 ; vic-dmitri ; 4400 
 73 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 41 ; Продано в зале ; 10500 
 74 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 36 ; Продано в зале ; 6500 
 75 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 19 ; Продано в зале ; 10000 
 76 ; 20 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 10 ; WRC ; 800 
 77 ; 20 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 23 ; electra ; 1000 
 78 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 20 ; Продано в зале ; 1700 
 79 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 34 ; kolosok ; 2400 
 80 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 39 ; FIHCHAR ; 3600 
 81 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 25 ; krugerrand ; 2000 
 82 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; XF+ ; 22 ; Продано в зале ; 1200 
 83 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 24 ; kolosok ; 1000 
 84 ; 15 копеек ; 1783 ; СПБ ; Ag ; XF+/AU ; 37 ; I3 ; 15000 
 85 ; 15 копеек ; 1784 ; СПБ ; Ag ; AU ; 46 ; vic-dmitri ; 13000 
 86 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 2600 
 87 ; 15 копеек ; 1872 ; СПБ HI ; Ag ; XF+ ; 32 ; Продано в зале ; 2800 
 88 ; Гривенник ; 1768 ; СПБ TI ; Ag ; XF+ ; 59 ; tisa66 ; 10101 
 89 ; Гривенник ; 1770 ; СПБ TI ; Ag ; AU ; 32 ; papinazu ; 11500 
 90 ; Гривенник ; 1783 ; СПБ ; Ag ; XF+ ; 29 ; tisa66 ; 9500 
 91 ; Гривенник ; 1784 ; СПБ ; Ag ; XF+/AU ; 32 ; I3 ; 8500 
 92 ; Гривенник ; 1785 ; СПБ ; Ag ; XF+/AU ; 20 ; -- --- . ; 8500 
 93 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 33 ; Продано в зале ; 11000 
 94 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 28 ; Продано в зале ; 3000 
 95 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF ; 16 ; tisa66 ; 4500 
 96 ; 10 копеек ; 1839 ; СПБ НГ ; Ag ; XF ; 30 ; СВИ ; 1800 
 97 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 59 ; обморок ; 12266 
 98 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 33 ; I3 ; 8500 
 99 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 81 ; Продано в зале ; 10500 
 100 ; 10 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 46 ; Продано в зале ; 14000 
 1 ; Рубль ; 1718 ; OK ; Ag ; VF ; 39 ; Продано в зале ; 44000 
 2 ; Рубль ; 1721 ;  ; Ag ; XF ; 30 ; vic-dmitri ; 52500 
 3 ; Рубль ; 1728 ;  ; Ag ; XF- ; 33 ; iustas ; 30090 
 4 ; Рубль  (Петров-10р, Ильин-3р) ; 1729 ;  ; Ag ; XF ; 17 ; ALEX1934 ; 45000 
 5 ; Рубль ; 1738 ;  ; Ag ; VF-XF ; 18 ; рt ; 41800 
 6 ; Рубль ; 1738 ; СПБ ; Ag ; XF ; 18 ; iustas ; 25555 
 7 ; Рубль ; 1740 ;  ; Ag ; VF-XF ; 13 ; Продано в зале ; 16000 
 8 ; Рубль ; 1740 ;  ; Ag ; XF- ; 40 ; vic-dmitri ; 30000 
 9 ; Рубль (Петров-15р, Ильин-12р) ; 1741 ; СПБ ; Ag ; XF- ; 51 ; vic-dmitri ; 260000 
 10 ; Рубль ; 1747 ; СПБ ; Ag ; VF-XF ; 17 ; Продано в зале ; 23000 
 11 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 14 ; WRC ; 15000 
 12 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF-XF ; 12 ; papinazu ; 12000 
 13 ; Рубль ; 1764 ; ММД EI TI ; Ag ; XF ; 52 ; papinazu ; 62500 
 14 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF- ; 29 ; papinazu ; 20000 
 15 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF- ; 28 ; Гостомысл ; 15100 
 16 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF ; 26 ; tisa66 ; 19000 
 17 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF- ; 26 ; а1945 ; 17000 
 18 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF-XF ; 12 ; Продано в зале ; 9500 
 19 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF ; 44 ; Продано в зале ; 19000 
 20 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF ; 42 ; а1945 ; 25000 
 21 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF- ; 29 ; а1945 ; 20000 
 22 ; Рубль ; 1773 ; СПБ QЛ TИ ; Ag ; XF ; 15 ; gelo ; 25500 
 23 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 17 ; top1 ; 19000 
 24 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF ; 13 ; Изид ; 20000 
 25 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 9 ; electra ; 8000 
 26 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 23 ; top1 ; 9500 
 27 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF+ ; 37 ; Продано в зале ; 13000 
 28 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF ; 51 ; serg2010 ; 13000 
 29 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF+ ; 31 ; 90111 ; 9000 
 30 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 10 ; Продано в зале ; 6000 
 31 ; Рубль ; 1836 ; СПБ НГ ; Ag ; AU ; 44 ; Продано в зале ; 17000 
 32 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF+ ; 49 ; vic-dmitri ; 22000 
 33 ; Рубль ; 1836 ; СПБ НГ ; Ag ; AU ; 53 ; Продано в зале ; 46000 
 34 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF+ ; 21 ; top1 ; 10000 
 35 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF- ; 35 ; Rotas ; 10567 
 36 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF/AU ; 36 ; 90111 ; 12735 
 37 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF ; 40 ; vic-dmitri ; 13000 
 38 ; Рубль (Ильин-3р) ; 1840 ; СПБ НГ ; Ag ; XF+ ; 33 ; gelo ; 24000 
 39 ; Рубль. В капсуле ННР ; 1843 ; СПБ АЧ ; Ag ;  ; 37 ; Продано в зале ; 21000 
 40 ; Рубль ; 1852 ; СПБ ПА ; Ag ; XF ; 19 ; Hermes ; 10500 
 41 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 18 ; snupi ; 17000 
 42 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF+ ; 49 ; xfiers ; 40000 
 43 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF/AU ; 24 ; vic-dmitri ; 26000 
 44 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF+ ; 24 ; 90111 ; 16187 
 45 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 13 ; vic-dmitri ; 16000 
 46 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF ; 38 ; xfiers ; 18957 
 47 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 19 ; рt ; 11424 
 48 ; Рубль ; 1898 ; ( ** ) ; Ag ; AU ; 37 ; serg2010 ; 14790 
 49 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 35 ; рt ; 25000 
 50 ; Рубль ; 1900 ; (ФЗ) ; Ag ; XF ; 32 ; рt ; 22800 
