 23 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 44 ; 78gen ; 48000 
 24 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 43 ; Продано в зале ; 18000 
 25 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 33 ; Продано в зале ; 34000 
 26 ; Рубль ; 1822 ; СПБ ПД ; Ag ; XF/VF-XF ; 9 ; Продано в зале ; 8500 
 27 ; Рубль (Петров-3р) ; 1825 ; СПБ НГ ; Ag ; XF ; 34 ; Продано в зале ; 28000 
 28 ; Рубль. В капсуле ННР. ; 1841 ; СПБ НГ ; Ag ;  ; 21 ; il468 ; 6234 
 29 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF ; 31 ; ААФ ; 18730 
 30 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF ; 47 ; Продано в зале ; 34000 
 31 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF+ ; 35 ; aralsk ; 25432 
 32 ; Полтина ; 1763 ; СПБ НК ; Ag ; VF+ ; 46 ; 222211 ; 21650 
 33 ; Полтина (Петров-5р, Ильин-5р) ; 1775 ; СПБ ФЛ ; Ag ; VF ; 60 ; Продано в зале ; 14000 
 34 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF/AU ; 46 ; Продано в зале ; 8500 
 35 ; 20 копеек ; 1776 ; СПБ TI ; Ag ; XF ; 48 ; Хаа ; 21534 
 36 ; 20 копеек ; 1785 ; СПБ ; Ag ; VF-XF ; 47 ; Продано в зале ; 13000 
 37 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 32 ; slando ; 2550 
 38 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 44 ; Alex22D ; 2654 
 39 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; Продано в зале ; 2200 
 40 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 29 ; Продано в зале ; 3500 
 41 ; 15 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 40 ; Olimpia ; 5172 
 42 ; 15 копеек ; 1896 ; СПБ АГ ; Ag ; XF- ; 22 ; Продано в зале ; 15500 
 43 ; Гривенник ; 1733 ;  ; Ag ; VF ; 99 ; sax ; 36618 
 44 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 28 ; zuza ; 4500 
 45 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF-XF ; 60 ; Продано в зале ; 3200 
 46 ; Гривенник ; 1779 ; СПБ ; Ag ; XF- ; 27 ; Продано в зале ; 5300 
 47 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 37 ; обморок ; 22000 
 48 ; 10 копеек. Гурт точки ; 1861 ; СПБ ; Ag ; XF+ ; 75 ; Продано в зале ; 10500 
 49 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 19 ; Продано в зале ; 1500 
 50 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 49 ; cheta ; 4061 
