 3 ; 10 рублей. М-12,87г ; 1894 ; (АГ) АГ ; Au ; VF-XF ; 48 ; Продано в зале ; 185000 
 4 ; 10 рублей. М-8,58г ; 1901 ; (АР) АГ ; Au ; XF ; 5 ; M167 ; 24990 
 5 ; 7руб.50 коп. М-6,44г ; 1897 ; (АГ) ; Au ; XF ; 30 ; Продано в зале ; 40000 
 6 ; 5 рублей. М-6,5г ; 1831 ; СПБ ПД ; Au ; XF- ; 67 ; Lego duplo ; 67626 
 7 ; 5 рублей. М-6,5г ; 1833 ; СПБ ПД ; Au ; XF- ; 31 ; ValeriyL ; 39720 
 8 ; 5 рублей. М-6,46г ; 1841 ; СПБ АЧ ; Au ; XF ; 21 ; CapsulЪ ; 39270 
 9 ; 5 рублей. М6,54г ; 1843 ; СПБ АЧ ; Au ; XF+ ; 38 ; vic-dmitri ; 40000 
 10 ; 5 рублей. М-6,54г ; 1845 ; СПБ КБ ; Au ; XF+ ; 28 ; Акоп ; 52500 
 11 ; 5 рублей. М-6,52г ; 1847 ; СПБ АГ ; Au ; XF ; 13 ; ValeriyL ; 39270 
 12 ; 5 рублей. М-6,43г ; 1890 ; (АГ) ; Au ; XF ; 35 ; Продано в зале ; 38000 
 13 ; 5 рублей. М-4,28г ; 1904 ; (АР) ; Au ; AU ; 13 ; Kartu ; 14000 
 14 ; Рубль (Петров-2,5р, Ильин-3р) ; 1726 ;  ; Ag ; XF- ; 50 ; Kartu ; 68000 
 15 ; Рубль ; 1734 ;  ; Ag ; XF ; 34 ; papinazu ; 52500 
 16 ; Рубль ; 1737 ;  ; Ag ; XF ; 24 ; Продано в зале ; 23000 
 17 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; AU ; 43 ; Продано в зале ; 75000 
 18 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 23 ; papinazu ; 26000 
 19 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF-XF ; 29 ; Великий Могол ; 15156 
 20 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; XF+ ; 40 ; Продано в зале ; 24000 
 21 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF- ; 18 ; snupi ; 5250 
 22 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF- ; 15 ; snupi ; 4600 
 23 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 14 ; I3 ; 17136 
 24 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 25 ; капин ; 6250 
