 84 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 35 ; пободаемся ; 2182 
 85 ; 2 копейки ; 1831 ; СМ ; Cu ; VF ; 37 ; Продано в зале ; 2400 
 86 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF+ ; 30 ; нумизмат ; 5329 
 87 ; Копейка ; 1706 ; БК ; Cu ; VF ; 61 ; Продано в зале ; 16500 
 88 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 41 ; double ; 3245 
 89 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; fgd ; 1500 
 90 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; XF ; 68 ; Продано в зале ; 4500 
 91 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 12 ; Продано в зале ; 320 
 92 ; Копейка ; 1837 ; ЕМ НА ; Cu ; XF- ; 110 ; монета кривая ; 8028 
 93 ; Копейка ; 1837 ; ЕМ КТ ; Cu ; XF- ; 80 ; 3273 ; 10000 
 94 ; Копейка ; 1843 ; СПМ ; Cu ; XF- ; 43 ; evgenijzhuk ; 13808 
 95 ; Копейка ; 1845 ; СМ ; Cu ; VF-XF ; 36 ; Продано в зале ; 2600 
 96 ; Копейка ; 1851 ; ЕМ ; Cu ; VF-XF ; 22 ; Sky2 ; 1134 
 97 ; Копейка ; 1855 ; ЕМ ; Cu ; VF-XF ; 41 ; fgd ; 1613 
 98 ; Копейка ; 1860 ; ВМ ; Cu ; XF- ; 45 ; serg2010 ; 10353 
 99 ; Копейка ; 1887 ; СПБ ; Cu ; AU ; 55 ; монета кривая ; 6674 
 100 ; Копейка  В капсуле NGC ; 1891 ; СПБ ; Cu ; Unc ; 52 ; ДМИТРИЙ С ; 6630 
 1 ; 5 рублей. В капсуле NGC ; 1873 ; СПБ НI ; Au ; AU55 ; 25 ; Продано в зале ; 51000 
 2 ; 10 марок. В капсуле NGC ; 1881 ; S Финляндия ; Au ; MS62 ; 40 ; sax ; 20514 
 3 ; 10 марок. В капсуле NGC ; 1882 ; S Финляндия ; Au ; MS62 ; 35 ; gola78 ; 20194 
 4 ; 3 рубля. М - 10,22г ; 1829 ; СПБ ; Pt ; VF+ ; 38 ; Продано в зале ; 75000 
 5 ; Рубль ; 1732 ;  ; Ag ; XF ; 37 ; 8128 ; 34000 
 6 ; Рубль ; 1737 ;  ; Ag ; XF- ; 49 ; Продано в зале ; 36000 
 7 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF/XF- ; 59 ; icebreaker ; 40800 
 8 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF ; 49 ; раритет ; 16979 
 9 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF-/XF+ ; 85 ; Продано в зале ; 28000 
 10 ; Рубль. Редка ; 1766 ; СПБ АШ ; Ag ; VF-XF ; 61 ; 8128 ; 160000 
 11 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 68 ; Продано в зале ; 12000 
 12 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; VF-XF ; 77 ; Продано в зале ; 13500 
 13 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF-XF ; 65 ; fgd ; 17000 
 14 ; Рубль (Петров - 3руб) ; 1809 ; СПБ МК ; Ag ; XF- ; 30 ; vvt ; 37485 
 15 ; Рубль (На гурте - 2814/15 (ошибка)) ; 1817 ; СПБ ПС ; Ag ; AU ; 87 ; золотник ; 128786 
 16 ; Рубль (Ильин - 4руб) ; 1817 ; СПБ ПС ; Ag ; AU ; 90 ; Т439ТТ ; 132131 
 17 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF- ; 65 ; electra ; 10325 
 18 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 50 ; 222211 ; 44348 
 19 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF+ ; 35 ; нумизмат ; 168300 
 20 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 71 ; нумизмат ; 15302 
 21 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 21 ; нумизмат ; 14280 
 22 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 19 ; Продано в зале ; 17500 
 23 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF ; 61 ; Продано в зале ; 14000 
 24 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF-XF ; 68 ; Tbilisi ; 23926 
 25 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 26 ; Полтина ; 1812 ; СПБ МФ ; Ag ; VF+ ; 43 ; Sky2 ; 3609 
