 143 ; Рубль ; 1922 ; (ПЛ) ; Ag ; AU ; 52 ; 333985 ; 39615 
 144 ; 20 рублей ; 1993 ; ЛМД Белый металл (немагнитный) ;  ; XF- ; 22 ; Продано в зале ; 76000 
 145 ; 20 копеек. В капсуле NGC ; 1860 ; СПБ ФБ ; Ag ; MS 62 ; 35 ; dsidorov ; 6028 
 146 ; 20 копеек. В капсуле NGC ; 1863 ; СПБ АБ ; Ag ; MS 61 ; 21 ; serg2010 ; 3570 
 147 ; 20 копеек. В капсуле NGC ; 1872 ; СПБ HI ; Ag ; MS 62 ; 22 ; Продано в зале ; 8000 
 148 ; 20 копеек. В капсуле NGC ; 1876 ; СПБ HI ; Ag ; MS 63 ; 17 ; Продано в зале ; 8000 
 149 ; 15 копеек. В капсуле PCGS ; 1906 ; СПБ ЭБ ; Ag ; MS 62 ; 15 ; Продано в зале ; 3600 
 150 ; 10 копеек. В капсуле NGC ; 1856 ; СПБ НФ ; Ag ; AU 58 ; 20 ; dsidorov ; 3538 
 51 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 19 ; Продано в зале ; 11000 
 52 ; 5 копеек (Петров-15р, Ильин-5р) ; 1726 ; МД Дата 1276 ; Cu ; F+ ; 66 ; Анхель ; 60000 
 53 ; 5 копеек ; 1762 ;  ; Cu ; VF ; 22 ; Продано в зале ; 5600 
 54 ; 5 копеек  ; 1763 ; СПМ ; Cu ; VF+ ; 23 ; МСКВ ; 2001 
 55 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 9 ; Продано в зале ; 400 
 56 ; 5 копеек ; 1766 ; ММ ; Cu ; VF+ ; 15 ; Анхель ; 2400 
 57 ; 5 копеек (Петров-15р, Ильин-10р) ; 1766 ; "Сибирь" ; Cu ; VF- ; 60 ; Продано в зале ; 64000 
 58 ; 5 копеек ; 1768 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 1200 
 59 ; 5 копеек (Ильин-3р) ; 1768 ; ММ ; Cu ; VF ; 17 ; Продано в зале ; 10000 
 60 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 27 ; Продано в зале ; 10500 
 61 ; 5 копеек ; 1783 ; КМ ; Cu ; XF- ; 29 ; Продано в зале ; 4600 
 62 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 54 ; Продано в зале ; 5500 
 63 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 36 ; Продано в зале ; 5500 
 64 ; 5 копеек (Ильин - 10р) ; 1787 ; ТМ ; Cu ; VF ; 38 ; Продано в зале ; 25000 
 65 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 31 ; Продано в зале ; 6000 
 66 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 15 ; Анхель ; 3184 
 67 ; 5 копеек ; 1788 ; КМ ; Cu ; XF ; 35 ; Продано в зале ; 4200 
 68 ; 5 копеек ; 1789 ; АМ ; Cu ; XF+ ; 37 ; ruba ; 8000 
 69 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 12 ; Продано в зале ; 1200 
