 83 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF-XF ; 42 ; букан ; 14907 
 84 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 20 ; букан ; 2070 
 85 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 17 ; букан ; 2029 
 86 ; 2 копейки ; 1803 ; ЕМ ; Cu ; VF- ; 35 ; арбат ; 10000 
 87 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 3 ; Продано в зале ; 500 
 88 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 16 ; Продано в зале ; 1300 
 89 ; Копейка (Петров-8р, Ильин-3р) ; 1714 ; М  Д ; Cu ; F-VF ; 11 ; Брат ; 9066 
 90 ; Копейка ; 1717 ; НДЗ ; Cu ; VF ; 29 ; Продано в зале ; 12000 
 91 ; Копейка ; 1757 ;  ;  ; XF+ ; 42 ; Продано в зале ; 52000 
 92 ; Копейка ; 1844 ; ЕМ ; Cu ; VF-XF ; 21 ; энкантадо ; 3366 
 93 ; Копейка ; 1846 ; СМ ; Cu ; VF+ ; 31 ; 222211 ; 1392 
 94 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 33 ; 222211 ; 2172 
 95 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 14 ; Продано в зале ; 4600 
 96 ; Денга ; 1766 ; ЕМ ; Cu ; VF+ ; 13 ; $$$ ; 2552 
 97 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 50 ; Продано в зале ; 3800 
 98 ; Деньга (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; F+ ; 34 ; Продано в зале ; 9500 
 99 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 21 ; ervin ; 3612 
 100 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 29 ; sax ; 3245 
 1 ; 10 рублей (Вес = 12, 9 г) ; 1894 ; (АГ) АГ ; Au ; XF/AU ; 51 ; Продано в зале ; 200000 
 2 ; Рубль ; 1723 ; ОК ; Ag ; VF-XF ; 59 ; Продано в зале ; 50000 
 3 ; Рубль ; 1726 ; СПБ ; Ag ; VF+ ; 25 ; рад ; 28123 
 4 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 37 ; Продано в зале ; 23000 
 5 ; Рубль ; 1737 ;  ; Ag ; XF+ ; 40 ; 78gen ; 60000 
 6 ; Рубль ; 1743 ; СПБ ; Ag ; XF- ; 29 ; $$$ ; 25000 
 7 ; Рубль ; 1746 ; СПБ ; Ag ; VF-XF ; 25 ; Sky2 ; 22554 
 8 ; Рубль ; 1752 ; ММД Е ; Ag ; XF+ ; 19 ; 15151 ; 72420 
 9 ; Рубль ; 1758 ; СПБ НК TI ; Ag ; VF+ ; 44 ; Sky2 ; 46000 
 10 ; Рубль ; 1759 ; СПБ ЯI TI ; Ag ; XF ; 25 ; Продано в зале ; 81000 
 11 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; AU ; 24 ; 78gen ; 70000 
 12 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; AU ; 42 ; Продано в зале ; 84000 
 13 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF/XF+ ; 48 ; Продано в зале ; 20000 
 14 ; Рубль ; 1833 ; СПБ НГ ; Ag ; AU ; 22 ; ДмитрийЩ ; 31837 
 15 ; Рубль ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 63 ; Продано в зале ; 26000 
 16 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF/AU ; 37 ; sd555 ; 39213 
 17 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF/AU ; 48 ; Продано в зале ; 25000 
 18 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU/XF ; 21 ; Продано в зале ; 17000 
 19 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 23 ; Продано в зале ; 9500 
