 92 ; Денга ; 1702 ;  ; Cu ; VF+ ; 56 ; нумизмат ; 6800 
 93 ; Полушка ; 1797 ; АМ ; Cu ; VF+ ; 16 ; Продано в зале ; 2800 
 94 ; Пара-3 деньги (Ильин - 15 руб) ; 1772 ; Валахия ; Cu ; VG ; 17 ; Продано в зале ; 6300 
 95 ; 3 копейки ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF ; 53 ; masterovoi ; 15010 
 96 ; Жетон. Эталон. П-1 50 копеек ; 1966 ;  ; б/м ; AU ; 29 ; Продано в зале ; 4800 
 97 ; Жетон. Эталон. Н-2 20 копеек ; 1962 ;  ; б/м ; VF-XF ; 21 ; Продано в зале ; 2400 
 98 ; Жетон. Эталон. П-1 20 копеек ; 1966 ;  ; б/м ; XF+ ; 15 ; Продано в зале ; 2400 
 99 ; Жетон. Эталон. П-2 20 копеек ; 1966 ;  ; б/м ; XF+ ; 16 ; Продано в зале ; 3000 
 100 ; Жетон. Эталон. П-1 15 копеек ; 1962 ;  ; б/м ; XF- ; 17 ; Mike! ; 2200 
 1 ; 10 рублей. М - 8,57г ; 1903 ; (АР) АГ ; Au ; AU ; 19 ; dtv kv ; 23460 
 2 ; 10 рублей. М-8,6г ; 1909 ; (ЭБ) АГ ; Au ; AU ; 39 ; Victory-2001 ; 52001 
 3 ; 5 рублей. М - 6,43г ; 1890 ; (АГ) ; Au ; XF+ ; 12 ; Продано в зале ; 38000 
 4 ; Рубль. Убрана напайка М - 1,17г ; 1779 ; "Для дворцового обихода" ; Au ; VF-XF ; 43 ; paul196262 ; 34000 
 5 ; 6 рублей. М-20,64г ; 1830 ; СПБ ; Pt ; XF+ ; 71 ; finger ; 720000 
 6 ; 3 рубля. М-10,3г ; 1831 ; СПБ ; Pt ; XF ; 30 ; пара ; 82000 
 7 ; Рубль (Петров - 4 р.) ; 1721 ;  ; Ag ; XF+ ; 62 ; 78gen ; 105000 
 8 ; Рубль ; 1725 ; ОК ; Ag ; VF-XF ; 32 ; icebreaker ; 50000 
 9 ; Рубль ; 1725 ; СПБ ; Ag ; VF- ; 30 ; sd555 ; 61326 
 10 ; Рубль ; 1725 ; СПБ ; Ag ; VF-/VF+ ; 45 ; samara 67 ; 30000 
 11 ; Рубль ; 1731 ;  ; Ag ; XF- ; 31 ; Продано в зале ; 20000 
 12 ; Рубль ; 1734 ;  ; Ag ; XF- ; 39 ; 25 ; 32000 
 13 ; Рубль ; 1756 ; ММД МБ ; Ag ; XF- ; 29 ; нумизмат ; 40851 
 14 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF ; 27 ; Продано в зале ; 17000 
 15 ; Рубль ; 1764 ; ММД EI TI ; Ag ; XF+ ; 44 ; DAndy-2003 ; 35857 
 16 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF-XF ; 15 ; Продано в зале ; 14000 
 17 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF+ ; 21 ; Продано в зале ; 20000 
 18 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF- ; 15 ; rty ; 14790 
 19 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 23 ; нумизмат ; 14790 
 20 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF- ; 27 ; 462 ; 6908 
 21 ; Рубль ; 1814 ; СПБ ПС ; Ag ; XF+ ; 25 ; verunk1 ; 24513 
 22 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 20 ; Продано в зале ; 30000 
 23 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 28 ; Продано в зале ; 36000 
 24 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 45 ; 78gen ; 28590 
 25 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 37 ; fgd ; 13749 
 26 ; Рубль. В капсуле ННР. AU50. Сертификат ; 1878 ; СПБ НФ ; Ag ;  ; 42 ; Прокурор ; 8888 
 27 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 53 ; verunk1 ; 26640 
 28 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 21 ; Продано в зале ; 105000 
 29 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 19 ; Продано в зале ; 13000 
 30 ; Полтина ; 1724 ;  ; Ag ; VF-XF ; 31 ; нумизмат ; 47940 
 31 ; Полтина ; 1763 ; СПБ НК ; Ag ; VF+ ; 25 ; A-Stral ; 24582 
 32 ; Полтина ; 1899 ; (ФЗ) АГ ; Ag ; XF+ ; 56 ; verunk1 ; 32861 
 33 ; Полуполтинник ; 1752 ; ММД IШ ; Ag ; VF-XF ; 52 ; Продано в зале ; 8500 
 34 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 27 ; taa ; 7960 
 35 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 30 ; fgd ; 8791 
 36 ; 20 копеек. В капсуле ННР.  AU55 ; 1889 ; СПБ АГ ; Ag ;  ; 30 ; Sergio80 ; 1428 
 37 ; 20 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 48 ; 25 ; 4590 
 38 ; 15 копеек. В капсуле ННР.  AU55 ; 1891 ; СПБ АГ ; Ag ;  ; 38 ; Sergio80 ; 2400 
 39 ; Гривенник ; 1747 ;  ; Ag ; VF-XF ; 55 ; нумизмат ; 5169 
 40 ; Гривенник ; 1787 ; СПБ ; Ag ; XF+ ; 46 ; swoon ; 4085 
 41 ; 10 копеек. В капсуле PCGS. XF40 ; 1798 ; СМ МБ ; Ag ;  ; 75 ; Продано в зале ; 33000 
 42 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 52 ; taa ; 7140 
 43 ; 10 копеек. В капсуле ННР.  AU55 ; 1857 ; СПБ ФБ ; Ag ;  ; 45 ; Продано в зале ; 4600 
 44 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 34 ; pilot2371 ; 2660 
 45 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 16 ; Продано в зале ; 1600 
 46 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 11 ; sotnik ; 1024 
 47 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 48 ; нумизмат ; 5668 
 48 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 23 ; sax ; 2200 
 49 ; 10 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 20 ; Продано в зале ; 5000 
 50 ; 10 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 9 ; sax ; 2200 
