 5 ; 10 марок. М-3,23г ; 1904 ; L Финляндия ; Au ; AU/XF+ ; 24 ; cr4068 ; 40647 
 6 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; AU ; 47 ; habibbulin ; 42452 
 7 ; Рубль (Ильин - 3 руб) ; 1816 ; СПБ ПС ; Ag ; XF+ ; 47 ; Продано в зале ; 24000 
 8 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 39 ; Продано в зале ; 30000 
 9 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 35 ; Продано в зале ; 25000 
 10 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 30 ; Продано в зале ; 25000 
 11 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF+ ; 28 ; 1823 ; 24480 
 12 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF ; 26 ; Продано в зале ; 82000 
 13 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU/XF+ ; 27 ; 78gen ; 100000 
 14 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF/XF+ ; 46 ; Продано в зале ; 40000 
 15 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 37 ; Продано в зале ; 104000 
 16 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 26 ; sergius ; 35442 
 17 ; Полтина ; 1753 ; СПБ ; Ag ; VF-XF ; 55 ; samara 67 ; 32232 
 18 ; Полтина ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 43 ; Sky2 ; 6234 
 19 ; 30 копеек-2 злотых ; 1841 ; MW Рус.-Пол. ; Ag ; VF ; 31 ; Продано в зале ; 2800 
 20 ; Полуполтинник (Ильин - 6 руб) ; 1798 ; СП  ОМ ; Ag ; VF-XF ; 101 ; Продано в зале ; 95000 
 21 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 38 ; Продано в зале ; 7500 
 22 ; 25 копеек-50 грошей (Петров - 7 руб, Ильин - 5 руб) ; 1844 ; MW Рус.-Пол. ; Ag ; VF- ; 29 ; Продано в зале ; 16000 
 23 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; XF+ ; 78 ; CR1104 ; 75000 
 24 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 45 ; СВИ ; 22667 
 25 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 39 ; Sky2 ; 5214 
 26 ; 20 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 29 ; Продано в зале ; 12500 
 27 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 23 ; TaraskaPeter ; 3500 
 28 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 33 ; Продано в зале ; 2200 
 29 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 11 ; tisa66 ; 6000 
 30 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 16 ; cr4068 ; 6500 
 31 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 34 ; аlеx ; 5088 
 32 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 53 ; tisa66 ; 8727 
 33 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 43 ; cr4068 ; 9272 
 34 ; Гривенник ; 1783 ; СПБ ; Ag ; XF+ ; 40 ; irinka ; 7586 
 35 ; Гривенник ; 1784 ; СПБ ; Ag ; XF+ ; 24 ; 333985 ; 6102 
 36 ; 10 копеек ; 1813 ; СПБ ПС ; Ag ; XF- ; 35 ; cotangens ; 5214 
 37 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF ; 25 ; 333985 ; 2655 
 38 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF- ; 19 ; 333985 ; 3787 
 39 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; XF- ; 21 ; 333985 ; 3674 
 40 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 28 ; cotangens ; 5508 
 41 ; 10 копеек ; 1824 ; СПБ ПД ; Ag ; XF- ; 25 ; cotangens ; 4753 
 42 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 50 ; Sky2 ; 9792 
 43 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 54 ; Sky2 ; 8204 
 44 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; XF- ; 50 ; Продано в зале ; 8500 
 45 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 33 ; taa ; 5667 
 46 ; 10 копеек ; 1831 ; СПБ НГ ; Ag ; XF- ; 32 ; Sky2 ; 9066 
 47 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 12 ; zuza ; 2200 
 48 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 41 ; Продано в зале ; 3500 
 49 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 17 ; sherst1 ; 1338 
 50 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 11 ; sherst1 ; 2000 
