 120 ; Монета медная. Римская империя ;  ;  ;  ; F-VF ; 68 ; 2First ; 357 
 121 ; Монета медная. Римская империя ;  ;  ;  ; F-VF ; 47 ; 2First ; 166 
 122 ; Монета средневековая ;  ;  ;  ; F-VF ; 59 ; oks ; 500 
 123 ; 1/4 эре. Швеция ; 1635 ;  ;  ; VF+ ; 24 ; anubis_lex ; 400 
 124 ; 1/4 эре. Швеция ; 1635 ;  ;  ; VF- ; 27 ; jl ; 72 
 125 ; 1/4 эре. Швеция ; 1635 ;  ;  ; VF- ; 53 ; ppp ; 53 
 126 ; 1/4 эре. Швеция ; 1636 ;  ;  ; VF- ; 23 ; oks ; 81 
 127 ; 1/4 эре. Швеция ; 1636 ;  ;  ; VF ; 21 ; oks ; 100 
 128 ; 1/4 эре. Швеция ; 1642 ;  ;  ; VF- ; 31 ; oks ; 63 
 129 ; 1/4 эре. Швеция ; 17в ;  ;  ; VF- ; 31 ; salim ; 31 
 130 ; 1/4 эре. Швеция ; 17в ;  ;  ; VF+ ; 28 ; jl ; 60 
 131 ; 1/4 эре. Швеция ; 17в ;  ;  ; VF- ; 4 ; salim ; 11 
 132 ; 1/4 эре. Швеция ; 17в ;  ;  ; VF- ; 41 ; jl ; 51 
 133 ; Монета. Китай ;  ;  ;  ; VF ; 48 ; jl ; 36 
 134 ; Монета. Китай ;  ;  ;  ; VF ; 29 ; jl ; 28 
 135 ; Монета. Китай ;  ;  ;  ; F-VF ; 34 ; jl ; 32 
 136 ; Монета. Китай ;  ;  ;  ; F-VF ; 25 ; jl ; 31 
 137 ; Талер. Бавария. Убрана напайка 12 часов ; 1773 ;  ;  ; VF+ ; 102 ; skir ; 1728 
 138 ; 1 грош. Польша ; 1767 ;  ;  ; F-VF ; 45 ; zero ; 100 
 139 ; 1 грош. Польша ; 1783 ;  ;  ; F-VF ; 125 ; zero ; 203 
 140 ; 1 грош. Польша ; 1794 ;  ;  ; F-VF ; 74 ; 2First ; 140 
 141 ; 10 пфеннигов. Германия ; 1876 ;  ;  ; VF+ ; 47 ; zero ; 53 
 142 ; 10 пфеннигов. Германия ; 1942 ;  ;  ; VF+ ; 24 ; alnov ; 53 
 143 ; 5 пфеннигов. Германия ; 1901 ;  ;  ; VF+ ; 12 ; munzen07 ; 19 
 144 ; 1 пфенниг. Германия ; 1908 ;  ;  ; VF+ ; 33 ; munzen07 ; 34 
 145 ; 5 пфеннигов. Веймар ; 1924 ;  ;  ; VF+ ; 19 ; skir ; 22 
 146 ; 10 пфеннигов. ГДР ; 1949 ;  ;  ; XF- ; 26 ; gelind ; 26 
 147 ; 5 пфеннигов. ГДР ; 1948 ;  ;  ; XF ; 26 ; gelind ; 26 
 148 ; 10 пфеннигов. ФРГ ; 1949 ;  ;  ; VF+ ; 6 ; gelind ; 15 
 149 ; "5 марок ""Ледокол-Варма"". Финляндия" ; 1972 ;  ;  ; AU ; 30 ; igors1969 ; 72 
 150 ; 50 пенни. Финляндия ; 1921 ;  ;  ; VF+ ; 55 ; igors1969 ; 101 
