 6519 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 29 ; maorly ; 45 
 6520 ; Монеты России в экспозиции Музея денежного обращения "Конрос" ;  ;  ;  ;  ; 12 ; Affliction ; 69 
 6521 ; Сборник коллекционных аукционов  «Конрос» N17 – 20, 2003 год, с результатами ;  ;  ;  ;  ; 1 ; 102.meshok ; 2 
 6522 ; Каталог монет Польши XX и XIX вв. FISCHER 2000 ;  ;  ;  ;  ; 38 ; Георг ; 509 
 6523 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 335. 18/19 марта 2020 ;  ;  ;  ;  ; 11 ; КСИФОС ; 130 
 6524 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 331. 30 июня 2020 ;  ;  ;  ;  ; 11 ; КСИФОС ; 113 
 6525 ; Каталог монет и банкнот Финляндии 1811-1999гг. HOLMASTO 1999г ;  ;  ;  ;  ; 14 ; Cвятозар ; 227 
 6526 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 334. 17 марта 2020 ;  ;  ;  ;  ; 19 ; Searcher ; 306 
 6527 ; Лот каталогов почтовых марок СССР: 2 шт. 1 и 2 том ;  ;  ;  ;  ; 7 ; vladimirV ; 150 
 6528 ; Лот каталогов почтовых марок: 4 шт. Космос ;  ;  ;  ;  ; 12 ; Шерлок Холмс ; 250 
 6529 ; Аукционный каталог HOLMASTO. Аукцион 150. 14.12.2019 ;  ;  ;  ;  ; 17 ; КСИФОС ; 166 
 6530 ; Святое Евангелие. С-Петербургская Городская дума окончившим учение в начальных в начальных училищах 30 мая 1914г ;  ;  ;  ;  ; 40 ; ROTT ; 997 
 6531 ; Книга для чтения по истории средних веков составленная кружком преподавателей под редакцией профессора П.Г. Виноградова. Выпуск второй. Москва 1897г ;  ;  ;  ;  ; 42 ; lenohota ; 716 
 6532 ; Журнал Банкноты мира. Выпуск 58 №4. 2019г ;  ;  ;  ;  ; 3 ; Vox ; 8 
 6533 ; Н.В. Прохорова. Монеты и банкноты России. Москва 2007 ;  ;  ;  ;  ; 70 ; rem. ; 204 
 6534 ; Юсупов Б.С. Российские монеты (1699-1917гг) Справочное нумизматическое руководство. Издательство: "АСКОЛЬД". Казань 1995 ;  ;  ;  ;  ; 35 ; lavist ; 348 
