 6660 ; Статуэтка фарфоровая Гжель. Кобра ;  ;  ;  ;  ; 18 ; LEXAI ; 164 
 6661 ; Настольная игра ЛОТО ;  ;  ;  ;  ; 36 ; BohUm ; 513 
 6662 ; Лот предметов - перламутровые накладки 2 шт и малахитовые пуговицы 5 шт. ;  ;  ;  ;  ; 18 ; Dahan ; 389 
 6663 ; Коробка с ключом ;  ;  ;  ;  ; 17 ; alapabula ; 354 
 6664 ; Жестяная банка Кофе натуральный. Главконсерв. ;  ;  ;  ;  ; 2 ; veektor ; 3 
 6463 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 43 ; ser.vad ; 513 
 6464 ; Каталог-справочник. Монеты Украины 1992-2020 годы. Редакция 7, 2020 год ;  ;  ;  ;  ; 15 ; suomi ; 174 
 6465 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 24 ; cityden ; 90 
 6466 ; Каталог-справочник. Монеты Беларуси 1996-2013 гг. Редакция 4, 2013 год ;  ;  ;  ;  ; 15 ; Emv ; 18 
 6467 ; Каталог-справочник. Юбилейные и памятные монеты Казахстана 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 7 ; Emv ; 26 
 6468 ; Монеты России в экспозиции Музея денежного обращения "Конрос" ;  ;  ;  ;  ; 25 ; Emv ; 42 
 6469 ; Репринтное издание. Ю. Иверсена. 1874 год. Неизданные и редкие русские медали ;  ;  ;  ;  ; 6 ; Affliction ; 181 
 6470 ; Каталог-справочник. Монеты Абхазии, Азербайджана, Армении, Грузии и Южной Осетии. Редакция 1, 2019 год ;  ;  ;  ;  ; 8 ; МММ ; 102 
 6471 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург ; 2019 ;  ;  ;  ; 14 ; Бигль ; 357 
 6472 ; Каталог монет России 1700-1917гг. Нумизмания.рф. Редакция 3. Январь 2018 года. Санкт-Петербург ;  ;  ;  ;  ; 17 ; Nikitos76 ; 102 
 6473 ; Боев В.А. Медали для награждения за заслуги в решении важнейших народнохозяйственных задач СССР. Киев 2006г ;  ;  ;  ;  ; 17 ; msmaci ; 918 
 6474 ; Книга с открытками. США ;  ;  ;  ;  ; 14 ; tpp ; 261 
 6475 ; Книга с открытками. США ;  ;  ;  ;  ; 20 ; tpp ; 313 
 6476 ; Каталог почтовых марок, почтовый карточек и конвертов с оригинальными марками 1992-2006. Стандарт-коллекция. Санкт-Петербург 2007г ;  ;  ;  ;  ; 34 ; lavist ; 254 
 6477 ; Сборник статей Советский коллекционер. Издательство "Связь". Москва 1978г ;  ;  ;  ;  ; 17 ; Снукер ; 137 
 6478 ; Сборник статей Советский коллекционер. Издательство "Радио и Связь". Москва 1987г ;  ;  ;  ;  ; 23 ; zmike1869 ; 179 
 6479 ; М. Лапушкин, Г. Иванов, В. Цыбин. Адреса на конверте-Саратов. Из истории Саратовской губернии. ООО "ПРИВОЛЖСКОЕ ИЗДАТЕЛЬСТВО". САРАТОВ 2008 ;  ;  ;  ;  ; 12 ; lavist ; 181 
 6480 ; М.М. Глейзер. Советская и Российская нумизматика. Санкт-Петербург 2009г ;  ;  ;  ;  ; 9 ; lavist ; 233 
 6481 ; А.Д Бойнович, В.Д Доценко. Российский Императорский флот в знаках и жетонах. Издательство "ФОРТЭКС". Санкт-Петербург 2002г ;  ;  ;  ;  ; 35 ; Gottuss ; 1620 
 6482 ; М.А. Добин, Л.Г. Ратнер. Из истории Санкт-Петербургской почты 1703-1914гг. Стандарт-коллекция. Санкт-Петербург 2004г ;  ;  ;  ;  ; 12 ; lavist ; 203 
 6483 ; Специализированный каталог почтовых марок СССР 1923-1940. ТОМ 5 часть1. Стандарт-коллекция. Санкт-Петербург 1999г ;  ;  ;  ;  ; 27 ; гоша334 ; 400 
 6484 ; Аукцион № 19 Ордена, медали и монеты Императорской России. 11 февраля 2012г ;  ;  ;  ;  ; 8 ; carre ; 94 
 6485 ; Леонид Катц. Животные на монетах мира. 1800-06,2010. 1 издание. 2010г ;  ;  ;  ;  ; 48 ; Gottuss ; 802 
