 101 ; Знак Другу Доброхима ;  ;  ; Ag,эмаль ; XF- ; 25 ; Продано в зале ; 15000 
 7 ; Рубль ; 1727 ;  ; Ag ; VF ; 33 ; WASP ; 19153 
 8 ; Рубль ; 1731 ;  ; Ag ; XF- ; 59 ; Продано в зале ; 24000 
 9 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 43 ; il468 ; 16000 
 10 ; Рубль ; 1736 ;  ; Ag ; XF ; 54 ; Продано в зале ; 23000 
 11 ; Рубль ; 1749 ; ММД ; Ag ; XF ; 19 ; krugerrand ; 28560 
 12 ; Рубль ; 1751 ; СПБ ; Ag ; XF ; 41 ; feofan ; 29878 
 13 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 20 ; w7 ; 19000 
 14 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF- ; 13 ; cr59 ; 12240 
 15 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF ; 41 ; Продано в зале ; 17000 
 16 ; Рубль (Ильин-4р) ; 1767 ; ММД EI ; Ag ; VF+ ; 35 ; Продано в зале ; 25000 
 17 ; Рубль ; 1771 ; СПБ АШ TI ; Ag ; XF ; 31 ; Sky2 ; 15000 
 18 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 36 ; 25 ; 45333 
 19 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 34 ; 040778 ; 25003 
 20 ; Рубль. Герб 1842 года ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 29 ; eastern wind ; 15302 
 21 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU ; 37 ; Продано в зале ; 14000 
 22 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 32 ; Продано в зале ; 14500 
 23 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF- ; 53 ; fgd ; 13405 
 24 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 89 ; Продано в зале ; 35000 
 25 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 106 ; Sky2 ; 11000 
 26 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 53 ; Sky2 ; 46000 
 27 ; Рубль ; 1915 ; (ВС) ; Ag ; XF ; 38 ; krugerrand ; 30776 
 28 ; Полтина ; 1732 ;  ; Ag ; VF+ ; 87 ; scaevola ; 20703 
 29 ; Полтина ; 1863 ; СПБ АБ ; Ag ; XF- ; 61 ; eastern wind ; 40773 
 30 ; Полтина ; 1897 ; ( * ) ; Ag ; XF ; 21 ; ААФ ; 4531 
 31 ; 25 копеек. В капсуле ; 1847 ; СПБ ПА ; Ag ;  ; 17 ; Продано в зале ; 7000 
 32 ; 25 копеек ; 1848 ; СПБ HI ; Ag ; XF- ; 19 ; ААФ ; 2701 
 33 ; 25 копеек. В капсуле NGC ; 1857 ; СПБ ФБ ; Ag ;  ; 36 ; Т-34 ; 9500 
 34 ; 20 копеек ; 1767 ; СПБ TI ; Ag ; VF+ ; 18 ; Продано в зале ; 8500 
 35 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF- ; 34 ; Продано в зале ; 17000 
 36 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 78 ; slando ; 3260 
 37 ; 15 копеек ; 1771 ; ММД ; Ag ; VF ; 29 ; Продано в зале ; 5000 
 38 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF ; 41 ; Продано в зале ; 12500 
 39 ; 15 копеек. В капсуле PCGS ; 1917 ; ВС ; Ag ;  ; 9 ; Бро ; 6993 
 40 ; Гривенник ; 1744 ;  ; Ag ; XF- ; 42 ; Sky2 ; 3344 
 41 ; 10 копеек. Гурт точки ; 1861 ; СПБ ; Ag ; XF ; 37 ; Продано в зале ; 7500 
 42 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 39 ; Продано в зале ; 800 
 43 ; 10 копеек ; 1899 ; СПБ АГ ; Ag ; XF- ; 12 ; Эфес ; 1238 
 44 ; 5 копеек В капсуле ННР ; 1826 ; СПБ НГ ; Ag ;  ; 11 ; papinazu ; 1389 
 45 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 51 ; Продано в зале ; 7000 
 46 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 27 ; master_kka ; 1018 
 47 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 31 ; Продано в зале ; 6500 
 48 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 33 ; Продано в зале ; 16000 
 49 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 42 ; Продано в зале ; 11000 
 50 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 36 ; Продано в зале ; 13000 
