 95 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; XF ; 24 ; Продано в зале ; 3000 
 96 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 22 ; taa ; 2876 
 97 ; 1/4 копейки ; 1897 ; СПБ ; Cu ; AU ; 15 ; swoon ; 2000 
 98 ; 10 пенни ; 1876 ; Финляндия ; Cu ; VF+ ; 18 ; нумизмат ; 3397 
 99 ; 10 пенни ; 1889 ; Финляндия ; Cu ; VF+ ; 23 ; Продано в зале ; 6400 
 100 ; 10 пенни ; 1897 ; Финляндия ; Cu ; XF+ ; 46 ; Продано в зале ; 10000 
 1 ; 10 рублей. М - 8,57г ; 1909 ; (ЭБ) АГ ; Au ; XF ; 17 ; Продано в зале ; 40000 
 2 ; 5 рублей. М = 6,44 г ; 1894 ; (АГ) ; Au ; XF ; 57 ; Продано в зале ; 115000 
 3 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF+ ; 36 ; хр2774 ; 21636 
 4 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 33 ; nordbolivar ; 33660 
 5 ; Рубль ; 1755 ; СПБ IM BS ; Ag ; XF ; 36 ; Продано в зале ; 42000 
 6 ; Рубль ; 1738 ;  ; Ag ; XF+ ; 57 ; DAndy-2003 ; 46000 
 7 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 38 ; electra ; 6606 
 8 ; Рубль. В капсуле NGC. AU Details ; 1861 ; СПБ ФБ ; Ag ;  ; 63 ; Isay ; 261000 
 9 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU/XF+ ; 12 ; Продано в зале ; 9400 
 10 ; Полтина ; 1854 ; MW ; Ag ; VF-XF ; 28 ; Продано в зале ; 13000 
 11 ; Полтина. В капсуле NGC. MS61 ; 1859 ; СПБ ФБ ; Ag ;  ; 30 ; Sunday ; 12996 
 12 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 27 ; sergius ; 18360 
 13 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF+/AU ; 33 ; Продано в зале ; 8500 
 14 ; Полтина ; 1896 ; ( * ) ; Ag ; XF+ ; 57 ; Т-34 ; 7226 
 15 ; Полтина ; 1897 ; ( * ) ; Ag ; XF ; 47 ; sergius ; 7442 
 16 ; Полтина ; 1899 ; (АГ) АГ ; Ag ; XF ; 22 ; taa ; 2464 
 17 ; Полтина ; 1899 ; ( * ) ; Ag ; XF ; 37 ; Продано в зале ; 3750 
 18 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; VF+ ; 37 ; sergius ; 21420 
 19 ; Полтина. В капсуле ННР MS62 ; 1912 ; (ЭБ) АГ ; Ag ;  ; 29 ; A-Stral ; 4057 
 20 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 34 ; Продано в зале ; 17000 
 21 ; 25 копеек (Ильин-3р). Корона шире ; 1853 ; СПБ HI ; Ag ; VF-XF ; 49 ; форсаж ; 10000 
 22 ; 25 копеек (Ильин - 3руб, Петров - 7руб) ; 1884 ; СПБ АГ ; Ag ; XF- ; 42 ; Продано в зале ; 66000 
 23 ; 25 копеек. В капсуле NGC. AU53 ; 1888 ; (АГ) АГ ; Ag ;  ; 51 ; Продано в зале ; 73000 
 24 ; 25 копеек ; 1900 ; АГ ; Ag ; XF ; 36 ; sergius ; 35802 
 25 ; 20 копеек ; 1766 ; СПБ TI ; Ag ; VF-XF ; 21 ; Продано в зале ; 4500 
 26 ; 20 копеек (Петров - 10 руб, Ильин - 6 руб) ; 1825 ; СПБ НГ ; Ag ; F-VF ; 37 ; Продано в зале ; 5200 
 27 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 23 ; НУРИ ; 5421 
 28 ; 20 копеек. В капсуле NGC. MS62 ; 1862 ; СПБ МИ ; Ag ;  ; 17 ; Продано в зале ; 4000 
 29 ; 20 копеек. В капсуле ННР MS62 ; 1863 ; СПБ АБ ; Ag ;  ; 20 ; Продано в зале ; 3200 
 30 ; 20 копеек ; 1917 ; ВС ; Ag ; AU ; 36 ; 67 ; 38000 
 31 ; 15 копеек. В капсуле NGC. MS62 ; 1862 ; СПБ МИ ; Ag ;  ; 21 ; Продано в зале ; 4000 
 32 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 17 ; sergius ; 6136 
 33 ; 15 копеек ; 1897 ; СПБ АГ ; Ag ; AU/XF ; 45 ; Продано в зале ; 7500 
 34 ; 15 копеек ; 1898 ; СПБ АГ ; Ag ; XF+ ; 36 ; prince1959 ; 3612 
 35 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU/XF ; 23 ; prince1959 ; 3174 
 36 ; 15 копеек ; 1901 ; СПБ АР ; Ag ; AU ; 35 ; Продано в зале ; 12000 
 37 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 27 ; Продано в зале ; 5800 
 38 ; Гривенник ; 1754 ; МБ ; Ag ; XF- ; 42 ; Продано в зале ; 10500 
 39 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF-XF ; 25 ; Продано в зале ; 3000 
 40 ; Гривенник ; 1783 ; СПБ ; Ag ; VF-XF ; 36 ; mihej ; 4000 
 41 ; 10 копеек ; 1895 ; СПБ АГ ; Ag ; XF ; 54 ; Продано в зале ; 12500 
 42 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; XF+ ; 43 ; ИсЬчЁ ; 9179 
 43 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 15 ; sergius ; 4000 
 44 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 17 ; Продано в зале ; 7000 
 45 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 48 ; tisa66 ; 12962 
 46 ; 5 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 39 ; SDS ; 6347 
 47 ; Алтын ; 1704 ; БК ; Ag ; VF-XF ; 23 ; Arte ; 11334 
 48 ; 1 злотый ; 1830 ; FH Польша ; Ag ; XF ; 29 ; Продано в зале ; 10300 
 49 ; 2 марки ; 1908 ; L Финляндия ; Ag ; XF+ ; 36 ; Продано в зале ; 2800 
 50 ; 25 пенни ; 1873 ; S Финляндия ; Ag ; AU ; 61 ; Продано в зале ; 6200 
