 276 ; 5 копеек ; 1881 ; СПБ ; Cu ; AU ; 9 ; Участник № 147 ; 3400 
 277 ; 1/4 копейки (Петров-1р) ; 1881 ; СПБ ; Cu ; XF+ ; 25 ; 9191 ; 3800 
 278 ; 20 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 8 ; Участник № 30 ; 3200 
 279 ; Копейка ; 1882 ; СПБ ; Cu ; XF+ ; 31 ; vindmitrij ; 3509 
 280 ; 1/4 копейки (Ильин-2р) ; 1882 ; СПБ ; Cu ; XF+ ; 13 ; Участник № 147 ; 13000 
 281 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF- ; 18 ; Джон ; 10262 
 282 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 38 ; Участник № 1362 ; 2100 
 283 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; XF+ ; 20 ; Участник № 18 ; 2200 
 284 ; Рубль ; 1887 ; (АГ) ; Ag ; XF/AU ; 34 ; Участник № 51 ; 55000 
 285 ; Полтина. Редкая датировка ; 1887 ; (АГ) ; Ag ; XF+ ; 28 ; vins71 ; 110000 
 286 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF ; 14 ; Участник № 133 ; 1800 
 287 ; 15 копеек (Редкая) ; 1888 ; СПБ АГ ; Ag ; XF+ ; 79 ; Участник № 147 ; 30000 
 288 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 23 ; kol ; 2811 
 289 ; Рубль ; 1890 ; (АГ) ; Ag ; XF/AU ; 59 ; AVA01 ; 126810 
 290 ; 1/4 копейки (Ильин-1р) ; 1890 ; СПБ ; Cu ; AU ; 37 ; Участник № 147 ; 8000 
 291 ; Копейка ; 1891 ; СПБ ; Cu ; AU ; 7 ; Участник № 30 ; 3600 
 292 ; Копейка ; 1891 ; СПБ ; Cu ; AU ; 9 ; Участник № 147 ; 1900 
 293 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 18 ; Участник № 1362 ; 3000 
 294 ; Рубль ; 1894 ; (АГ) ; Ag ; XF ; 27 ; Участник № 30 ; 34000 
 295 ; 1/2 копейки ; 1894 ; СПБ ; Cu ; XF ; 13 ; kol ; 929 
 296 ; Копейка ; 1895 ; СПБ ; Cu ; XF- ; 5 ; Участник № 147 ; 600 
 297 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 20 ; алтын ; 4533 
 298 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 23 ; Участник № 1389 ; 5600 
 299 ; Копейка ; 1898 ; СПБ ; Cu ; AU ; 11 ; Участник № 30 ; 1200 
 300 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 13 ; TDN ; 716 
 201 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; AU ; 29 ; Участник № 147 ; 1700 
 202 ; 1/4 копейки ; 1840 ; СМ ; Cu ; VF+ ; 47 ; смит ; 4203 
 203 ; Рубль ; 1841 ; СПБ НГ Резал Губе На бракосоче ; Ag ; VF ; 53 ; nik ; 222854 
 204 ; 2 копейки ; 1841 ; ЕМ ; Cu ; AU ; 11 ; Участник № 51 ; 4000 
 205 ; 2 копейки ; 1841 ; СПМ ; Cu ; XF ; 48 ; Участник № 51 ; 8500 
 206 ; Копейка ; 1841 ; СПМ ; Cu ; VF-XF ; 17 ; Участник № 51 ; 1500 
 207 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF- ; 25 ; Участник № 51 ; 1700 
 208 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 25 ; Участник № 147 ; 12000 
 209 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 11 ; ST ; 680 
 210 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; XF+ ; 15 ; деньга ; 2600 
 211 ; Рубль ; 1843 ; MW ; Ag ; VF+ ; 11 ; dimon46 ; 3632 
 212 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 7 ; Участник № 1 ; 7500 
 213 ; 2 копейки ; 1843 ; СПМ ; Cu ; AU/XF ; 41 ; Участник № 30 ; 8000 
 214 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF-XF ; 10 ; Участник № 1032 ; 1200 
 215 ; 2 копейки ; 1844 ; ЕМ ; Cu ; VF-XF ; 19 ; Участник № 30 ; 2100 
 216 ; 1/2 копейки ; 1845 ; СМ ; Cu ; XF ; 15 ; fikus ; 6210 
 217 ; 1/4 копейки ; 1845 ; СМ ; Cu ; VF+ ; 8 ; ЛОШАРИК ; 797 
 218 ; Полтина ; 1846 ; СПБ ПА ; Ag ; XF ; 17 ; Участник № 135 ; 8500 
 219 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; XF- ; 32 ; toto ; 4200 
 220 ; Рубль ; 1847 ; MW ; Ag ; VF-XF ; 29 ; Участник № 133 ; 8000 
 221 ; Рубль ; 1847 ; MW ; Ag ; VF+ ; 7 ; Alexdav ; 3800 
 222 ; 25 копеек ; 1848 ; СПБ HI ; Ag ; AU/XF ; 27 ; 462 ; 4182 
 223 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 44 ; Участник № 30 ; 7000 
 224 ; Рубль ; 1849 ; СПБ ПА ; Ag ; AU ; 34 ; Участник № 30 ; 21000 
 225 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 23 ; Участник № 30 ; 4200 
 226 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; VF- ; 15 ; TDN ; 2400 
 227 ; 2 копейки ; 1850 ; ЕМ ; Cu ; XF+ ; 28 ; Участник № 30 ; 9000 
 228 ; Полушка ; 1850 ; ЕМ ; Cu ; XF+ ; 6 ; Сыч ; 1700 
 229 ; Копейка ; 1851 ; ЕМ ; Cu ; VF ; 11 ; смит ; 1247 
 230 ; Полушка ; 1851 ; ЕМ ; Cu ; VF-XF ; 11 ; Участник № 133 ; 1300 
 231 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 14 ; Участник № 147 ; 2300 
 232 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 23 ; Alexdav ; 2100 
 233 ; Денежка ; 1852 ; ЕМ ; Cu ; XF+ ; 3 ; Участник № 9 ; 380 
 234 ; Полтина ; 1853 ; СПБ HI ; Ag ; XF- ; 20 ; 462 ; 3709 
 235 ; 20 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 25 ; Участник № 30 ; 4600 
 236 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF+ ; 19 ; talerOK ; 7650 
 237 ; 2 копейки ; 1855 ; ВМ ; Cu ; XF- ; 11 ; Участник № 136 ; 4000 
 238 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 21 ; tisa66 ; 2488 
 239 ; 3 копейки ; 1856 ; ВМ ; Cu ; VF-XF ; 15 ; ZOLTAN333 ; 6370 
 240 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 27 ; Участник № 136 ; 2200 
 241 ; 5 копеек ; 1857 ; ЕМ ; Cu ; XF- ; 21 ; 9191 ; 5000 
 242 ; Полушка ; 1857 ; ЕМ ; Cu ; AU ; 13 ; kol ; 2600 
 243 ; Рубль (Петров-3р) ; 1858 ; СПБ ФБ ; Ag ; VF+ ; 17 ; alexander9595 ; 21659 
 244 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU/XF ; 23 ; laserjet ; 1784 
 245 ; 5 копеек ; 1858 ; ЕМ ; Cu ; XF+ ; 21 ; Участник № 132 ; 4000 
