 6644 ; Бинокль театральный 2.5х30 в кожаном футляре. Европа ;  ;  ;  ;  ; 35 ; МАХАЙРА ; 3100 
 6645 ; Пряжка офицерского ремня. ;  ;  ; Ж/м ;  ; 21 ; боровик ; 414 
 6646 ; Пряжка ремесленного училища. ;  ;  ; Ж/м ;  ; 69 ; Жордж ; 1163 
 6647 ; Чертеж №5588. Товарищество машиностроительного завода ФЕНИКСЪ в С-Петербурге. ;  ;  ;  ;  ; 6 ; АВС ; 313 
 6648 ; Флаг октябрятский. ;  ;  ;  ;  ; 20 ; stilsb ; 345 
 6649 ; Вымпел За высокие спортивные достижения. ;  ;  ;  ;  ; 27 ; боровик ; 469 
 6650 ; Вымпел Победителю в Соц соревновании. ;  ;  ;  ;  ; 36 ; BSG ; 450 
 6651 ; Вымпел бархатный Победителю в Соц соревновании. ;  ;  ;  ;  ; 24 ; Франтишек ; 591 
 6652 ; Вымпел Лучшей октябрятской группе. ;  ;  ;  ;  ; 27 ; АВС ; 239 
 6653 ; Вымпел Будь готов. ;  ;  ;  ;  ; 25 ; lora ; 451 
 6654 ; Фигурка Лягушка, орех тагуа. ;  ;  ;  ;  ; 56 ; RAPAN ; 2856 
 6655 ; Фигурка Слон, орех тагуа. ;  ;  ;  ;  ; 56 ; alapabula ; 1000 
 6656 ; Фигурка Краб, орех тагуа. ;  ;  ;  ;  ; 74 ; RAPAN ; 2856 
 6657 ; Фигурка Насекомое, орех тагуа. ;  ;  ;  ;  ; 38 ; alapabula ; 1000 
 6658 ; Фигкрка Тигренок? орех тагуа. ;  ;  ;  ;  ; 49 ; Sky2 ; 777 
 6659 ; Альбом спичечных этикеток ГОСТ 1820 - 45 (46) в количестве 86 шт. ;  ;  ;  ;  ; 48 ; никсер ; 737 
 6660 ; Альбом спичечных этикеток ГОСТ 1820 - 56 (55) в количестве 308 шт + 25 шт больших. ;  ;  ;  ;  ; 58 ; lenohota ; 3064 
 6661 ; Альбом спичечных этикеток ГОСТ 1820 - 56 (55) в количестве 436 шт. ;  ;  ;  ;  ; 33 ; випколонок ; 2833 
 6662 ; Альбом спичечных этикеток ГОСТ 1820 - 56 в количестве 1472 шт. + 13 шт больших. ;  ;  ;  ;  ; 54 ; випколонок ; 3185 
 6663 ; Лот спичечных этикеток ГОСТ 1820 - 56 (55) в количестве 432 шт. ;  ;  ;  ;  ; 32 ; lenohota ; 1825 
 6664 ; Альбом с марками 116 штук, СССР и разные страны. ;  ;  ;  ;  ; 39 ; Жордж ; 500 
 6665 ; Модель. Фольксваген Пассат. 1/87. Германия, Wiking ;  ;  ;  ;  ; 13 ; seimens ; 320 
 6666 ; Карты гадальные 36 штук с приложением Знаки карты 36 листов. ;  ;  ;  ;  ; 40 ; raise ; 1030 
 6667 ; Полное собрание сочинений Ант. П. Чехова. Том 13. С-Петербург. 1903 год. ;  ;  ;  ;  ; 65 ; Dimius ; 510 
 6668 ; И.В. Сталин. Краткая биография. Москва 1952 год. ;  ;  ;  ;  ; 42 ; doc2 ; 1020 
 6669 ; А.Е. Ферсман. Из истории культуры камня в России. ;  ;  ;  ;  ; 5 ; алкид ; 470 
 6670 ; А.Е. Ферсман. Очерки по истории камня. Том 2. Москва. 1961 год. ;  ;  ;  ;  ; 7 ; алкид ; 532 
 6671 ; Аида Дж. Верди. Опера в четырех действиях для фортепiано. 1897 год. ;  ;  ;  ;  ; 55 ; yuri.gruzdev ; 1299 
