 81 ; Копейка (Петров-15р, Ильин-12р) ; 1713 ; Н Д ; Cu ; F+ ; 28 ; Продано в зале ; 5700 
 82 ; Копейка. В капсуле ННР ; 1715 ; МД ; Cu ;  ; 17 ; il468 ; 2567 
 83 ; Копейка ; 1715 ; НД ; Cu ; VF- ; 27 ; N.A.S.A ; 2600 
 84 ; Копейка ; 1717 ; МД ; Cu ; VF ; 31 ; Продано в зале ; 3600 
 85 ; Копейка ; 1756? ; СПБ ; Cu ; VF+ ; 121 ; Lego duplo ; 10825 
 86 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 23 ; N.A.S.A ; 1400 
 87 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 14 ; Продано в зале ; 2400 
 88 ; Копейка ; 1818 ; КМ ДБ ; Cu ; XF ; 31 ; Продано в зале ; 3200 
 89 ; Копейка. Новодел ; 1834 ; ЕМ ФХ Новодел ;  ; AU ; 29 ; Продано в зале ; 30000 
 90 ; Денга ; 1731 ;  ; Cu ; VF ; 47 ; rom11 ; 650 
 91 ; Денга ; 1771 ; ЕМ ; Cu ; VF ; 31 ; БРАТ. ; 998 
 92 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; XF- ; 56 ; Продано в зале ; 3000 
 93 ; Денга ; 1793 ; ЕМ ; Cu ; VF+ ; 41 ; Продано в зале ; 3200 
 94 ; Деньга (Петров-1р, Ильин-3р) ; 1798 ; КМ ; Cu ; VF+ ; 61 ; Продано в зале ; 18000 
 95 ; Деньга (Петров-7р) ; 1811 ; ЕМ НМ ; Cu ; VF ; 45 ; Продано в зале ; 19000 
 96 ; Денежка ; 1863 ; ВМ ; Cu ; VF+ ; 99 ; MUPS ; 5623 
 97 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 34 ; Продано в зале ; 12000 
 98 ; Полушка ; 1707 ;  ; Cu ; VF- ; 50 ; Продано в зале ; 7000 
 99 ; Полушка ; 1720 ; НД ; Cu ; VF- ; 9 ; arsenich-s ; 308 
 100 ; Полушка ; 1776 ; ЕМ ; Cu ; F+ ; 29 ; Продано в зале ; 9000 
 1 ; 10 рублей. М-8,6г ; 1903 ; (АР) АГ ; Au ; XF ; 12 ; CapsulЪ ; 24115 
 2 ; 10 рублей. М-8,6г ; 1911 ; (ЭБ) АГ ; Au ; XF ; 21 ; mefodin ; 24125 
 3 ; 5 рублей. М-6,53г ; 1829 ; СПБ ПД ; Au ; VF-XF ; 41 ; ValeriyL ; 67626 
 4 ; 5 рублей. М-6,52г ; 1850 ; СПБ АГ ; Au ; XF ; 13 ; vtoth ; 48286 
 5 ; 5 рублей. М-4,3г ; 1909 ; (ЭБ) ; Au ; XF+ ; 43 ; Акоп ; 38000 
 6 ; 5 рублей. М-4,3г ; 1910 ; (ЭБ) ; Au ; XF+ ; 33 ; CapsulЪ ; 45900 
 7 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF- ; 44 ; Продано в зале ; 34000 
 8 ; Рубль. В капсуле ННР ; 1722 ;  ; Ag ;  ; 36 ; Продано в зале ; 36000 
 9 ; Рубль ; 1723 ; ОК ; Ag ; VF-XF ; 42 ; Продано в зале ; 70000 
 10 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 33 ; ValeriyL ; 23187 
 11 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 39 ; Valera G ; 26826 
 12 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 19 ; Продано в зале ; 31000 
 13 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 36 ; БАТЫР ; 32487 
 14 ; Рубль ; 1732 ;  ; Ag ; XF+ ; 38 ; Кто надо ; 22834 
