 64 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 55 ; Продано в зале ; 11000 
 65 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 9 ; Продано в зале ; 4400 
 66 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 30 ; Продано в зале ; 13500 
 67 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 13 ; Alex22D ; 4046 
 68 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 29 ; Olmi ; 3186 
 69 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; XF+ ; 42 ; нумизмат ; 4626 
 70 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 12 ; double ; 9056 
 71 ; 1 злотый ; 1830 ; FH Польша ; Ag ; XF+ ; 58 ; Продано в зале ; 12000 
 72 ; 2 марки ; 1908 ; L Финляндия ; Ag ; AU ; 80 ; nikolas1957 ; 4580 
 73 ; 50 пенни ; 1889 ; L Финляндия ; Ag ; AU ; 28 ; ytvil ; 1625 
 74 ; 50 пенни ; 1890 ; L Финляндия ; Ag ; Unc/AU ; 39 ; 7531357 ; 1805 
 75 ; 50 пенни ; 1891 ; L Финляндия ; Ag ; AU ; 29 ; 0987654321 ; 2081 
 76 ; 50 пенни ; 1893 ; L Финляндия ; Ag ; AU ; 18 ; 7531357 ; 1625 
 77 ; 25 пенни ; 1890 ; L Финляндия ; Ag ; AU ; 21 ; 0987654321 ; 1500 
 78 ; 25 пенни ; 1894 ; L Финляндия ; Ag ; AU ; 20 ; romik ; 2043 
 79 ; 25 пенни ; 1898 ; L Финляндия ; Ag ; AU ; 19 ; rihhi ; 1020 
 80 ; 25 пенни ; 1899 ; L Финляндия ; Ag ; AU ; 32 ; romik ; 3200 
 81 ; 25 пенни ; 1901 ; L Финляндия ; Ag ; Unc/AU ; 12 ; 7531357 ; 408 
 82 ; 25 пенни ; 1907 ; L Финляндия ; Ag ; Unc/AU ; 13 ; ytvil ; 501 
 83 ; 25 пенни ; 1909 ; L Финляндия ; Ag ; Unc/AU ; 12 ; tpls ; 309 
 84 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 23 ; icebreaker ; 9670 
 85 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF- ; 29 ; Продано в зале ; 3200 
 86 ; 5 копеек ; 1758 ;  ; Cu ; VF+ ; 12 ; Продано в зале ; 8000 
 87 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 9 ; арбат ; 6573 
 88 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 1900 
 89 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 9 ; Продано в зале ; 2200 
 90 ; 5 копеек ; 1794 ; АМ Павл.перечекан. Гурт шнур. ; Cu ; VF+ ; 57 ; Продано в зале ; 420000 
 91 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 47 ; Продано в зале ; 12000 
 92 ; 5 копеек ; 1805 ; КМ ; Cu ; VF+ ; 10 ; Продано в зале ; 9000 
 93 ; 5 копеек ; 1807 ; ЕМ ; Cu ; XF ; 21 ; 439 ; 5931 
 94 ; 5 копеек ; 1807 ; КМ ; Cu ; VF+ ; 18 ; Продано в зале ; 9000 
 95 ; 5 копеек ; 1810 ; ЕМ ; Cu ; XF- ; 23 ; арбат ; 11334 
 96 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 72 ; Продано в зале ; 22000 
 97 ; 4 копейки (Новодел) ; 1761 ; у коня хвост больше ; Cu ; AU ; 14 ; Продано в зале ; 50000 
 98 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 27 ; Mac. ; 2448 
 99 ; 3 копейки ; 1909 ; СПБ ; Cu ; AU ; 20 ; Молот ; 2142 
 100 ; 2 копейки ; 1762 ; Номинал под гербом ; Cu ; VF ; 32 ; Продано в зале ; 900 
 1 ; Новгородская полтина. М-.96,49гр. L-65мм ;  ;  ; Ag ;  ; 26 ; СВИ ; 11424 
 2 ; 5 рублей. М-6,59г ; 1829 ; СПБ ПД ; Au ; VF-XF ; 64 ; cuba ; 85680 
 3 ; 5 рублей. М-6,5г ; 1873 ; СПБ НI ; Au ; AU ; 18 ; Продано в зале ; 47000 
 4 ; 5 рублей. М-5,63гр ; 1877 ; СПБ НI ; Au ; AU ; 17 ; Продано в зале ; 39500 
 5 ; 5 рублей M-6,44 г ; 1888 ; (АГ) Борода длиннее ; Au ; XF- ; 14 ; Petrogradka ; 24480 
 6 ; 5 рублей 6,42 г. ; 1889 ; (АГ) АГ ; Au ; XF- ; 25 ; Продано в зале ; 24000 
 7 ; 2 рубля М- 3,21 г ; 1756 ;  ; Au ; XF- ; 41 ; черный ; 72420 
 8 ; Рубль (Петров-7р) ; 1725 ; СПБ ; Ag ; VF+ ; 40 ; Продано в зале ; 106000 
 9 ; Рубль (Ильин-5р) ; 1727 ; СПБ ; Ag ; VF-XF ; 56 ; Продано в зале ; 52000 
 10 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 29 ; Продано в зале ; 18000 
 11 ; Рубль ; 1733 ;  ; Ag ; XF+ ; 24 ; tornado114 ; 54000 
 12 ; Рубль.(Петров-6р) ; 1734 ;  ; Ag ; VF+ ; 30 ; Продано в зале ; 76000 
 13 ; Рубль ; 1737 ;  ; Ag ; XF ; 40 ; Продано в зале ; 46000 
 14 ; Рубль ; 1738 ;  ; Ag ; XF+ ; 15 ; Продано в зале ; 52000 
 15 ; Рубль ; 1738 ; СПБ ; Ag ; XF- ; 26 ; Продано в зале ; 37000 
 16 ; Рубль ; 1739 ; СПБ ; Ag ; VF+ ; 37 ; Продано в зале ; 23000 
 17 ; Рубль ; 1745 ; СПБ ; Ag ; VF+ ; 80 ; Продано в зале ; 14000 
 18 ; Рубль ; 1745 ; ММД ; Ag ; VF+ ; 12 ; Продано в зале ; 13500 
 19 ; Рубль (Петров-4р, Ильин-3р) ; 1758 ; СПБ НК TI ; Ag ; VF-XF ; 21 ; Продано в зале ; 64000 
 20 ; Рубль ; 1764 ; ММД EI TI ; Ag ; XF- ; 25 ; leo 2 ; 17850 
 21 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 21 ; leo 2 ; 22950 
 22 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF- ; 32 ; нумизмат ; 15388 
 23 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF ; 15 ; vagvagvag ; 9001 
 24 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 31 ; Liebhaber ; 8670 
 25 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 28 ; Продано в зале ; 9500 
 26 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 46 ; Продано в зале ; 7000 
 27 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+/AU ; 20 ; Продано в зале ; 8500 
 28 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 15 ; Продано в зале ; 15000 
 29 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 53 ; Продано в зале ; 16000 
 30 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 31 ; sax ; 7458 
 31 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+ ; 11 ; ppi ; 15000 
 32 ; Рубль. В капсуле NGC ; 1844 ; MW ; Ag ; AU 50 ; 22 ; Продано в зале ; 13000 
 33 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 40 ; Продано в зале ; 8000 
 34 ; Рубль ; 1846 ; MW ; Ag ; XF+ ; 40 ; Liebhaber ; 19380 
 35 ; Рубль ; 1848 ; СПБ HI ; Ag ; AU/XF ; 25 ; ppi ; 13087 
 36 ; Рубль ; 1866 ; СПБ HI ; Ag ; VF-XF ; 30 ; Isay ; 58000 
 37 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF ; 30 ; Продано в зале ; 12500 
 38 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 29 ; Продано в зале ; 38000 
 39 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 24 ; амбал ; 16218 
 40 ; Рубль ; 1882 ; СПБ НФ ; Ag ; XF+ ; 32 ; ДмитрийЩ ; 36267 
 41 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 40 ; ДмитрийЩ ; 57109 
 42 ; Рубль. В капсуле NGC ; 1896 ; ( * ) ; Ag ; AU 58 ; 19 ; ppi ; 13023 
 43 ; Рубль ; 1897 ; (АГ) ; Ag ; XF+ ; 17 ; ppi ; 7708 
 44 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 31 ; ddv kv ; 12000 
 45 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF+ ; 31 ; Fliege1 ; 14283 
 46 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 18 ; ppi ; 85986 
 47 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 34 ; Продано в зале ; 41000 
 48 ; Полтина ; 1721 ;  ; Ag ; XF ; 43 ; Продано в зале ; 82000 
 49 ; Полтина. Гравировка ; 1733 ;  ; Ag ; VF+ ; 15 ; Продано в зале ; 20000 
 50 ; Полтина ; 1798 ; СМ МБ ; Ag ; VF+ ; 36 ; Продано в зале ; 32000 
