 6982 ; Лот марок ;  ;  ;  ;  ; 13 ; С улыбкой по жизни ; 128 
 6983 ; Лот марок ;  ;  ;  ;  ; 63 ; С улыбкой по жизни ; 1285 
 6984 ; Лот марок ;  ;  ;  ;  ; 19 ; С улыбкой по жизни ; 85 
 6985 ; Лот марок ;  ;  ;  ;  ; 33 ; tpls ; 948 
 6986 ; Лот марок ;  ;  ;  ;  ; 15 ; Приор ; 163 
 6987 ; Лот марок ;  ;  ;  ;  ; 28 ; Бостонская бойня ; 128 
 6988 ; Лот марок ;  ;  ;  ;  ; 15 ; maymuse ; 124 
 6989 ; Лот марок ;  ;  ;  ;  ; 47 ; С улыбкой по жизни ; 1221 
 6990 ; Лот марок ;  ;  ;  ;  ; 19 ; Приор ; 318 
 6991 ; Лот марок ;  ;  ;  ;  ; 9 ; С улыбкой по жизни ; 128 
 6992 ; Лот марок ;  ;  ;  ;  ; 11 ; Приор ; 124 
 6993 ; Лот марок ;  ;  ;  ;  ; 21 ; flutter ; 134 
 6994 ; Лот марок ;  ;  ;  ;  ; 8 ; С улыбкой по жизни ; 121 
 6995 ; Лот марок ;  ;  ;  ;  ; 17 ; С улыбкой по жизни ; 114 
 6996 ; Лот марок. Буклет ;  ;  ;  ;  ; 27 ; С улыбкой по жизни ; 177 
 6997 ; Лот марок. Буклет ;  ;  ;  ;  ; 23 ; птичка16 ; 216 
 6998 ; Лот марок ;  ;  ;  ;  ; 21 ; С улыбкой по жизни ; 114 
 6999 ; Лот марок ;  ;  ;  ;  ; 23 ; flutter ; 320 
 7000 ; Лот марок ;  ;  ;  ;  ; 31 ; maymuse ; 195 
 6932 ; Лист марок малого формата ;  ;  ;  ;  ; 56 ; Olimpia ; 750 
 6933 ; Лист марок малого формата ;  ;  ;  ;  ; 20 ; metotrex ; 111 
 6934 ; Лот блоков марок. 4 шт ;  ;  ;  ;  ; 35 ; roza77 ; 322 
 6935 ; Лот блоков марок. 5 шт ;  ;  ;  ;  ; 45 ; Бостонская бойня ; 203 
 6936 ; Лот блоков марок. 6 шт ;  ;  ;  ;  ; 44 ; flutter ; 217 
 6937 ; Лот блоков марок. 8 шт ;  ;  ;  ;  ; 25 ; С улыбкой по жизни ; 208 
 6938 ; Лот блоков марок. 8 шт ;  ;  ;  ;  ; 74 ; flutter ; 564 
 6939 ; Буклет с марками ;  ;  ;  ;  ; 42 ; Бостонская бойня ; 228 
 6940 ; Буклет с марками ;  ;  ;  ;  ; 34 ; Бостонская бойня ; 143 
 6941 ; Буклет с маркой ;  ;  ;  ;  ; 24 ; porte33 ; 85 
 6942 ; Лот марок Германии 3-й рейх 13шт ;  ;  ;  ;  ; 32 ; тикси3 ; 531 
 6943 ; Лот марок Англии: 20шт ;  ;  ;  ;  ; 11 ; kompman ; 57 
 6944 ; Лот марок Англии: 23шт ;  ;  ;  ;  ; 5 ; тикси3 ; 51 
 6945 ; Лот марок Японии: 30шт ;  ;  ;  ;  ; 28 ; ialaiola ; 262 
 6946 ; Лот марок Ближнего Востока: 23шт ;  ;  ;  ;  ; 10 ; Бигль ; 81 
 6947 ; Лот марок Африки: 17шт ;  ;  ;  ;  ; 9 ; stilsb ; 114 
 6948 ; Лот марок Филиппин: 31шт ;  ;  ;  ;  ; 8 ; Бигль ; 68 
 6949 ; Лот марок Индонезии: 27шт ;  ;  ;  ;  ; 13 ; Olimpia ; 199 
 6950 ; 6 блоков марок (Космос) ;  ;  ;  ;  ; 52 ; Бостонская бойня ; 546 
 6951 ; Блок марок 800 лет Москвы ;  ;  ;  ;  ; 21 ; Hellsten ; 286 
 6952 ; 3 блока марок (Спорт) ;  ;  ;  ;  ; 9 ; agentvovan ; 70 
 6953 ; Блок марок (С Новым Годом!) ;  ;  ;  ;  ; 31 ; Приор ; 567 
 6954 ; Зубцемер для марок Филателистическая контора ;  ;  ;  ;  ; 21 ; flutter ; 330 
 6955 ; Блок марок Германия 20 ;  ;  ;  ;  ; 21 ; alex09-63 ; 453 
 6956 ; Блок марок Германия 16 ;  ;  ;  ;  ; 34 ; moneta1924 ; 444 
 6957 ; Блок марок Германия 12 ;  ;  ;  ;  ; 26 ; QSL ; 592 
 6958 ; Блок марок Германия 8 ;  ;  ;  ;  ; 19 ; alex09-63 ; 453 
 6959 ; Лот марок. Гражданская война. ДВР ;  ;  ;  ;  ; 43 ; Olimpia ; 237 
 6960 ; Лот марок. США ;  ;  ;  ;  ; 60 ; IgorPetrov51 ; 164 
 6961 ; Лот марок. США ;  ;  ;  ;  ; 14 ; porte33 ; 100 
 6962 ; Лот марок. США ;  ;  ;  ;  ; 17 ; porte33 ; 108 
 6963 ; Лот марок. США ;  ;  ;  ;  ; 69 ; IgorPetrov51 ; 227 
 6964 ; Лот марок. США ;  ;  ;  ;  ; 8 ; porte33 ; 101 
 6965 ; Лот марок. США ;  ;  ;  ;  ; 19 ; IgorPetrov51 ; 164 
 6966 ; Лот марок. Австралия ;  ;  ;  ;  ; 10 ; Бостонская бойня ; 112 
 6967 ; Лот марок. США ;  ;  ;  ;  ; 31 ; IgorPetrov51 ; 164 
 6968 ; Лот марок. Австралия ;  ;  ;  ;  ; 6 ; сортам70 ; 86 
 6969 ; Лот марок. Ливия ;  ;  ;  ;  ; 7 ; сортам70 ; 46 
 6970 ; Лот марок ;  ;  ;  ;  ; 14 ; roza77 ; 51 
 6971 ; Лот марок ;  ;  ;  ;  ; 21 ; metotrex ; 32 
 6972 ; Лот марок ;  ;  ;  ;  ; 35 ; Обнорский ; 93 
 6973 ; Лот марок. 101 шт ;  ;  ;  ;  ; 32 ; 2128508 ; 407 
 6974 ; Лот марок. Грузия. 10 шт ;  ;  ;  ;  ; 45 ; Olimpia ; 507 
 6975 ; Лот марок. Армения. 10 шт ;  ;  ;  ;  ; 39 ; Olimpia ; 615 
 6976 ; Лот марок ;  ;  ;  ;  ; 7 ; flutter ; 63 
 6977 ; Лот марок ;  ;  ;  ;  ; 35 ; С улыбкой по жизни ; 201 
 6978 ; Лот марок ;  ;  ;  ;  ; 15 ; maymuse ; 122 
 6979 ; Лот марок ;  ;  ;  ;  ; 14 ; gbp ; 77 
 6980 ; Лот марок ;  ;  ;  ;  ; 25 ; С улыбкой по жизни ; 201 
 6981 ; Лот марок ;  ;  ;  ;  ; 14 ; Бостонская бойня ; 157 
 6882 ; Лот марок. Монголия. 213 шт ;  ;  ;  ;  ; 18 ; dimam_kz ; 161 
 6883 ; Лот марок. Болгария. 4 блока + 149 шт ;  ;  ;  ;  ; 16 ; flutter ; 273 
 6884 ; Лот марок. Венгрия. 1 малый лист + 178 шт ;  ;  ;  ;  ; 15 ; dimam_kz ; 173 
 6885 ; Лот малых листов марок. 3 шт ;  ;  ;  ;  ; 15 ; С улыбкой по жизни ; 126 
 6886 ; Лот малых листов марок. 7 шт ;  ;  ;  ;  ; 31 ; Nezd ; 97 
 6887 ; Лот малых листов марок. 4 шт ;  ;  ;  ;  ; 21 ; С улыбкой по жизни ; 111 
 6888 ; Лот малых листов марок. 5 шт ;  ;  ;  ;  ; 16 ; С улыбкой по жизни ; 113 
 6889 ; Лот малых листов марок. 3 шт ;  ;  ;  ;  ; 11 ; С улыбкой по жизни ; 126 
 6890 ; Лот малых листов марок. 4 шт ;  ;  ;  ;  ; 18 ; С улыбкой по жизни ; 114 
 6891 ; Лот малых листов марок. 4 шт ;  ;  ;  ;  ; 25 ; scaar ; 210 
 6892 ; Лист марок малого формата ;  ;  ;  ;  ; 39 ; maymuse ; 194 
 6893 ; Лист марок малого формата ;  ;  ;  ;  ; 75 ; птичка16 ; 211 
 6894 ; Лист марок малого формата ;  ;  ;  ;  ; 14 ; metotrex ; 101 
 6895 ; Лист марок малого формата ;  ;  ;  ;  ; 40 ; flutter ; 182 
 6896 ; Лист марок малого формата ;  ;  ;  ;  ; 17 ; metotrex ; 114 
 6897 ; Лист марок малого формата ;  ;  ;  ;  ; 17 ; metotrex ; 190 
 6898 ; Лист марок малого формата ;  ;  ;  ;  ; 17 ; metotrex ; 153 
 6899 ; Лист марок малого формата ;  ;  ;  ;  ; 17 ; metotrex ; 174 
 6900 ; Лист марок малого формата ;  ;  ;  ;  ; 23 ; maymuse ; 123 
 6901 ; Лист марок малого формата ;  ;  ;  ;  ; 16 ; metotrex ; 93 
 6902 ; Лист марок малого формата ;  ;  ;  ;  ; 14 ; metotrex ; 155 
 6903 ; Лист марок малого формата ;  ;  ;  ;  ; 33 ; metotrex ; 107 
 6904 ; Лист марок малого формата ;  ;  ;  ;  ; 12 ; Olimpia ; 90 
 6905 ; Лист марок малого формата ;  ;  ;  ;  ; 25 ; С улыбкой по жизни ; 104 
 6906 ; Лист марок малого формата ;  ;  ;  ;  ; 76 ; птичка16 ; 183 
 6907 ; Лист марок малого формата ;  ;  ;  ;  ; 50 ; птичка16 ; 171 
 6908 ; Лист марок малого формата ;  ;  ;  ;  ; 42 ; С улыбкой по жизни ; 128 
 6909 ; Лист марок малого формата ;  ;  ;  ;  ; 18 ; metotrex ; 93 
 6910 ; Лист марок малого формата ;  ;  ;  ;  ; 40 ; gbp ; 71 
 6911 ; Лист марок малого формата ;  ;  ;  ;  ; 23 ; коламбур ; 163 
 6912 ; Лист марок малого формата ;  ;  ;  ;  ; 64 ; flutter ; 163 
 6913 ; Лист марок малого формата ;  ;  ;  ;  ; 55 ; flutter ; 150 
 6914 ; Лист марок малого формата. Разновидность - золотое кольцо над головой. 2-я марка 3-й ряд. по Загорскому. 2011. ;  ;  ;  ;  ; 73 ; Olimpia ; 732 
 6915 ; Лист марок малого формата ;  ;  ;  ;  ; 22 ; metotrex ; 85 
 6916 ; Лист марок малого формата ;  ;  ;  ;  ; 20 ; metotrex ; 106 
 6917 ; Лист марок малого формата ;  ;  ;  ;  ; 18 ; С улыбкой по жизни ; 100 
 6918 ; Лист марок малого формата ;  ;  ;  ;  ; 18 ; metotrex ; 155 
 6919 ; Лист марок малого формата ;  ;  ;  ;  ; 13 ; metotrex ; 74 
 6920 ; Лист марок малого формата ;  ;  ;  ;  ; 18 ; metotrex ; 148 
 6921 ; Лист марок малого формата ;  ;  ;  ;  ; 49 ; flutter ; 146 
 6922 ; Лист марок малого формата ;  ;  ;  ;  ; 30 ; С улыбкой по жизни ; 124 
 6923 ; Лист марок малого формата ;  ;  ;  ;  ; 27 ; С улыбкой по жизни ; 95 
 6924 ; Лист марок малого формата ;  ;  ;  ;  ; 18 ; metotrex ; 139 
 6925 ; Лист марок малого формата ;  ;  ;  ;  ; 30 ; Бостонская бойня ; 123 
 6926 ; Лист марок малого формата ;  ;  ;  ;  ; 20 ; metotrex ; 168 
 6927 ; Лист марок малого формата ;  ;  ;  ;  ; 19 ; С улыбкой по жизни ; 126 
 6928 ; Лист марок малого формата ;  ;  ;  ;  ; 15 ; metotrex ; 113 
 6929 ; Лист марок малого формата ;  ;  ;  ;  ; 31 ; gbp ; 101 
 6930 ; Лист марок малого формата ;  ;  ;  ;  ; 21 ; С улыбкой по жизни ; 109 
 6931 ; Лист марок малого формата ;  ;  ;  ;  ; 22 ; metotrex ; 169 
 6832 ; Лот марок ;  ;  ;  ;  ; 10 ; Бигль ; 105 
 6833 ; Лот марок ;  ;  ;  ;  ; 24 ; стрелок24 ; 228 
 6834 ; Лот марок ;  ;  ;  ;  ; 27 ; стрелок24 ; 110 
 6835 ; Лот марок ;  ;  ;  ;  ; 23 ; стрелок24 ; 334 
 6836 ; Лот марок ;  ;  ;  ;  ; 13 ; MRR ; 104 
 6837 ; Лот марок ;  ;  ;  ;  ; 13 ; 2128508 ; 216 
 6838 ; Лот марок ;  ;  ;  ;  ; 9 ; maks169 ; 61 
 6839 ; Лот марок ;  ;  ;  ;  ; 7 ; гоша334 ; 80 
 6840 ; Лот марок ;  ;  ;  ;  ; 10 ; maks169 ; 36 
 6841 ; Лот марок ;  ;  ;  ;  ; 18 ; стрелок24 ; 227 
 6842 ; Лот марок ;  ;  ;  ;  ; 18 ; стрелок24 ; 216 
 6843 ; Лот марок ;  ;  ;  ;  ; 15 ; стрелок24 ; 236 
 6844 ; Лот марок ;  ;  ;  ;  ; 14 ; Raisa_Sem ; 69 
 6845 ; Лот марок ;  ;  ;  ;  ; 7 ; гоша334 ; 58 
 6846 ; Лот марок ;  ;  ;  ;  ; 6 ; maks169 ; 34 
 6847 ; Лот марок ;  ;  ;  ;  ; 6 ; maks169 ; 26 
 6848 ; Лот марок ;  ;  ;  ;  ; 11 ; MRR ; 114 
 6849 ; Лот марок ;  ;  ;  ;  ; 17 ; MRR ; 104 
 6850 ; Лот марок ;  ;  ;  ;  ; 10 ; maks169 ; 38 
 6851 ; Лот марок ;  ;  ;  ;  ; 17 ; 2128508 ; 115 
 6852 ; Лот марок ;  ;  ;  ;  ; 10 ; MRR ; 35 
