 133 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; VF-XF ; 34 ; АВлад ; 10200 
 134 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 18 ; нафаня ; 1925 
 135 ; Рубль ; 1857 ; СПБ ФБ ; Ag ; VF-XF ; 107 ; Basilio ; 52134 
 136 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; VF+ ; 11 ; нафаня ; 3800 
 137 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; Proof-Like ; 30 ; finger ; 14000 
 138 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 50 ; Участник № 1 ; 18000 
 139 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF- ; 33 ; Участник № 1127 ; 6200 
 140 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 33 ; Участник № 222 ; 4000 
 141 ; Копейка ; 1860 ; ВМ ; Cu ; VF- ; 16 ; Участник № 621 ; 800 
 142 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 6 ; Участник № 621 ; 850 
 143 ; 5 копеек ; 1864 ; ЕМ ; Cu ; VF+ ; 25 ; кабан ; 1754 
 144 ; Рубль ; 1867 ; СПБ HI ; Ag ; VF+ ; 23 ; АВлад ; 21772 
 145 ; Копейка ; 1868 ; СПБ ; Cu ; AU ; 11 ; Участник № 51 ; 8000 
 146 ; 3 рубля ; 1869 ; СПБ НI ; Au ; AU ; 45 ; Участник № 51 ; 68000 
 147 ; Полтина. Редкая датировка ; 1874 ; СПБ HI ; Ag ; VF+ ; 38 ; Basilio ; 23408 
 148 ; 3 копейки ; 1874 ; ЕМ ; Cu ; XF+ ; 14 ; Участник № 18 ; 5000 
 149 ; 3 копейки ; 1876 ; СПБ ; Cu ; VF- ; 5 ; АВлад ; 216 
 150 ; 5 копеек ; 1879 ; СПБ ; Cu ; AU ; 9 ; toto ; 9500 
 51 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 56 ; destroer ; 7637 
 52 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF ; 3 ; SSK ; 709 
 53 ; 5 копеек ; 1782 ; ЕМ ; Cu ; XF- ; 25 ; Участник № 1495 ; 2000 
 54 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 15 ; Участник № 1495 ; 3600 
 55 ; 5 копеек ; 1783 ; ЕМ ; Cu ; XF- ; 9 ; Участник № 1495 ; 1100 
 56 ; 5 копеек ; 1785 ; ЕМ ; Cu ; XF- ; 7 ; volod ; 214 
 57 ; 5 копеек ; 1787 ; ЕМ ; Cu ; VF-XF ; 8 ; igorf ; 1100 
 58 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 18 ; Участник № 66 ; 380 
 59 ; 5 копеек (Петров-1р) ; 1788 ; ММ ; Cu ; VF+ ; 25 ; клотик 2 ; 1865 
 60 ; 5 копеек (редкий, Ильин-10р) ; 1788 ; ТМ ; Cu ; VF-XF/VF ; 27 ; Участник № 1495 ; 21000 
 61 ; 2 копейки ; 1788 ; ММ ; Cu ; VF-XF ; 45 ; Участник № 523 ; 2400 
 62 ; 2 копейки (редкая, Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; VF-XF ; 31 ; Участник № 9 ; 3800 
 63 ; Денга ; 1788 ;  ; Cu ; VF ; 26 ; Участник № 222 ; 2600 
 64 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 7 ; Участник № 114 ; 560 
 65 ; 5 копеек ; 1790 ; ЕМ ; Cu ; AU ; 15 ; Участник № 1495 ; 1800 
 66 ; 2 копейки ; 1790 ; ЕМ ; Cu ; XF- ; 15 ; клотик 2 ; 1700 
 67 ; 5 копеек ; 1791 ; АМ ; Cu ; XF ; 15 ; Участник № 1495 ; 2000 
 68 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 14 ; Участник № 1495 ; 1600 
 69 ; 5 копеек (диаметр больше обычного) ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF-XF ; 40 ; Участник № 1495 ; 5000 
 70 ; 5 копеек (Петров-15р, Ильин-10р, очень редок) ; 1793 ; Павл.перечекан ; Cu ; VF-XF ; 59 ; Участник № 30 ; 150000 
 71 ; Полушка (Петров-5р, Ильин-5р) ; 1793 ;  ; Cu ; VF ; 21 ; кабан ; 12495 
 72 ; 5 копеек ; 1794 ; АМ ; Cu ; XF+ ; 11 ; Участник № 1495 ; 3000 
 73 ; 5 копеек ; 1794 ; КМ ; Cu ; XF+ ; 30 ; Участник № 1495 ; 7500 
 74 ; 5 копеек (Петров-10р, Ильин-15р). Очень редкая ; 1794 ; ЕМ Павл.перечекан ; Cu ; F+ ; 27 ; АНД ; 27540 
 75 ; Копейка ; 1795 ; ЕМ ; Cu ; XF ; 31 ; Участник № 621 ; 3600 
 76 ; 2 копейки ; 1796 ; ЕМ ; Cu ; XF ; 32 ; Участник № 9 ; 6500 
 77 ; Копейка. Новодел ; 1796 ;  ; Cu ; XF/AU ; 8 ; Basilio ; 30602 
 78 ; 2 копейки ; 1797 ; КМ ; Cu ; VF+ ; 5 ; кабан ; 1800 
 79 ; Копейка ; 1798 ; ЕМ ; Cu ; VF-XF ; 6 ; Участник № 621 ; 550 
 80 ; Полушка ; 1798 ; ЕМ ; Cu ; VF+ ; 39 ; dimon46 ; 873 
 81 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 35 ; Участник № 1 ; 23000 
 82 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 5 ; кабан ; 1022 
 83 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF ; 49 ; Basilio ; 26531 
 84 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 29 ; Участник № 1127 ; 6500 
 85 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 43 ; кабан ; 2800 
 86 ; 5 копеек (Петров-2р,Ильин-1р) ; 1805 ; КМ ; Cu ; VF ; 22 ; РСФСР ; 4947 
 87 ; Деньга (Ильин-3р) ; 1805 ; КМ ; Cu ; VF ; 64 ; monos72 ; 28254 
 88 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF ; 21 ; кабан ; 5440 
 89 ; Рубль ; 1809 ; СПБ МК ; Ag ; XF-/VF+ ; 73 ; нафаня ; 26128 
 90 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; XF- ; 94 ; клотик 2 ; 11774 
 91 ; 2 копейки ; 1810 ; КМ ; Cu ; VF+ ; 29 ; Fedor_K ; 3400 
 92 ; Деньга (Петров-1р) ; 1811 ; ИМ МК ; Cu ; XF- ; 25 ; кабан ; 3062 
 93 ; Деньга ; 1813 ; ИМ ПС ; Cu ; VF+ ; 33 ; destroer ; 1989 
 94 ; Полтина (Ильин-3р). Редка. В весе-10 1/2  2-ка развернута в обратную сторону ; 1814 ; СПБ ПС ; Ag ; XF- ; 40 ; Участник № 30 ; 21500 
 95 ; Рубль ; 1815 ; СПБ МФ ; Ag ; VF-XF ; 33 ; Basilio ; 6434 
 96 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 17 ; Участник № 222 ; 1200 
 97 ; Деньга (Петров-5р) ; 1815 ; ЕМ НМ ; Cu ; F-VF ; 71 ; SSK ; 2833 
 98 ; Рубль (Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; VF ; 75 ; ААФ ; 9219 
 99 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; XF+ ; 19 ; кабан ; 1019 
 100 ; 5 копеек ; 1825 ; СПБ ПД ; Ag ; XF- ; 30 ; Участник № 18 ; 2400 
 1 ; Денга ; 1700 ;  ; Cu ; VF ; 20 ; Олег33 ; 1566 
 2 ; Копейка ; 1709 ; МД ; Cu ; F-VF ; 22 ; Sky2 ; 1111 
 3 ; Рубль ; 1719 ; OK ; Ag ; VF+ ; 54 ; АВлад ; 25500 
 4 ; Полушка (Ильин-4р) ; 1720 ;  ; Cu ; VF ; 35 ; SSK ; 3677 
 5 ; Рубль ; 1721 ; K ; Ag ; VF-XF ; 44 ; нумизмат ; 50734 
 6 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF-XF ; 46 ; igorf ; 5102 
 7 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF-XF ; 15 ; Fedor_K ; 3400 
 8 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 33 ; SSK ; 8324 
 9 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF+ ; 29 ; Fedor_K ; 4400 
 10 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF- ; 17 ; кабан ; 5102 
 11 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 33 ; нумизмат ; 23035 
 12 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 43 ; АВлад ; 11719 
 13 ; Рубль ; 1740 ;  ; Ag ; XF+ ; 34 ; swamp ; 30489 
 14 ; Рубль ; 1743 ; ММД ; Ag ; VF-/VF+ ; 46 ; Участник № 1362 ; 21000 
 15 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF+ ; 30 ; лиса ; 6777 
 16 ; Копейка (интересные следы перечекана) ; 1755 ; ММД ; Cu ; VF ; 32 ; Участник № 9 ; 3800 
 17 ; Копейка (Петров-1р) ; 1755 ; СПБ ; Cu ; VF-XF ; 58 ; foma71 ; 7283 
 18 ; Копейка (Ильин-1р, гурт-ММД) ; 1755 ;  ; Cu ; VF ; 67 ; chernov_s_v ; 16887 
 19 ; Рубль ; 1756 ;  ; Au ; XF+ ; 52 ; dima1501 ; 40211 
 20 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF-XF ; 25 ; Участник № 62 ; 1300 
 21 ; 2 копейки ; 1758 ;  ; Cu ; VF ; 2 ; Участник № 621 ; 3200 
 22 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF+ ; 27 ; Участник № 9 ; 2600 
 23 ; 5 копеек (Петров-1р, Ильин-1р) ; 1759 ; ММ ; Cu ; VF ; 24 ; Участник № 1495 ; 5500 
 24 ; 5 копеек (Петров-10р, Ильин-3р) ; 1761 ; ММ ; Cu ; F+ ; 16 ; Участник № 1495 ; 6200 
 25 ; 5 копеек ; 1761 ;  ; Cu ; VF-XF ; 75 ; Участник № 1495 ; 4000 
 26 ; 4 копейки ; 1762 ;  ; Cu ; VF-XF ; 36 ; SSK ; 14847 
 27 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 42 ; АВлад ; 17200 
 28 ; Гривенник ; 1764 ;  ; Ag ; VF-XF ; 23 ; Участник № 168 ; 20000 
 29 ; 10 копеек. Новодел ; 1764 ;  ; Cu ; AU ; 24 ; Basilio ; 25502 
 30 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF ; 16 ; toto ; 12983 
 31 ; 5 копеек ; 1765 ; СМ ; Cu ; VF+ ; 39 ; Участник № 1495 ; 2000 
 32 ; 5 копеек ; 1766 ; ММ ; Cu ; VF ; 28 ; Участник № 1495 ; 1200 
 33 ; 5 копеек (Петров-1р) ; 1766 ; СМ ; Cu ; VF- ; 18 ; 1234567 ; 1157 
 34 ; 5 копеек ; 1766 ; СПМ ; Cu ; VF- ; 37 ; Участник № 1495 ; 2200 
 35 ; 2 копейки ; 1766 ; ММ ; Cu ; VF-XF ; 11 ; Участник № 523 ; 2200 
 36 ; 5 копеек (редкий, Ильин-5р) ; 1767 ; СПМ ; Cu ; VF- ; 45 ; Участник № 1495 ; 12000 
 37 ; 20 копеек ; 1768 ; СПБ TI ; Ag ; VF-XF ; 29 ; boroda ; 10200 
 38 ; 5 копеек. Редка ; 1770 ; ЕМ ; Cu ; F-VF ; 85 ; Участник № 1495 ; 62000 
 39 ; 5 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF ; 9 ; Участник № 1495 ; 7000 
 40 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF- ; 7 ; Участник № 1495 ; 8000 
 41 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; Участник № 1495 ; 8000 
 42 ; Копейка ; 1773 ; КМ "Сибирь" ; Cu ; XF- ; 27 ; vvt ; 6674 
 43 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 44 ; pmaster ; 6815 
 44 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 84 ; pmaster ; 8105 
 45 ; 5 копеек ; 1777 ; ЕМ ; Cu ; VF-XF ; 7 ; Участник № 1495 ; 1100 
 46 ; 2 копейки ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 28 ; Участник № 621 ; 1600 
 47 ; Кырмыз (5 копеек) Крым Шахин-Гирей, 4 год правления ; 1191 лх ;  ; Cu ; VF ; 19 ; РСФСР ; 4567 
 48 ; Копейка Крым Шахин-Гирей, 5 год правления ; 1191лх ;  ; Cu ; VF+ ; 13 ; нумизмат ; 3162 
 49 ; 5 копеек ; 1778 ; ЕМ ; Cu ; F-VF ; 11 ; Участник № 1495 ; 220 
 50 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 33 ; ААФ ; 1133 
