 92 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; VF ; 47 ; CapsulЪ ; 3200 
 93 ; 1/2 копейки. Капсула ; 1882 ; СПБ ; Cu ;  ; 13 ; Остин ; 11000 
 94 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; XF ; 38 ; anna53 ; 3200 
 95 ; 1/2 копейки ; 1890 ; СПБ ; Cu ; XF ; 75 ; sdv75-2010 ; 10000 
 96 ; 1/2 копейки. Капсула ; 1893 ; СПБ ; Cu ;  ; 22 ; Braslav ; 8500 
 97 ; 1/2 копейки ; 1908 ; СПБ ; Cu ; XF+ ; 37 ; Продано в зале ; 2000 
 98 ; Полушка ; 1730 ; Орёл 1730 г. ; Cu ; VF+ ; 57 ; vit2503 ; 3600 
 99 ; Полушка ; 1857 ; ЕМ ; Cu ; VF-XF ; 30 ; VAG ; 2800 
 100 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; VF-XF ; 28 ; Продано в зале ; 4800 
 1 ; Рубль ; 1720 ; OK ; Ag ; VF ; 35 ; vit2503 ; 46000 
 2 ; Рубль ; 1742 ; ММД ; Ag ; VF-XF ; 23 ; iustas ; 40000 
 3 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF+ ; 40 ; rogogor ; 14621 
 4 ; Рубль ; 1766 ; СПБ ЯI TI ; Ag ; VF-XF ; 69 ; kpt ; 28000 
 5 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 37 ; vit2503 ; 19000 
 6 ; Рубль (Ильин-3р). Аверс/Реверс ~20 градусов ; 1816 ; СПБ ПС ; Ag ; XF ; 26 ; амбал ; 15547 
 7 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 49 ; гудзон ; 22000 
 8 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 22 ; Soft ; 6128 
 9 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF-XF ; 22 ; Soft ; 8260 
 10 ; Рубль ; 1849 ; СПБ ПА ; Ag ; VF-XF ; 21 ; Alex828 ; 11234 
 11 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF ; 13 ; iustas ; 13600 
 12 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF ; 27 ; Михмих ; 17115 
 13 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF- ; 33 ; vit2503 ; 7500 
 14 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 32 ; Михмих ; 7000 
 15 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 19 ; 23011976 ; 6750 
 16 ; 25 копеек ; 1896 ; АГ ; Ag ; VF-XF ; 17 ; Продано в зале ; 4400 
 17 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; XF- ; 17 ; гудзон ; 2200 
 18 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 49 ; Продано в зале ; 4200 
 19 ; 20 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 18 ; Продано в зале ; 7500 
 20 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 33 ; cotangens ; 2600 
 21 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; XF/AU ; 34 ; S&P ; 5500 
 22 ; 15 копеек ; 1890 ; СПБ АГ ; Ag ; XF+ ; 43 ; Цветмет ; 4800 
 23 ; Гривенник ; 1748 ;  ; Ag ; VF-XF ; 15 ; LuciferM13 ; 4000 
 24 ; Гривенник ; 1765 ;  ; Ag ; VF ; 23 ; gelo ; 5500 
 25 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 42 ; vit2503 ; 6000 
 26 ; Гривенник ; 1784 ; СПБ ; Ag ; VF-XF ; 24 ; LuciferM13 ; 3000 
 27 ; Гривенник ; 1789 ; СПБ ; Ag ; XF ; 33 ; cotangens ; 11000 
 28 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF- ; 65 ; Остин ; 6750 
 29 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; XF ; 16 ; Продано в зале ; 4600 
 30 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 46 ; cotangens ; 5250 
 31 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 14 ; I3 ; 3800 
 32 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 29 ; Продано в зале ; 2600 
 33 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 22 ; CapsulЪ ; 4200 
 34 ; 10 копеек. Капсула ; 1873 ; СПБ HI ; Ag ;  ; 39 ; CapsulЪ ; 24000 
 35 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 36 ; Robin - Bobin ; 10000 
 36 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; VF+ ; 11 ; vit2503 ; 1224 
 37 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 18 ; LuciferM13 ; 3000 
 38 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 30 ; tisa66 ; 4800 
 39 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; VF+ ; 27 ; ZOLTAN 333 ; 3600 
 40 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; XF ; 18 ; Alex22D ; 3060 
 41 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 25 ; Alex22D ; 10525 
 42 ; 5 копеек ; 1854 ; СПБ HI ; Ag ; XF ; 45 ; Остин ; 4600 
 43 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 24 ; CapsulЪ ; 4000 
 44 ; 10 грошей ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; VF+ ; 58 ; Продано в зале ; 9500 
 45 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 36 ; гудзон ; 10000 
 46 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; XF ; 49 ; CapsulЪ ; 23000 
 47 ; 5 копеек (Ильин-1р) ; 1764 ; СМ ; Cu ; VF+ ; 51 ; specta ; 9000 
 48 ; 5 копеек ; 1766 ; ММ ; Cu ; VF ; 15 ; lsp25 ; 1567 
 49 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 11 ; krugerrand ; 2267 
 50 ; 5 копеек ; 1794 ; АМ ; Cu ; XF ; 27 ; LuciferM13 ; 1900 
