 317 ; 2 копейки ; 1811 ; ИМ ПС ; Cu ; XF ; 17 ; AVA01 ; 2754 
 318 ; Двойной абаз ; 1812 ; АТ Грузия ; Ag ; VF+ ; 21 ; Участник № 9 ; 11000 
 319 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; XF+ ; 21 ; AVA01 ; 3537 
 320 ; 10 копеек ; 1813 ; СПБ ПС ; Ag ; XF+ ; 53 ; Участник № 222 ; 12500 
 321 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; XF ; 7 ; Участник № 30 ; 1100 
 322 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF- ; 11 ; Участник № 30 ; 7000 
 323 ; 2 копейки ; 1814 ; ЕМ НМ ; Cu ; AU ; 10 ; Участник № 30 ; 5500 
 324 ; Двойной абаз ; 1814 ; АТ Грузия ; Ag ; VF+ ; 20 ; Участник № 545 ; 17000 
 325 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF- ; 5 ; sergfokin ; 3000 
 326 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF+ ; 25 ; Участник № 640 ; 35000 
 327 ; 10 копеек ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 5 ; Участник № 30 ; 10000 
 328 ; Копейка ; 1818 ; ЕМ НМ ; Cu ; XF- ; 19 ; Глол ; 5541 
 329 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 19 ; Глол ; 4000 
 330 ; 5 копеек ; 1822 ; СПБ ПД ; Ag ; VF-XF ; 11 ; PSP ; 1536 
 331 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; VF+ ; 11 ; Участник № 133 ; 3400 
 332 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 9 ; PSP ; 1536 
 333 ; Копейка ; 1823 ; КМ АМ ; Cu ; VF+ ; 21 ; ZOLTAN333 ; 612 
 334 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; XF ; 13 ; Участник № 51 ; 3000 
 335 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 9 ; Участник № 51 ; 4200 
 336 ; 25 копеек (Петров-2р) ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 12 ; HSS ; 6222 
 337 ; Двойной абаз ; 1829 ; АТ Грузия ; Ag ; VF-XF ; 28 ; AVA01 ; 7038 
 338 ; Двойной абаз ; 1831 ; АТ Грузия ; Ag ; VF+ ; 15 ; Глол ; 12000 
 339 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF+ ; 25 ; Глол ; 7142 
 340 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 5 ; монеткин ; 408 
 341 ; 1,5 рубля-10 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 9 ; Участник № 132 ; 10000 
 342 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 26 ; AVA01 ; 15956 
 343 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 7 ; 751 ; 2000 
 344 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 13 ; Глол ; 8941 
 345 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 7 ; Misha ; 9180 
 346 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF+ ; 15 ; монеткин ; 10203 
 347 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF-XF ; 9 ; HSS ; 2142 
 348 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; VF+ ; 9 ; тнн ; 714 
 349 ; 5 копеек (Ильин-1р) ; 1839 ; СМ ; Cu ; VF ; 21 ; монеткин ; 5500 
 350 ; Рубль ; 1840 ; СПБ НГ ; Ag ; AU ; 9 ; Глол ; 18566 
 251 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 19 ; elac ; 2600 
 252 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 15 ; elac ; 1360 
 253 ; Рубль ; 1906 ; (ЭБ) ; Ag ; VF+ ; 9 ; Участник № 149 ; 19000 
 254 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 28 ; elac ; 2833 
 255 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 27 ; ZOLTAN333 ; 2142 
 256 ; Копейка ; 1908 ; СПБ ; Cu ; AU ; 23 ; Участник № 133 ; 600 
 257 ; 5 рублей ; 1909 ; (ЭБ) ; Au ; AU ; 50 ; tisa66 ; 26522 
 258 ; 2 копейки ; 1909 ; СПБ ; Cu ; AU ; 27 ; Участник № 132 ; 3000 
 259 ; Копейка ; 1909 ; СПБ ; Cu ; AU ; 45 ; borism ; 13668 
 260 ; 10 рублей ; 1911 ; (ЭБ) АГ ; Au ; AU ; 17 ; Конрос бид 32 ; 22223 
 261 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 27 ; Участник № 149 ; 2600 
 262 ; Копейка ; 1911 ; СПБ ; Cu ; AU ; 52 ; AVA01 ; 5500 
 263 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 15 ; tisa66 ; 6243 
 264 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF ; 39 ; Basilio ; 3501 
 265 ; 3 копейки ; 1912 ; СПБ ; Cu ; AU ; 24 ; borism ; 2042 
 266 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 21 ; RF ; 700 
 267 ; Копейка ; 1912 ; СПБ ; Cu ; AU ; 59 ; AVA01 ; 4590 
 268 ; Полтина. Редкие буквы минцмейстера для этого года ; 1913 ; (ЭБ) АГ ; Ag ; XF- ; 28 ; elac ; 3400 
 269 ; Копейка ; 1913 ; СПБ ; Cu ; AU ; 17 ; SDS ; 500 
 270 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 46 ; elac ; 32000 
 271 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 13 ; Basilio ; 7000 
 272 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 273 ; Медаль. В память Всероссийской выставки в Москве. Александр III ; 1882 ;  ; Br ; XF+ ; 26 ; Участник № 114 ; 2300 
 274 ; Медаль. За трудолюбие и искусство. Имп. Александр III ;  ;  ; Cu ; XF- ; 9 ; монеткин ; 7140 
 275 ; Жетон. На коронацию Екатерины II ; 1762 ;  ; Ag ; VF-XF ; 21 ; РСФСР ; 16666 
 276 ; Жетон. На коронацию Николая II ; 1896 ;  ; Ag ; AU ; 24 ; AVA01 ; 7416 
 277 ; Жетон. На коронацию Александра III. 1883 ;  ;  ; Ag ; XF+ ; 12 ; AVA01 ; 4000 
 278 ; Копейка ; 1710 ; МД ; Cu ; VF ; 12 ; Участник № 51 ; 1900 
 279 ; Копейка ; 1715 ; МД ; Cu ; VF- ; 33 ; leo 2 ; 1485 
 280 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF+ ; 54 ; Участник № 51 ; 9000 
 281 ; 5 копеек ; 1726 ; МД Хвост узкий ; Cu ; VF- ; 37 ; Участник № 114 ; 3800 
 282 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 33 ; TDN ; 26000 
 283 ; Рубль ; 1728 ;  ; Ag ; VF ; 35 ; Участник № 1 ; 42000 
 284 ; Гривенник ; 1746 ;  ; Ag ; XF ; 20 ; Глол ; 6500 
 285 ; Гривенник ; 1748 ;  ; Ag ; VF+ ; 64 ; Участник № 51 ; 5500 
 286 ; Копейка ; 1755 ; СПБ ; Cu ; VF+ ; 41 ; батя ; 20000 
 287 ; Гривенник ; 1757 ; МБ ; Ag ; VF-XF ; 21 ; монеткин ; 7242 
 288 ; 5 копеек ; 1758 ; СПБ ; Ag ; XF ; 25 ; Глол ; 4600 
 289 ; 5 копеек ; 1760 ;  ; Cu ; VF+ ; 16 ; igors1969 ; 1400 
 290 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; VF+ ; 24 ; Участник № 133 ; 3800 
 291 ; 2 копейки ; 1763 ; ЕМ ; Cu ; VF+ ; 7 ; volod ; 164 
 292 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF- ; 30 ; vagvagvag ; 15312 
 293 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 8 ; Участник № 51 ; 600 
 294 ; Гривенник ; 1767 ; ММД ; Ag ; VF ; 15 ; ZOLTAN333 ; 4284 
 295 ; 10 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 23 ; HSS ; 7928 
 296 ; 20 копеек ; 1770 ; СПБ TI ; Ag ; VF ; 19 ; finger ; 4998 
 297 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF ; 18 ; PSP ; 2239 
 298 ; 15 копеек ; 1783 ; СПБ ; Ag ; VF-XF ; 11 ; Глол ; 9500 
 299 ; Гривенник ; 1783 ; СПБ ; Ag ; XF ; 31 ; Глол ; 9031 
 300 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 11 ; Участник № 133 ; 6500 
 201 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 34 ; max7421 ; 7000 
 202 ; 2 копейки ; 1876 ; СПБ ; Cu ; AU ; 69 ; AVA01 ; 19380 
 203 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; AU ; 13 ; ksv11 ; 2408 
 204 ; 5 рублей ; 1877 ; СПБ НI ; Au ; AU/XF+ ; 22 ; Участник № 51 ; 28000 
 205 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 33 ; PSP ; 1658 
 206 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 11 ; HSS ; 7500 
 207 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 28 ; Участник № 4 ; 8000 
 208 ; 5 копеек ; 1878 ; СПБ ; Cu ; VF-XF ; 2 ; ZOLTAN333 ; 1400 
 209 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 22 ; AVA01 ; 17000 
 210 ; 5 копеек ; 1879 ; СПБ ; Cu ; VF-XF ; 24 ; SSK ; 2256 
 211 ; Копейка ; 1879 ; СПБ ; Cu ; XF+ ; 31 ; андрейх ; 3960 
 212 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 18 ; AVA01 ; 15300 
 213 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 13 ; Kolya-kms ; 714 
 214 ; 1/4 копейки (Ильин-2р) ; 1882 ; СПБ ; Cu ; AU ; 42 ; berson ; 24504 
 215 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 6 ; RF ; 12000 
 216 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU/XF+ ; 15 ; Участник № 1127 ; 2800 
 217 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 11 ; Участник № 133 ; 2200 
 218 ; 5 рублей ; 1888 ; (АГ) Борода длиннее ; Au ; XF ; 32 ; HSS ; 30600 
 219 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 13 ; Участник № 133 ; 3400 
 220 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 25 ; max7421 ; 4408 
 221 ; 1/4 копейки. Редкая (Ильин-3р) ; 1889 ; СПБ ; Cu ; XF+ ; 56 ; Глол ; 87108 
 222 ; 1/4 копейки (Ильин-1р) ; 1890 ; СПБ ; Cu ; AU ; 34 ; berson ; 21772 
 223 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 26 ; tisa66 ; 4100 
 224 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 9 ; luda ; 2833 
 225 ; 50 пенни ; 1892 ; L Финляндия ; Ag ; VF+ ; 7 ; PSP ; 363 
 226 ; 5 копеек ; 1892 ; СПБ АГ ; Ag ; AU ; 15 ; erwin ; 635 
 227 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 5 ; Участник № 183 ; 3000 
 228 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 19 ; Участник № 133 ; 2100 
 229 ; Рубль ; 1895 ; (АГ) ; Ag ; VF+ ; 33 ; ksv11 ; 3659 
 230 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 34 ; elac ; 7242 
 231 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; VF-XF ; 23 ; SSK ; 2123 
 232 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 42 ; тнн ; 20703 
 233 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 40 ; Участник № 640 ; 36000 
 234 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU/XF+ ; 27 ; tisa66 ; 10000 
 235 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 23 ; elac ; 3570 
 236 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 19 ; AVA01 ; 22208 
 237 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; XF-/XF+ ; 40 ; AVA01 ; 18119 
 238 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 23 ; borism ; 3468 
 239 ; Рубль ; 1901 ; (ФЗ) ; Ag ; VF-XF ; 13 ; Kolya-kms ; 3400 
 240 ; Рубль. Редкие буквы минцмейстера для этого года ; 1901 ; (АР) ; Ag ; VF ; 16 ; ksv11 ; 10200 
 241 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 17 ; 155оа ; 3762 
 242 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 36 ; 155оа ; 4641 
 243 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 24 ; Kolya-kms ; 1587 
 244 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 21 ; borism ; 5631 
 245 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 38 ; borism ; 6120 
 246 ; Копейка ; 1903 ; СПБ ; Cu ; XF+ ; 9 ; erwin ; 155 
 247 ; 20 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 24 ; Участник № 30 ; 5200 
 248 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 29 ; VAP20 ; 3278 
 249 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 26 ; borism ; 3060 
 250 ; Рубль. Редкая датировка ; 1905 ; (АР) ; Ag ; VF+ ; 21 ; Участник № 51 ; 74000 
 151 ; Полтина ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 6 ; Даймлер ; 4533 
 152 ; 25 копеек. Ошибка ЧИСТЛГО ; 1851 ; СПБ ПА ; Ag ; XF+ ; 63 ; Участник № 135 ; 70000 
 153 ; Копейка ; 1851 ; ВМ ; Cu ; VF+ ; 25 ; HSS ; 3421 
 154 ; Рубль ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 13 ; PSP ; 5102 
 155 ; Полтина ; 1852 ; СПБ ПА ; Ag ; AU/XF+ ; 35 ; Участник № 7 ; 7500 
 156 ; Денежка ; 1852 ; ЕМ ; Cu ; XF ; 18 ; AVA01 ; 7808 
 157 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF- ; 5 ; PSP ; 5102 
 158 ; Полтина ; 1855 ; СПБ HI ; Ag ; VF-XF ; 15 ; igors1969 ; 5100 
 159 ; Денежка ; 1855 ; ВМ ; Cu ; VF-XF ; 23 ; Глол ; 17442 
 160 ; Полушка ; 1855 ; ЕМ ; Cu ; XF+ ; 33 ; Участник № 222 ; 2400 
 161 ; Полушка ; 1855 ; ВМ ; Cu ; XF+ ; 24 ; AVA01 ; 52020 
 162 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 19 ; RF ; 15402 
 163 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 21 ; Участник № 133 ; 2200 
 164 ; Полушка ; 1856 ; ЕМ ; Cu ; AU ; 34 ; Участник № 149 ; 5200 
 165 ; Денежка ; 1857 ; ВМ ; Cu ; VF-XF ; 28 ; ZOLTAN333 ; 2550 
 166 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 22 ; Участник № 133 ; 3600 
 167 ; Полушка ; 1858 ; ЕМ ; Cu ; AU ; 33 ; HSS ; 4884 
 168 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; VF-XF ; 16 ; Участник № 62 ; 6000 
 169 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF/VF+ ; 40 ; Участник № 133 ; 3600 
 170 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF ; 23 ; Участник № 30 ; 17000 
