 1223 ; Один червонец ; 1923 ; (ПЛ) ; Au ; AU ; 1 ; cr2448 ; 110000 
 1224 ; Рубль ; 1921 ; (АГ) ; Ag ; AU ; 1 ; Harlock ; 8400 
 1225 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; AU ; 3 ; tisa66 ; 11000 
 1226 ; 1 копейка ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ; Cu ; AU ; 16 ; Продано в зале ; 18000 
 1227 ; Знак ордена Св. Станислава II ст. Фирма: "Эдуард". Р-ры: 50х50мм ; 1855-1916 ;  ; Au, эмаль ; AU ; 7 ; Продано в зале ; 125000 
 1228 ; Медаль наградная "Мир со Швецией" ;  ;  ; Ag ; XF- ; 5 ; Продано в зале ; 83000 
 1229 ; Медаль наградная. Воспитанникам польских учебных заведений. D = 38 мм. ( Дьяков 439, но D=33 мм.) ;  ;  ; Ag ; XF+ ; 18 ; Продано в зале ; 58000 
 1230 ; Медаль. Преуспевающему. D = 42 мм ;  ;  ; Ag ; XF ; 10 ; Продано в зале ; 16000 
 1231 ; Медаль. В память 300-летия царствования дома Романовых (с Георгиевским крестом). D = 27 мм ;  ;  ; Cu,позолота ; XF+ ; 25 ; Продано в зале ; 12500 
 1232 ; Знак  ветеринарного врача. Р-ры: 52х45мм. М-29,46гр ;  ;  ; Ag ; XF ; 3 ; korovan67 ; 20145 
 1233 ; Знак военных врачей в Императорской Медико-Хирургической Академии и Российских Университетах.  Р-ры: 62х45мм. М-41,11гр ;  ;  ; Ag, позол, эмал ; XF ; 14 ; Продано в зале ; 26000 
 1234 ; Знак  присяжного поверенного. Р-ры: 48х35мм. М-23,57гр ;  ;  ; Ag ; XF+ ; 7 ; korovan67 ; 20120 
 1235 ; Жетон "Школа прапорщиков северного фронта" 6-й выпуск. Клйемо 84 голова в право ;  ;  ; Ag ; XF ; 15 ; bag1809 ; 31110 
 1236 ; Знак "Императорское Российское общество садоводов", рижское отделение ;  ;  ; Ag ; AU ; 21 ; bag1809 ; 18312 
 1237 ; Медаль на коронацию Елизаветы I. D=60 мм. I.G.W.F. (И.Г. Вехтер исполнил), а справа надпись КОПIЯ ; 1742 ;  ; Cu ; XF+ ; 7 ; Продано в зале ; 18000 
