 130 ; Денга. Капсула ; 1735 ;  ; Cu ;  ; 14 ; sax ; 7000 
 131 ; Денга. Капсула ; 1766 ; ЕМ ; Cu ;  ; 10 ; TORRA ; 1099 
 132 ; Денга ; 1766 ; ЕМ ; Cu ; VF+ ; 43 ; Продано в зале ; 5500 
 133 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 17 ; LuciferM13 ; 800 
 134 ; Деньга ; 1797 ; ЕМ ; Cu ; VF ; 35 ; CapsulЪ ; 4400 
 135 ; Деньга ; 1798 ; ЕМ ; Cu ; VF- ; 17 ; Ravak_1981 ; 650 
 136 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; AU ; 24 ; sax ; 6000 
 137 ; 1/2 копейки. Капсула ; 1842 ; СМ ; Cu ;  ; 9 ; LuciferM13 ; 800 
 138 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 18 ; sdv75-2010 ; 2200 
 139 ; Денежка. Капсула ; 1851 ; ЕМ ; Cu ;  ; 22 ; LuciferM13 ; 2600 
 140 ; Денежка. Капсула ; 1855 ; ЕМ ; Cu ;  ; 21 ; Киров ; 2800 
 141 ; Денежка ; 1855 ; ЕМ ; Cu ; VF-XF ; 14 ; LuciferM13 ; 1000 
 142 ; Денежка. Капсула ; 1856 ; ВМ ; Cu ;  ; 56 ; DiatezЪ ; 7000 
 143 ; Денежка ; 1860 ; ЕМ ; Cu ; XF ; 23 ; CapsulЪ ; 2600 
 144 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; VF-XF ; 19 ; DiatezЪ ; 3000 
 145 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF ; 16 ; vit2503 ; 3000 
 146 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF- ; 21 ; electra ; 2800 
 147 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; XF ; 27 ; Robin - Bobin ; 3600 
 148 ; 1/2 копейки ; 1888 ; СПБ ; Cu ; VF-XF ; 28 ; sdv75-2010 ; 4000 
 149 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 33 ; I3 ; 3000 
 150 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; XF+ ; 28 ; I3 ; 3000 
 51 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 27 ; sax ; 5100 
 52 ; 10 копеек. Капсула ; 1861 ; СПБ ; Ag ;  ; 7 ; Soft ; 1836 
 53 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 30 ; CapsulЪ ; 6250 
 54 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 7500 
 55 ; 10 копеек. Капсула ; 1873 ; СПБ HI ; Ag ;  ; 17 ; q8b ; 3000 
 56 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 25 ; Продано в зале ; 13000 
 57 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 121 ; I3 ; 26000 
 58 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 45 ; Гр.Гросс ; 9000 
 59 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 22 ; Продано в зале ; 4000 
 60 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 47 ; I3 ; 8000 
 61 ; 10 копеек. Капсула ; 1891 ; СПБ АГ ; Ag ;  ; 27 ; Zenit68 ; 4600 
 62 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; XF ; 27 ; pilot2371 ; 4000 
 63 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 38 ; Zenit68 ; 14870 
 64 ; 10 копеек ; 1899 ; СПБ АГ ; Ag ; XF ; 36 ; Продано в зале ; 7500 
 65 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 30 ; Продано в зале ; 7000 
 66 ; 10 копеек. Капсула ; 1902 ; СПБ АР ; Ag ;  ; 13 ; Zenit68 ; 4800 
 67 ; 10 копеек. Капсула ; 1903 ; СПБ АР ; Ag ;  ; 29 ; Sky2 ; 2800 
 68 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 41 ; I3 ; 5250 
 69 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 26 ; I3 ; 3200 
 70 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF+ ; 68 ; I3 ; 17000 
 71 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; VF-XF ; 13 ; ValeriyL ; 2000 
 72 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 27 ; Продано в зале ; 4300 
 73 ; 5 копеек. Капсула ; 1819 ; СПБ ПС ; Ag ;  ; 13 ; Zenit68 ; 4545 
 74 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 15 ; LuciferM13 ; 3200 
 75 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 35 ; Продано в зале ; 6000 
 76 ; 5 копеек. Капсула ; 1831 ; СПБ НГ ; Ag ;  ; 18 ; Zenit68 ; 6500 
 77 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 30 ; лампедуза ; 4200 
