 72 ; 2 марки ; 1905 ; L Финляндия ; Ag ; VF-XF ; 36 ; elac ; 18360 
 73 ; 10 копеек ; 1766 ; "Сибирь" ; Cu ; VF ; 25 ; Продано в зале ; 20000 
 74 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 16 ; Isay ; 7234 
 75 ; 10 копеек ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 47 ; fr60 ; 6003 
 76 ; 10 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; fr60 ; 4874 
 77 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 34 ; нумизмат ; 7446 
 78 ; 10 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 26 ; Продано в зале ; 5500 
 79 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 18 ; Isay ; 9078 
 80 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; XF- ; 30 ; нумизмат ; 16524 
 81 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF ; 37 ; Isay ; 15000 
 82 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 30 ; Алексей Викторович ; 10710 
 83 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF+ ; 29 ; Продано в зале ; 19000 
 84 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 41 ; Продано в зале ; 22000 
 85 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 41 ; Продано в зале ; 6500 
 86 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 33 ; Продано в зале ; 8500 
 87 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 22 ; rеryn ; 7574 
 88 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 37 ; Продано в зале ; 8500 
 89 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; F+ ; 30 ; Mac. ; 2865 
 90 ; 5 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 39 ; Isay ; 19915 
 91 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 38 ; rеryn ; 4592 
 92 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 37 ; Isay ; 4592 
 93 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 29 ; Продано в зале ; 4200 
 94 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 20 ; Продано в зале ; 4500 
 95 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF+ ; 28 ; Продано в зале ; 9000 
 96 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 29 ; Продано в зале ; 7600 
 97 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 63 ; нумизмат ; 13617 
 98 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF ; 37 ; нумизмат ; 15300 
 99 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 68 ; Продано в зале ; 5500 
 100 ; 5 копеек ; 1783 ; КМ ; Cu ; XF ; 36 ; leo 2 ; 4530 
 1 ; 5 рублей. М-6,54г. Ремонт гурта ; 1829 ; СПБ ПД ; Au ; XF- ; 29 ; андрей&ка ; 58140 
 2 ; 5 рублей. М-6,54г ; 1841 ; СПБ АЧ ; Au ; XF+ ; 59 ; Lisik ; 37000 
 3 ; 5 рублей. М-6,53г ; 1843 ; СПБ АЧ ; Au ; XF+/XE ; 25 ; андрей&ка ; 35700 
 4 ; 5 рублей. М-6,49г ; 1847 ; СПБ АГ ; Au ; XF ; 14 ; К909КА174 ; 39780 
 5 ; 5 рублей. М-6,54гр ; 1872 ; СПБ НI ; Au ; AU ; 95 ; К909КА174 ; 45000 
 6 ; 5 рублей. М-6,51г ; 1873 ; СПБ НI ; Au ; AU/XF ; 17 ; К909КА174 ; 48000 
 7 ; 3 рубля. М-г3,88 ; 1871 ; СПБ НI ; Au ; XF- ; 13 ; Продано в зале ; 55000 
 8 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF ; 42 ; Продано в зале ; 21000 
 9 ; Рубль ; 1721 ;  ; Ag ; VF+ ; 77 ; pmaster ; 29582 
 10 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 63 ; Продано в зале ; 38000 
 11 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 45 ; Продано в зале ; 32000 
 12 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 27 ; acad ; 14358 
 13 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 20 ; амбал ; 20400 
 14 ; Рубль ; 1745 ; СПБ ; Ag ; VF-XF ; 83 ; Trien ; 15867 
 15 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF ; 20 ; Продано в зале ; 26000 
 16 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 72 ; а1945 ; 15411 
 17 ; Рубль ; 1803 ; СПБ АИ ; Ag ; XF- ; 53 ; андрей&ка ; 24000 
 18 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; XF- ; 15 ; андрей&ка ; 17340 
 19 ; Рубль ; 1809 ; СПБ МК ; Ag ; XF+ ; 24 ; Продано в зале ; 46000 
 20 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 37 ; нумизмат ; 18813 
 21 ; Рубль. В капсуле NGC ; 1843 ; MW ; Ag ; XF 45 ; 29 ; Liebhaber ; 18134 
 22 ; Рубль. В капсуле NGC ; 1853 ; СПБ HI ; Ag ; AU 58 ; 33 ; К909КА174 ; 19331 
 23 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF ; 36 ; Olmi ; 38760 
 24 ; Рубль. Аверс/реверс 15 градусов ; 1868 ; СПБ HI ; Ag ; AU ; 18 ; К909КА174 ; 44200 
 25 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF+ ; 27 ; Продано в зале ; 32000 
 26 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF/XF- ; 31 ; нумизмат ; 20000 
 27 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF ; 45 ; Продано в зале ; 30000 
 28 ; Рубль ; 1886 ; (АГ) ; Ag ; VF-XF ; 51 ; Продано в зале ; 24000 
 29 ; Рубль ; 1896 ; (АГ) ; Ag ; XF ; 18 ; Продано в зале ; 9000 
 30 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 25 ; нумизмат ; 45390 
 31 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF+ ; 43 ; Olmi ; 15233 
 32 ; Рубль ; 1915 ; (ВС) ; Ag ; AU/XF ; 32 ; Zorrosha ; 23932 
 33 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; XF+ ; 37 ; Zorrosha ; 16320 
 34 ; Полтина. В капсуле NGC ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 18 ; Продано в зале ; 11000 
 35 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF ; 29 ; К909КА174 ; 7752 
 36 ; Полтина (Ильин-3р) ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 17 ; Lisik ; 28243 
