 97 ; Медаль. Император Наполеон Бонапарт. Въезд маршала Нея в Инсбрук. Франция. D-40мм ;  ;  ; Br ; XF+ ; 13 ; sm-dc ; 3060 
 98 ; Медаль. Император Наполеон Бонапарт. День благодарения за мир. Собор Святого Стефана в Вене. Франция. D-40мм ;  ;  ; Br ; XF ; 6 ; sm-dc ; 3005 
 99 ; Медаль. Император Наполеон Бонапарт. Сенат и народ. Франция. D-40мм ;  ;  ; Br ; XF+ ; 29 ; sm-dc ; 4000 
 100 ; Рубль (Петров-2,25р) ; 1736 ;  ; Ag ; VF+ ; 65 ; CapsulЪ ; 18000 
 1 ; 5 рублей. М-6,53г ; 1877 ; СПБ НI ; Au ; XF ; 21 ; vtoth ; 42000 
 2 ; Дукат. Нидерланды. Петербургской чеканки. М-3,34гр ; 1839 ;  ; Au ; XF+ ; 32 ; Продано в зале ; 27000 
 3 ; 1,5 рубля-10 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 52 ; CapsulЪ ; 15000 
 4 ; Рубль ; 1719 ;  ; Ag ; VF+ ; 39 ; CapsulЪ ; 62500 
 5 ; Рубль ; 1719 ; OK ; Ag ; VF ; 42 ; Продано в зале ; 28000 
 6 ; Рубль ; 1725? ; СПБ ; Ag ; F-VF ; 66 ; CapsulЪ ; 36000 
 7 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 57 ; CapsulЪ ; 65000 
 8 ; Рубль ; 1729 ;  ; Ag ; VF ; 24 ; Продано в зале ; 36000 
 9 ; Рубль (Петров3,5р) ; 1746 ; ММД ; Ag ; VF+ ; 44 ; eastern wind ; 17909 
 10 ; Рубль ; 1751 ; СПБ ; Ag ; VF-XF ; 20 ; eastern wind ; 19072 
 11 ; Рубль. В капсуле RNGA ; 1764 ; СПБ СА TI ; Ag ;  ; 30 ; serg2010 ; 26008 
 12 ; Рубль. В капсуле RNGA ; 1771 ; СПБ ЯЧ TI ; Ag ;  ; 44 ; Johnny Walker ; 25490 
 13 ; Рубль В капсуле RNGA ; 1774 ; СПБ QЛ TИ ; Ag ;  ; 56 ; УПСсс ; 25891 
 14 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 57 ; Johnny Walker ; 23000 
 15 ; Рубль. В капсуле RNGA ; 1776 ; СПБ ЯЧ TИ ; Ag ;  ; 34 ; I3 ; 27075 
 16 ; Рубль ; 1885 ; СПБ АГ ; Ag ; VF-XF ; 27 ; CapsulЪ ; 19000 
 17 ; 20 копеек ; 1785 ; СПБ ; Ag ; XF ; 27 ; vonrussel ; 10198 
 18 ; 20 копеек ; 1836 ; СПБ НГ ; Ag ; VF-XF ; 17 ; CapsulЪ ; 1700 
