 110 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 11 ; dav_79_2010 ; 2457 
 111 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 49 ; 1999 ; 19369 
 112 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF- ; 24 ; Sky2 ; 667 
 113 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 11 ; Продано в зале ; 3000 
 114 ; 5 копеек ; 1796 ; АМ ; Cu ; XF- ; 46 ; 663 ; 2808 
 115 ; 5 копеек ; 1796 ; КМ ; Cu ; VF-XF ; 16 ; 7 на 8 8 на 7 ; 4200 
 116 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 23 ; кабан ; 6630 
 117 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 17 ; sme15 ; 2984 
 118 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 14 ; sme15 ; 5667 
 119 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF ; 38 ; sme15 ; 6400 
 120 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF-XF ; 35 ; 439 ; 6347 
 121 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF-XF ; 24 ; Продано в зале ; 2500 
 122 ; 5 копеек ; 1831 ; СМ ; Cu ; VF+ ; 11 ; Продано в зале ; 1050 
 123 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 17 ; Gillur ; 3094 
 124 ; 5 копеек. (Ильин-3р.) ; 1853 ; ВМ ; Cu ; VF ; 32 ; 16840 ; 9747 
 125 ; 5 копеек ; 1855 ; ЕМ ; Cu ; VF-XF ; 19 ; картуш ; 5636 
 126 ; 5 копеек ; 1859 ; ЕМ ; Cu ; VF-XF ; 15 ; 7 на 8 8 на 7 ; 2392 
 127 ; 5 копеек ; 1862 ; ЕМ ; Cu ; VF-XF ; 23 ; Хаа ; 3876 
 128 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF ; 28 ; sme15 ; 5600 
 129 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF-XF ; 29 ; fgd ; 3277 
 130 ; 3 копейки (Ильин-1р) ; 1858 ; ВМ ; Cu ; VF ; 15 ; fgd ; 10005 
 131 ; 3 копейки ; 1900 ; СПБ ; Cu ; AU ; 30 ; Эфес ; 10427 
 132 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 23 ; Продано в зале ; 3600 
 133 ; 2 копейки ; 1797 ; КМ ; Cu ; VF-XF ; 5 ; 7 на 8 8 на 7 ; 1000 
 134 ; 2 копейки ; 1798 ; КМ ; Cu ; XF- ; 9 ; 7 на 8 8 на 7 ; 756 
 135 ; 2 копейки ; 1799 ; КМ ; Cu ; VF-XF ; 5 ; Продано в зале ; 1000 
 136 ; 2 копейки ; 1800 ; КМ ; Cu ; VF-XF ; 7 ; 7 на 8 8 на 7 ; 567 
 137 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 7 ; Продано в зале ; 1300 
 138 ; 2 копейки ; 1823 ; ЕМ ФГ ; Cu ; XF+ ; 15 ; Продано в зале ; 2400 
 139 ; 2 копейки (Новодел) ; 1834 ; СМ ; Cu ; AU ; 20 ; sme15 ; 22000 
 140 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF-XF ; 43 ; нумизмат ; 11334 
 141 ; 2 копейки ; 1900 ; СПБ ; Cu ; AU ; 45 ; Продано в зале ; 6800 
 142 ; Копейка ; 1756 ;  ; Cu ; VF ; 37 ; dav_79_2010 ; 13500 
 143 ; Копейка ; 1778 ; КМ "Сибирь" ; Cu ; XF- ; 11 ; sme15 ; 4200 
 144 ; Копейка ; 1799 ; ЕМ ; Cu ; VF-XF ; 9 ; 663 ; 1000 
 145 ; Копейка ; 1800 ; ЕМ ; Cu ; XF ; 45 ; sme15 ; 3184 
 146 ; Копейка (Новодел) ; 1802 ; КМ ; Cu ; AU ; 25 ; sme15 ; 33079 
 147 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF- ; 55 ; sme15 ; 7500 
 148 ; Копейка ; 1847 ; СМ ; Cu ; XF ; 20 ; Isay ; 5000 
 149 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF+ ; 23 ; 7 на 8 8 на 7 ; 3200 
 150 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 11 ; 7 на 8 8 на 7 ; 1082 
 51 ; 20 копеек ; 1785 ; СПБ ; Ag ; XF+ ; 65 ; картуш ; 18360 
 52 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 43 ; Продано в зале ; 4600 
 53 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 33 ; Продано в зале ; 2300 
 54 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 85 ; Продано в зале ; 5000 
 55 ; 15 копеек ; 1769 ; ММД ; Ag ; XF ; 40 ; Продано в зале ; 10500 
 56 ; 15 копеек ; 1785 ; СПБ ; Ag ; AU ; 44 ; Isay ; 11000 
 57 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 17 ; Продано в зале ; 1600 
 58 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 20 ; Продано в зале ; 4000 
 59 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 7 ; Продано в зале ; 4200 
 60 ; Гривенник ; 1744 ;  ; Ag ; XF ; 27 ; Продано в зале ; 4600 
 61 ; Гривенник ; 1784 ; СПБ ; Ag ; XF+ ; 35 ; Продано в зале ; 5800 
 62 ; Гривенник ; 1785 ; СПБ ; Ag ; XF- ; 5 ; Продано в зале ; 3800 
 63 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 29 ; Продано в зале ; 4800 
 64 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 12 ; Продано в зале ; 3000 
 65 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; XF/AU ; 7 ; Продано в зале ; 7800 
 66 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 12 ; Продано в зале ; 2600 
 67 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 9 ; Продано в зале ; 3400 
 68 ; Десять денег ; 1701 ; Новодел ; Ag ; XF 45 ; 48 ; Продано в зале ; 42000 
 69 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF-XF ; 37 ; Sky2 ; 2792 
 70 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF+ ; 30 ; Продано в зале ; 13500 
 71 ; 5 копеек (Петров-2р, Ильин-3р) ; 1811 ; СПБ ФГ ; Ag ; VF- ; 41 ; Продано в зале ; 7800 
 72 ; 5 копеек ; 1814 ; СПБ ПС ; Ag ; AU ; 39 ; Продано в зале ; 5200 
 73 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; AU ; 32 ; Продано в зале ; 3400 
 74 ; 5 копеек ; 1821 ; СПБ ПД ; Ag ; AU ; 45 ; Продано в зале ; 3400 
 75 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU/XF ; 41 ; Sky2 ; 2600 
 76 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 31 ; Продано в зале ; 11500 
 77 ; Алтын ; 1718 ;  ; Ag ; XF ; 37 ; Продано в зале ; 32000 
 78 ; 2 злотых ; 1821 ; IB Польша ; Ag ; VF-XF ; 73 ; Lisik ; 17500 
 79 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF/AU ; 60 ; Trien ; 10500 
 80 ; 1 злотый ; 1830 ; FH Польша ; Ag ; XF/AU ; 72 ; Продано в зале ; 20000 
 81 ; 10 копеек (Петров-2р) ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; leo 2 ; 10098 
 82 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; 222211 ; 6688 
 83 ; 10 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; zigzag ; 20205 
 84 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 19 ; korshun-777 ; 4974 
 85 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; sme15 ; 4909 
 86 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 91 ; Хаа ; 14280 
 87 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 22 ; dsa ; 10200 
 88 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF- ; 26 ; zigzag ; 10200 
 89 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 27 ; sme15 ; 8708 
 90 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 20 ; Молот ; 5667 
 91 ; 10 копеек (Петров-1р) ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 23 ; ruba ; 14280 
 92 ; 10 копеек (Петров-1р) ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 7 ; Продано в зале ; 8500 
 93 ; 10 копеек (Петров-1,5р) ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 26 ; leo 2 ; 12000 
 94 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 65 ; 222211 ; 8492 
 95 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF+ ; 40 ; De ; 6674 
 96 ; 5 копеек ; 1766 ; СПМ ; Cu ; VF+ ; 34 ; Продано в зале ; 8000 
 97 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 3 ; acad ; 6120 
 98 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 16 ; zigzag ; 7140 
 99 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 10 ; ruba ; 15000 
 100 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF+ ; 30 ; Продано в зале ; 14000 
 1 ; Новгородская гривна. L-130мм. М-198,090гр ;  ;  ; Ag ;  ; 23 ; Р У Б Л Ь ; 22440 
 2 ; 10 рублей. М-12,88г ; 1894 ; (АГ) АГ ; Au ; XF- ; 37 ; Продано в зале ; 160000 
 3 ; 5 рублей. М-6,36гр ; 1765 ; ТI ; Au ; VF- ; 29 ; Продано в зале ; 52000 
 4 ; 5 рублей. М-6,53г ; 1819 ; СПБ МФ ; Au ; VF-XF ; 40 ; Продано в зале ; 120000 
 5 ; 5 рублей. М-6,52г ; 1865 ; СПБ СШ ; Au ; XF ; 33 ; Продано в зале ; 135000 
 6 ; Рубль. М-1,60гр ; 1756 ;  ; Au ; XF- ; 49 ; Продано в зале ; 44000 
 7 ; Дукат. Нидерланды. Петербургской чеканки ; 1841 ;  ; AU ; XF ; 61 ; 32141 ; 19627 
 8 ; Рубль ; 1719 ; L OK ; Ag ; VF+ ; 24 ; Продано в зале ; 26000 
 9 ; Рубль ; 1724 ;  ; Ag ; XF ; 26 ; seaman 1 ; 75000 
 10 ; Рубль. Петров - 7р., Ильин - 8р. ; 1725 ;  ; Ag ; VF ; 23 ; Продано в зале ; 160000 
 11 ; Рубль. Петров - 5р., Ильин - 12р. ; 1725 ; СПБ ; Ag ; VF ; 30 ; Trevor ; 71478 
 12 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 41 ; Продано в зале ; 44000 
 13 ; Рубль ; 1727 ; СПБ ; Ag ; VF-XF ; 28 ; 1023oxana ; 95000 
 14 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 13 ; Продано в зале ; 40000 
 15 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 62 ; аurео2 ; 31167 
 16 ; Рубль ; 1729 ;  ; Ag ; XF- ; 54 ; Продано в зале ; 44000 
 17 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 31 ; Продано в зале ; 54000 
 18 ; Рубль ; 1732 ;  ; Ag ; XF ; 22 ; 1999 ; 21420 
 19 ; Рубль ; 1735 ;  ; Ag ; XF+ ; 40 ; Продано в зале ; 46000 
 20 ; Рубль ; 1737 ;  ; Ag ; XF- ; 16 ; Продано в зале ; 28000 
 21 ; Рубль ; 1747 ; ММД ; Ag ; XF- ; 36 ; Sky2 ; 22667 
 22 ; Рубль ; 1749 ; СПБ ; Ag ; XF- ; 42 ; Продано в зале ; 29000 
 23 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF ; 45 ; 462 ; 14032 
 24 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF+ ; 13 ; 78gen ; 20400 
 25 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF+ ; 26 ; ruba ; 22780 
 26 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; AU/XF ; 24 ; Trevor ; 29296 
 27 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 25 ; 462 ; 18360 
 28 ; Рубль ; 1797 ; СМ ФЦ ; Ag ; VF-XF ; 32 ; Продано в зале ; 125000 
 29 ; Рубль (Ильин-3р) ; 1813 ; СПБ ПС ; Ag ; XF+ ; 50 ; seaman 1 ; 25500 
 30 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 54 ; Продано в зале ; 10000 
 31 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF+ ; 21 ; seaman 1 ; 11220 
 32 ; Рубль ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 11 ; VVPU ; 15300 
 33 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; AU ; 34 ; Продано в зале ; 115000 
 34 ; Рубль ; 1848 ; СПБ HI ; Ag ; AU ; 35 ; verunk1 ; 30000 
 35 ; Рубль. В капсуле NGC ; 1854 ; СПБ HI ; Ag ; Unc ; 35 ; Isay ; 30600 
 36 ; Рубль ; 1876 ; СПБ HI ; Ag ; AU/XF ; 40 ; seaman 1 ; 40000 
 37 ; Рубль ; 1877 ; СПБ HI ; Ag ; XF+ ; 50 ; seaman 1 ; 8156 
 38 ; Рубль ; 1877 ; СПБ НФ ; Ag ; AU ; 38 ; seaman 1 ; 20164 
 39 ; Рубль ; 1884 ; СПБ АГ ; Ag ; AU/XF ; 41 ; Trevor ; 35653 
 40 ; Рубль ; 1891 ; (АГ) ; Ag ; XF+ ; 46 ; Продано в зале ; 40000 
 41 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF/AU ; 17 ; Продано в зале ; 34000 
 42 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF+ ; 32 ; Продано в зале ; 26000 
 43 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 37 ; ppi ; 23004 
 44 ; Полтина ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 15 ; niki ; 21000 
 45 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; VF-XF ; 25 ; Продано в зале ; 18000 
 46 ; Полуполтинник ; 1751 ; ММД ; Ag ; XF+ ; 46 ; Продано в зале ; 12000 
 47 ; Полуполтинник ; 1752 ; ММД Е ; Ag ; VF-XF ; 45 ; поля 1 ; 10203 
 48 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; XF- ; 15 ; Продано в зале ; 18000 
 49 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 31 ; Продано в зале ; 8500 
 50 ; 20 копеек ; 1764 ; ММД ; Ag ; XF- ; 50 ; Продано в зале ; 13000 
