 56 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF- ; 43 ; 439 ; 1071 
 57 ; Полтина ; 1813 ; СПБ ПС ; Ag ; XF/AU ; 26 ; Участник № 135 ; 24000 
 58 ; Деньга ; 1813 ; ИМ ПС ; Cu ; VF+ ; 61 ; SSK ; 1639 
 59 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU ; 33 ; СВл ; 3200 
 60 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF/AU ; 30 ; 1177 ; 10202 
 61 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU/XF ; 44 ; B-52 ; 10001 
 62 ; Полтина ; 1817 ; СПБ ПС ; Ag ; VF-XF ; 28 ; leo 2 ; 3938 
 63 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF+ ; 31 ; Fedor_K ; 11210 
 64 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU/XF ; 27 ; patriot ; 6370 
 65 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF/AU ; 32 ; patriot ; 5510 
 66 ; Полтина ; 1818 ; СПБ ПС ; Ag ; XF ; 15 ; leo 2 ; 2800 
 67 ; 1 злотый ; 1818 ; IB Польша ; Ag ; XF/AU ; 45 ; Участник № 392 ; 16000 
 68 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF ; 15 ; Участник № 1390 ; 620 
 69 ; Двойной абаз ; 1820 ; АТ Грузия ; Ag ; XF+ ; 63 ; Участник № 392 ; 8000 
 70 ; Двойной абаз ; 1821 ; АТ Грузия ; Ag ; VF+ ; 24 ; Участник № 392 ; 13000 
 71 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 26 ; Участник № 1389 ; 2000 
 72 ; Полтина ; 1824 ; СПБ ПД ; Ag ; XF/AU ; 69 ; Участник № 135 ; 36000 
 73 ; Рубль ; 1826 ; СПБ НГ ; Ag ; AU ; 72 ; Участник № 392 ; 56000 
 74 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 30 ; Участник № 392 ; 8500 
 75 ; 5 копеек (Петров-1р). Деформация ; 1828 ; СПБ НГ ; Ag ; VF- ; 48 ; Участник № 392 ; 6600 
 76 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; XF ; 60 ; Участник № 1390 ; 1300 
 77 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 30 ; Участник № 147 ; 3600 
 78 ; 20 копеек (Ильин-5р) ; 1830 ; СПБ НГ ; Ag ; XF+ ; 19 ; Участник № 147 ; 22000 
 79 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; AU ; 21 ; 439 ; 5510 
 80 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF- ; 42 ; maka ; 3500 
 81 ; 5 злотых ; 1834 ; KG Польша ; Ag ; VF+ ; 29 ; нумизмат ; 9066 
 82 ; 1,5 рубля-10 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; XF+ ; 25 ; Участник № 51 ; 14000 
 83 ; 3/4 рубля-5 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 19 ; ЮТВ ; 3264 
 84 ; 15 копеек-1 злотый ; 1839 ; НГ Рус.-Пол. ; Ag ; AU ; 25 ; Участник № 133 ; 5600 
 85 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 30 ; murka1973 ; 1530 
 86 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; XF ; 68 ; 462 ; 2040 
 87 ; 3 копейки (Ильин-2р) ; 1840 ; СМ ; Cu ; F-VF ; 26 ; SSK ; 958 
 88 ; 3 копейки (Ильин-1р) ; 1841 ; СМ ; Cu ; VF- ; 22 ; SSK ; 1532 
 89 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF-XF ; 24 ; Участник № 1390 ; 3600 
 90 ; 3 копейки (Ильин-3р) ; 1842 ; СМ ; Cu ; VF- ; 54 ; ravs ; 920 
 91 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 31 ; Участник № 392 ; 5200 
 92 ; 3 копейки (Ильин-1р) ; 1843 ; СМ ; Cu ; F-VF ; 11 ; 3458 ; 920 
 93 ; 1/2 копейки ; 1843 ; ЕМ ; Cu ; XF+ ; 27 ; Prostota ; 4400 
 94 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; VF-XF ; 26 ; dimon46 ; 3434 
 95 ; Рубль ; 1847 ; MW ; Ag ; XF- ; 48 ; СВл ; 20526 
 96 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 28 ; Участник № 1389 ; 1500 
 97 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 25 ; denizen ; 6234 
 98 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF- ; 74 ; 100924 ; 5200 
 99 ; Полтина ; 1853 ; СПБ HI ; Ag ; XF ; 22 ; Участник № 1341 ; 6800 
 100 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU ; 33 ; Участник № 7 ; 7400 
 1 ; Денга ; 1701 ;  ; Cu ; F-VF ; 31 ; zvz ; 1857 
 2 ; Копейка ; 1705 ; МД ; Cu ; VF+ ; 9 ; Участник № 18 ; 950 
 3 ; Полушка (Ильин-60р, очень редкая) ; 1705 ;  ; Cu ; F ; 75 ; Участник № 51 ; 12000 
 4 ; Денга ; 1706 ;  ; Cu ; VF- ; 29 ; росток ; 3200 
 5 ; Полушка ; 1707 ;  ; Cu ; F-VF ; 15 ; ААФ ; 639 
 6 ; Копейка ; 1715 ; НД ; Cu ; VF+ ; 21 ; 67 ; 2652 
 7 ; Копейка (Петров-20р, Ильин-25р, очень редкая) ; 1716 ; БК ; Cu ; VF- ; 63 ; Участник № 51 ; 16000 
 8 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; VF- ; 33 ; SSK ; 13255 
 9 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; XF- ; 11 ; Участник № 140 ; 1400 
 10 ; Денга (Ильин-2р) ; 1743 ;  ; Cu ; VF ; 15 ; Участник № 147 ; 1700 
 11 ; Денга. Брак чеканки ; 1750 ;  ; Cu ; VF ; 13 ; Участник № 133 ; 1100 
 12 ; 5 копеек ; 1758 ;  ; Cu ; VF ; 28 ; Участник № 1699 ; 550 
 13 ; 5 копеек (Петров-5р, Ильин-3р) ; 1760 ; ММ ; Cu ; VF- ; 33 ; Участник № 51 ; 3000 
 14 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; XF/AU ; 95 ; Участник № 51 ; 25000 
 15 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 13 ; ААФ ; 587 
 16 ; 5 копеек ; 1763 ; СМ ; Cu ; VF ; 37 ; Prostota ; 1500 
 17 ; 5 копеек ; 1764 ; ММ ; Cu ; VF ; 30 ; alex15 ; 1632 
 18 ; 5 копеек ; 1765 ; ЕМ ; Cu ; VF ; 44 ; 100924 ; 283 
 19 ; 5 копеек ; 1765 ; СМ ; Cu ; VF ; 21 ; SSK ; 1486 
 20 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 57 ; andreisss ; 27542 
 21 ; 5 копеек (Петров-3р, Ильин-8р) ; 1767 ; СМ ; Cu ; F-VF ; 51 ; ААФ ; 12801 
 22 ; Денга ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 28 ; 3458 ; 2042 
 23 ; Полушка ; 1768 ; ЕМ ; Cu ; VF-XF ; 31 ; foma71 ; 512 
 24 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 33 ; Участник № 18 ; 2400 
 25 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; F-VF ; 21 ; Участник № 140 ; 3200 
 26 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; VF- ; 39 ; Sky2 ; 2907 
 27 ; 5 копеек. Крым, Шахин-Гирей (5-ый год правления) ; 1777 ;  ; Cu ; F-VF ; 31 ; Участник № 114 ; 3600 
 28 ; Копейка ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 31 ; 3458 ; 2550 
 29 ; 5 копеек ; 1782 ; КМ ; Cu ; VF+ ; 13 ; Участник № 1699 ; 1600 
 30 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 27 ; Участник № 1699 ; 1600 
 31 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 13 ; Участник № 1344 ; 14000 
 32 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; ММ ; Cu ; VF- ; 96 ; SSK ; 16000 
 33 ; Денга (Ильин-1р) ; 1788 ; КМ ; Cu ; VF+ ; 24 ; Участник № 392 ; 1900 
 34 ; 5 копеек ; 1789 ; АМ ; Cu ; XF ; 32 ; 100924 ; 803 
 35 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 34 ; ilshatgs ; 1111 
 36 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 19 ; Участник № 1344 ; 750 
 37 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 31 ; Участник № 1699 ; 1200 
 38 ; 5 копеек ; 1793 ; АМ ; Cu ; VF-XF ; 24 ; crackjack ; 779 
 39 ; 5 копеек ; 1793 ; КМ ; Cu ; VF-XF ; 13 ; Ч.С. ; 2280 
 40 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 22 ; Участник № 1344 ; 1500 
 41 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 33 ; pmaster ; 3610 
 42 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 29 ; ilshatgs ; 1134 
 43 ; 5 копеек ; 1795 ; АМ ; Cu ; VF-XF ; 24 ; Участник № 1699 ; 1500 
 44 ; 5 копеек ; 1796 ; АМ ; Cu ; VF-XF ; 78 ; Участник № 51 ; 1700 
 45 ; Полушка ; 1796 ; ЕМ ; Cu ; VF+ ; 23 ; жорик ; 3581 
 46 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF-XF ; 77 ; andreisss ; 14974 
 47 ; 2 копейки (Ильин-15р) ; 1797 ; АМ ; Cu ; F-VF ; 60 ; Участник № 147 ; 25000 
 48 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF- ; 35 ; Участник № 140 ; 2200 
 49 ; Двойной абаз (Петров-2р) ; 1805 ; ПЗ Грузия ; Ag ; VF-XF ; 69 ; Участник № 140 ; 6500 
 50 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF ; 31 ; ЮТВ ; 11029 
