 65 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 19 ; dimon46 ; 3000 
 66 ; Копейка ; 1829 ; КМ АМ ; Cu ; VF ; 11 ; ААФ ; 400 
 67 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 19 ; liderssen ; 10098 
 68 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 16 ; Продано в зале ; 6500 
 69 ; 25 копеек ; 1831 ; СПБ НГ ; Ag ; XF- ; 37 ; нумизмат ; 9813 
 70 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 6 ; 104 кг ; 550 
 71 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 13 ; verunk1 ; 3723 
 72 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 17 ; ksv11 ; 2267 
 73 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF- ; 14 ; Продано в зале ; 10000 
 74 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 73 ; SSK ; 4794 
 75 ; 5 копеек (Ильин-1р) ; 1836 ; СМ ; Cu ; VF ; 26 ; Продано в зале ; 950 
 76 ; 3 копейки ; 1841 ; ЕМ ; Cu ; VF+ ; 9 ; Продано в зале ; 1600 
 77 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 44 ; нумизмат ; 26531 
 78 ; Полтина (Петров-1р) ; 1843 ; MW ; Ag ; VF ; 33 ; ZOLTAN333 ; 6208 
 79 ; Полтина ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 71 ; Продано в зале ; 11500 
 80 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 9 ; 104 кг ; 1184 
 81 ; Рубль ; 1847 ; MW ; Ag ; VF+ ; 17 ; suren ; 8500 
 82 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU/XF ; 3 ; Продано в зале ; 4000 
 83 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF+ ; 13 ; vvt ; 9066 
 84 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF+ ; 21 ; suren ; 6123 
 85 ; Полтина ; 1848 ; СПБ HI ; Ag ; VF-XF ; 13 ; 439 ; 3122 
 86 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; XF+ ; 29 ; Продано в зале ; 7400 
 87 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 25 ; verunk1 ; 6936 
 88 ; Рубль (Ильин-3р) ; 1850 ; СПБ ПА ; Ag ; XF- ; 60 ; 8128 ; 28000 
 89 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 33 ; каламбурчик ; 14011 
 90 ; 25 копеек-50 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; VF+ ; 19 ; Продано в зале ; 4600 
 91 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; AU/XF ; 34 ; verunk1 ; 9104 
 92 ; Рубль ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 29 ; suren ; 8782 
 93 ; Полтина ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 7 ; suren ; 5100 
 94 ; Рубль ; 1854 ; СПБ HI ; Ag ; AU ; 44 ; нумизмат ; 16830 
 95 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 7 ; каламбурчик ; 4082 
 96 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU ; 9 ; suren ; 11000 
 97 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 22 ; Продано в зале ; 6000 
 98 ; 2 копейки ; 1858 ; ЕМ ; Cu ; XF- ; 37 ; verunk1 ; 3174 
 99 ; Полушка ; 1858 ; ЕМ ; Cu ; XF+ ; 13 ; Продано в зале ; 1500 
 100 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; VF-XF ; 11 ; Продано в зале ; 4200 
 1 ; Рубль ; 1719 ; ILL OK ; Ag ; VF ; 23 ; suren ; 48000 
 2 ; Полтина ; 1719 ;  ; Ag ; VF- ; 13 ; suren ; 36000 
 3 ; Рубль (Петров-4р) ; 1720 ; OK ; Ag ; VF- ; 20 ; Продано в зале ; 32000 
 4 ; Рубль (Петров-4р) ; 1720 ; OK ; Ag ; VF ; 41 ; Самара 88 ; 36267 
 5 ; Рубль ; 1725 ;  ; Ag ; XF ; 39 ; 67 ; 23000 
 6 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 38 ; Продано в зале ; 100000 
 7 ; Рубль ; 1726 ; СПБ ; Ag ; VF ; 34 ; Продано в зале ; 28500 
 8 ; Рубль ; 1727 ; СПБ ; Ag ; VF ; 7 ; Продано в зале ; 29000 
 9 ; Рубль ; 1727 ;  ; Ag ; VF ; 17 ; Продано в зале ; 32000 
 10 ; Рубль ; 1734 ;  ; Ag ; VF ; 19 ; suren ; 15000 
 11 ; Рубль ; 1736 ;  ; Ag ; VF-XF ; 21 ; Продано в зале ; 16000 
 12 ; Рубль ; 1742 ; СПБ ; Ag ; VF ; 35 ; Продано в зале ; 12500 
 13 ; Рубль (Петров-6р) ; 1742 ; ММД ; Ag ; VF+ ; 28 ; Продано в зале ; 32000 
 14 ; Рубль ; 1743 ; ММД ; Ag ; VF+ ; 16 ; Продано в зале ; 33000 
 15 ; Полтина (Петров-3,5р) ; 1745 ; ММД ; Ag ; VF- ; 69 ; suren ; 28720 
 16 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF+ ; 32 ; liderssen ; 5600 
 17 ; Рубль ; 1751 ; ММД ; Ag ; VF- ; 18 ; OMT ; 14000 
 18 ; Рубль ; 1753 ; СПБ IM ; Ag ; VF+ ; 33 ; Продано в зале ; 29000 
 19 ; Рубль.Петров-7рублей. ; 1754 ; ММД IП ; Ag ; VF ; 47 ; Самара 88 ; 25000 
 20 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF-XF ; 26 ; dali ; 19000 
 21 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF+ ; 18 ; Продано в зале ; 12000 
 22 ; Полуполтинник ; 1769 ; ММД ЕI ; Ag ; XF- ; 29 ; 31 ; 8500 
 23 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 950 
 24 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 14 ; Sky2 ; 385 
 25 ; Гривенник ; 1770 ; СПБ TI ; Ag ; XF/AU ; 41 ; каламбурчик ; 5600 
 26 ; 5 копеек ; 1770 ; ЕМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 550 
 27 ; 5 копеек ; 1773 ; ЕМ ; Cu ; VF+ ; 16 ; OMT ; 487 
 28 ; 5 копеек ; 1779 ; ЕМ ; Cu ; XF- ; 8 ; Продано в зале ; 550 
 29 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF-XF ; 45 ; Fedor_K ; 937 
 30 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF ; 37 ; _kit ; 20000 
 31 ; 5 копеек ; 1784 ; ЕМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 650 
 32 ; 5 копеек ; 1784 ; КМ ; Cu ; XF+ ; 18 ; _kit ; 6000 
 33 ; Денга ; 1787 ; КМ ; Cu ; VF ; 24 ; ANK ; 2267 
 34 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; VF- ; 31 ; OMT ; 13000 
