 5 ; Рубль ; 1730 ;  ; Ag ; VF+ ; 36 ; Tur ; 38000 
 6 ; Рубль ; 1746 ; СПБ ; Ag ; XF ; 26 ; zsexdr ; 26010 
 7 ; Рубль ; 1754 ; ММД МБ ; Ag ; VF+ ; 40 ; нумизмат ; 22923 
 8 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF/XF ; 30 ; 222211 ; 27542 
 9 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF+ ; 34 ; Продано в зале ; 30000 
 10 ; Рубль ; 1799 ; СМ ФЦ ; Ag ; VF ; 52 ; нумизмат ; 24031 
 11 ; Рубль (Петров-8р) ; 1801 ; СМ ОМ ; Ag ; VF- ; 33 ; Продано в зале ; 17000 
 12 ; Рубль (Петров-3р) ; 1801 ; СМ ФЦ ; Ag ; VF ; 35 ; нумизмат ; 46592 
 13 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 4 ; A-Stral ; 18360 
 14 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF- ; 22 ; ЛАВ-13 ; 8493 
 15 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU/XF ; 22 ; Продано в зале ; 26000 
 16 ; Рубль ; 1881 ; СПБ НФ ; Ag ; XF- ; 49 ; Olimpia ; 43999 
 17 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF+ ; 40 ; ddv kv ; 71102 
 18 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 36 ; Продано в зале ; 32000 
 19 ; Полтина ; 1865 ; СПБ НФ ; Ag ; XF+ ; 36 ; verunk1 ; 73440 
 20 ; Полуполтинник ; 1752 ; ММД Е ; Ag ; VF-XF ; 22 ; Продано в зале ; 12000 
 21 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; VF-XF ; 16 ; Logistik ; 11342 
 22 ; Полуполтинник ; 1802 ; СПБ АИ ; Ag ; XF- ; 63 ; я8844 ; 74100 
 23 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 49 ; ф-а-и-69 ; 7854 
 24 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 30 ; potato ; 8466 
 25 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 35 ; Продано в зале ; 24000 
 26 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; AU ; 63 ; 25 ; 21348 
 27 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; UNC/AU ; 29 ; Продано в зале ; 7000 
 28 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 31 ; TaraskaPeter ; 3627 
 29 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 30 ; zsexdr ; 3400 
 30 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 21 ; Olimpia ; 3360 
 31 ; 20 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 33 ; verunk1 ; 15816 
 32 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 57 ; TaraskaPeter ; 3966 
 33 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 20 ; 462 ; 3400 
