 140 ; 2 копейки ; 1907 ; СПБ ; Cu ; AU ; 42 ; Продано в зале ; 10500 
 141 ; Копейка ; 1713 ; М Д ; Cu ; VF+ ; 29 ; Продано в зале ; 2800 
 142 ; Копейка ; 1715 ; МД ; Cu ; VF- ; 22 ; Продано в зале ; 2000 
 143 ; Копейка ; 1716 ; МД ; Cu ; VF+ ; 5 ; Продано в зале ; 3000 
 144 ; Копейка ; 1755 ; ММД ; Cu ; VF+ ; 10 ; Продано в зале ; 14500 
 145 ; Копейка ; 1768 ; КМ "Сибирь" ; Cu ; VF-XF ; 7 ; Продано в зале ; 5800 
 146 ; Копейка (Петров-10р, Ильин-8р) ; 1813 ; ЕМ НМ ; Cu ; F+ ; 49 ; картуш ; 7907 
 147 ; Копейка ; 1820 ; КМ АД ; Cu ; VF-XF ; 33 ; Isay ; 3189 
 148 ; Копейка ; 1829 ; КМ АМ ; Cu ; VF+ ; 12 ; нумизмат ; 1134 
 149 ; Копейка ; 1839 ; СМ ; Cu ; VF+ ; 20 ; 222211 ; 2400 
 150 ; Копейка ; 1841 ; ЕМ ; Cu ; VF-XF ; 19 ; 222211 ; 1134 
 51 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 35 ; Trien ; 62000 
 52 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 33 ; Sunday ; 16100 
 53 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; XF+ ; 21 ; Кривой 14 ; 13030 
 54 ; Полтина ; 1718 ; L ОК ; Ag ; VF+ ; 52 ; SSK ; 64770 
 55 ; Полтина. В капсуле PCGS ; 1733 ;  ; Ag ; VF35 ; 17 ; Продано в зале ; 26000 
 56 ; Полтина ; 1740 ; СПБ ; Ag ; VF ; 30 ; Продано в зале ; 56000 
 57 ; Полтина ; 1750 ; СПБ ; Ag ; VF+ ; 31 ; картуш ; 27132 
 58 ; Полтина ; 1816 ; СПБ ПС ; Ag ; XF+ ; 27 ; Продано в зале ; 22000 
 59 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF+ ; 40 ; Sunday ; 7934 
 60 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF/AU ; 18 ; ZOLTAN333 ; 6680 
 61 ; Полуполтинник (Петров-4,5р) ; 1704 ; МД ; Ag ; VF- ; 33 ; Продано в зале ; 34000 
 62 ; Полуполтинник ; 1751 ; ММД А ; Ag ; XF- ; 34 ; Продано в зале ; 20000 
 63 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 14 ; каламбурчик ; 8976 
 64 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; AU/XF ; 11 ; andreyx  ; 16500 
 65 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 36 ; Продано в зале ; 5500 
 66 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 19 ; Во все тяжкие ; 6500 
 67 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 19 ; Продано в зале ; 2800 
 68 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 55 ; Продано в зале ; 27000 
 69 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF- ; 30 ; Р У Б Л Ь ; 8000 
 70 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 16 ; Продано в зале ; 3200 
 71 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 16 ; Продано в зале ; 5200 
 72 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 4200 
 73 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 8 ; Продано в зале ; 3600 
 74 ; 20 копеек. В капсуле NGC ; 1882 ; СПБ НФ ; Ag ; Unc/Detailis ; 54 ; est4o ; 8012 
 75 ; 20 копеек. В капсуле NGC ; 1907 ; СПБ ЭБ ; Ag ; MS64 ; 38 ; Продано в зале ; 3400 
 76 ; 15 копеек ; 1765 ; ММД ; Ag ; VF-XF ; 24 ; картуш ; 10098 
 77 ; 15 копеек. В капсуле NGC ; 1908 ; СПБ ЭБ ; Ag ; MS62 ; 18 ; Olmi ; 3015 
 78 ; Гривенник ; 1772 ; СПБ TI ; Ag ; VF-XF ; 37 ; Isay ; 12240 
 79 ; Гривенник ; 1785 ; СПБ ; Ag ; VF-XF ; 27 ; taa ; 3003 
 80 ; 10 копеек ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 37 ; Продано в зале ; 24000 
 81 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 18 ; нумизмат ; 2256 
 82 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 12 ; Продано в зале ; 1500 
 83 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 20 ; taa ; 4284 
 84 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 18 ; Продано в зале ; 5200 
 85 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 30 ; Продано в зале ; 8400 
 86 ; 10 копеек ; 1762 ;  ; Cu ; VF-XF ; 20 ; Продано в зале ; 78000 
 87 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; VF+ ; 43 ; Продано в зале ; 62000 
 88 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; Продано в зале ; 14000 
 89 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 18 ; Продано в зале ; 14000 
 90 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF- ; 8 ; ksv11 ; 10200 
 91 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 24 ; SSK ; 12111 
 92 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF- ; 27 ; РОЛЛС ; 7178 
 93 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF+ ; 58 ; dsidorov ; 20808 
 94 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF ; 39 ; Продано в зале ; 18000 
 95 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 35 ; Алексей Викторович ; 11322 
 96 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 34 ; Продано в зале ; 7000 
 97 ; 5 копеек (Петров-3р, Ильин-8р) ; 1767 ; СМ ; Cu ; VF+ ; 43 ; Продано в зале ; 44000 
 98 ; 5 копеек ; 1772 ; ЕМ ; Cu ; XF- ; 11 ; Продано в зале ; 1400 
 99 ; 5 копеек (Петров-10р, Ильин-2р) ; 1781 ; КМ ; Cu ; XF- ; 19 ; Продано в зале ; 11000 
 100 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 24 ; Продано в зале ; 5400 
 1 ; Новогородская полтина. L-64мм. М-100,03гр ;  ;  ; Ag ;  ; 23 ; Р У Б Л Ь ; 14283 
 2 ; 5 рублей. М-6,51г ; 1874 ; СПБ НI ; Au ; AU ; 29 ; Продано в зале ; 36000 
 3 ; 5 рублей. В капсуле PCGS ; 1909 ; (ЭБ) ; Au ; MS 64+ ; 33 ; int1965708 ; 29877 
 4 ; Рубль (Петров-10р) ; 1718 ; L OK ; Ag ; VF-XF ; 33 ; Продано в зале ; 62000 
 5 ; Рубль (Петров-3р) ; 1720 ;  ; Ag ; XF ; 50 ; Продано в зале ; 86000 
 6 ; Рубль (Петров-10р) ; 1720 ; OK ; Ag ; VF-XF ; 10 ; Продано в зале ; 78000 
 7 ; Рубль ; 1723 ;  ; Ag ; XF- ; 27 ; 1023oxana ; 40000 
 8 ; Рубль (Петров-4р) ; 1725 ; СПБ ; Ag ; VF+ ; 46 ; 4758 ; 122400 
 9 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 56 ; 4758 ; 38307 
 10 ; Рубль (Петров-4р, Ильин-3р) ; 1725 ; СПБ ; Ag ; VF-XF ; 28 ; Продано в зале ; 42000 
 11 ; Рубль ; 1726 ; СПБ ; Ag ; VF ; 25 ; Продано в зале ; 32000 
 12 ; Рубль (Петров-25р, Ильин-8р) ; 1726 ; СПБ ; Ag ; VF ; 52 ; Продано в зале ; 112000 
