 28 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF-XF ; 72 ; verunk1 ; 18214 
 29 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 34 ; Продано в зале ; 5600 
 30 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF-XF ; 47 ; Prus. ; 2550 
 31 ; 5 копеек (Петров-5р, Ильин-5р) ; 1767 ; ММ ; Cu ; F-VF ; 37 ; Продано в зале ; 14000 
 32 ; 5 копеек (Петров-3р, Ильин-5р) ; 1767 ; СПМ ; Cu ; VF ; 25 ; Продано в зале ; 9000 
 33 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF-XF ; 17 ; seimens ; 726 
 34 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 9 ; dav_79_2010 ; 2856 
 35 ; 5 копеек ; 1783 ; КМ ; Cu ; VF-XF ; 5 ; seimens ; 1836 
 36 ; 5 копеек. В капсуле NGC ; 1784 ; ЕМ ; Cu ; MS 62 ; 47 ; verunk1 ; 7939 
 37 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 9 ; seimens ; 1836 
 38 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 17 ; Продано в зале ; 2800 
 39 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 7 ; seimens ; 2550 
 40 ; 5 копеек. В капсуле NGC ; 1787 ; КМ ; Cu ; MS 62 ; 36 ; verunk1 ; 8369 
 41 ; 5 копеек ; 1787 ; ТМ ; Cu ; VF ; 17 ; au ; 35700 
 42 ; 5 копеек ; 1789 ; КМ ; Cu ; XF ; 27 ; Продано в зале ; 9500 
 43 ; 5 копеек ; 1791 ; КМ ; Cu ; XF- ; 17 ; Продано в зале ; 2900 
 44 ; 5 копеек ; 1792 ; КМ ; Cu ; XF- ; 11 ; Продано в зале ; 5500 
 45 ; 5 копеек ; 1793 ; КМ ; Cu ; XF- ; 8 ; Продано в зале ; 3000 
 46 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 11 ; Sky2 ; 2039 
 47 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 35 ; Продано в зале ; 12000 
 48 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 31 ; alex-05 ; 3186 
 49 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 11 ; seimens ; 2177 
 50 ; 5 копеек ; 1806 ; ЕМ ; Cu ; XF- ; 20 ; zima ; 2856 
