 75 ; Деньга ; 1818 ; ЕМ НМ ; Cu ; XF ; 36 ; al69 ; 3124 
 76 ; 10 копеек ; 1819 ; СПБ ПС ; Ag ; VF+ ; 24 ; al69 ; 1171 
 77 ; Двойной абаз ; 1820 ; АТ Грузия ; Ag ; VF-XF ; 31 ; Участник № 140 ; 9200 
 78 ; Рубль ; 1822 ; СПБ ПД ; Ag ; AU ; 58 ; Участник № 392 ; 26000 
 79 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 10 ; Участник № 4 ; 750 
 80 ; 5 копеек ; 1834 ; СМ ; Cu ; VF ; 46 ; Участник № 51 ; 2100 
 81 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 24 ; Участник № 1389 ; 1500 
 82 ; Рубль ; 1844 ; MW ; Ag ; XF ; 20 ; Участник № 51 ; 6500 
 83 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF- ; 24 ; нумизмат ; 5526 
 84 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; VF-XF ; 25 ; kollega ; 1700 
 85 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF-/VF-XF ; 56 ; kollega ; 5200 
 86 ; Полтина (ПОАТИНА) ; 1855 ; СПБ HI ; Ag ; XF- ; 45 ; Участник № 392 ; 9500 
 87 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 16 ; kollega ; 1780 
 88 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 23 ; dimon46 ; 3251 
 89 ; 2 копейки ; 1859 ; ВМ ; Cu ; VF- ; 18 ; FVS ; 920 
 90 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 36 ; Участник № 392 ; 3400 
 91 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 17 ; Участник № 1699 ; 700 
 92 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 26 ; Участник № 51 ; 1150 
 93 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 27 ; Участник № 51 ; 850 
 94 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 24 ; Artem21rus ; 5077 
 95 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 19 ; maka ; 1300 
 96 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 5 ; Участник № 51 ; 1000 
 97 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 26 ; Участник № 51 ; 1600 
 98 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 55 ; Участник № 1389 ; 1300 
 99 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 29 ; Участник № 392 ; 950 
 100 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 34 ; vvt ; 1838 
 1 ; Денга ; 1702 ;  ; Cu ; F-VF ; 79 ; molodoy ; 1625 
 2 ; Копейка ; 1705 ; МД ; Cu ; VF+ ; 58 ; 439 ; 2032 
 3 ; Денга ; 1705 ;  ; Cu ; F-VF ; 21 ; molodoy ; 1000 
 4 ; Полушка. Аверс/Реверс 45 градусов ; 1707 ;  ; Cu ; F-VF ; 17 ; Участник № 1699 ; 1100 
 5 ; Копейка ; 1711 ; ·Б·К· ; Cu ; VF+ ; 86 ; Prostota ; 3000 
 6 ; Копейка ; 1712 ; ·Б·К· ; Cu ; VF ; 32 ; SSK ; 3060 
 7 ; Денга ; 1712 ;  ; Cu ; VF- ; 49 ; coinlover ; 1532 
 8 ; Копейка (Петров-8р, Ильин-3р) ; 1713 ; Б К ; Cu ; F-VF ; 79 ; Prostota ; 6000 
 9 ; Копейка ; 1713 ; М Д ; Cu ; VF+ ; 57 ; Участник № 51 ; 3400 
 10 ; Копейка ; 1714 ; НД ; Cu ; VF+ ; 106 ; Участник № 2 ; 3600 
 11 ; Рубль (Петров-4р, Ильин-3р) ; 1725 ; СПБ ; Ag ; VF+ ; 81 ; хъ0 ; 38500 
 12 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF- ; 23 ; alex15 ; 5000 
 13 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 63 ; джокер ; 3650 
 14 ; Денга ; 1730 ;  ; Cu ; XF+ ; 13 ; zigzag ; 9282 
 15 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; XF ; 59 ; zigzag ; 3672 
 16 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 38 ; 383838 ; 14847 
 17 ; Рубль ; 1733 ;  ; Ag ; XF- ; 50 ; int1965708 ; 20400 
 18 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 21 ; sd555 ; 14011 
 19 ; Гривна (Петров-5р, Ильин-4р) ; 1741 ; ММД ; Ag ; F-VF ; 53 ; ААФ ; 31093 
 20 ; Рубль ; 1748 ; СПБ ; Ag ; VF+/VF-XF ; 20 ; sd555 ; 15932 
 21 ; Рубль (Петров-3,5р) ; 1751 ; ММД А ; Ag ; VF-XF ; 39 ; СВл ; 20400 
 22 ; Рубль ; 1753 ; СПБ ЯI ; Ag ; VF+ ; 21 ; leo 2 ; 17340 
 23 ; Копейка ; 1756 ; СПБ ; Cu ; VF- ; 55 ; double ; 4947 
 24 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF ; 34 ; al69 ; 4590 
 25 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF ; 79 ; SSK ; 1226 
 26 ; 2 копейки ; 1758 ;  ; Cu ; VF ; 17 ; швед ; 1581 
 27 ; Копейка ; 1759 ;  ; Cu ; VF ; 33 ; Участник № 1390 ; 900 
 28 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF+ ; 48 ; Участник № 1389 ; 14000 
 29 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF+ ; 10 ; Участник № 140 ; 2000 
 30 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF- ; 49 ; al69 ; 16000 
 31 ; 5 копеек ; 1764 ; ЕМ ; Cu ; VF+ ; 80 ; Участник № 2 ; 2100 
 32 ; 5 копеек ; 1765 ; ЕМ ; Cu ; VF+ ; 7 ; Prostota ; 357 
 33 ; 5 копеек ; 1765 ; СМ ; Cu ; VF ; 75 ; SSK ; 2663 
 34 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF+ ; 17 ; FVS ; 4070 
 35 ; 5 копеек (Петров-5р, Ильин-5р) ; 1767 ; ММ ; Cu ; VF- ; 23 ; 3458 ; 9182 
 36 ; 2 копейки (Петров-15р, Ильин-8р) ; 1767 ; "Сибирь" ; Cu ; VF- ; 38 ; Участник № 51 ; 11500 
 37 ; Копейка ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 106 ; 3458 ; 1200 
 38 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; VF+ ; 8 ; sg1945 ; 7000 
 39 ; 2 копейки ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 112 ; 3458 ; 1838 
 40 ; Денга ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 61 ; hugo ; 5111 
 41 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 121 ; 3458 ; 1968 
 42 ; 2 копейки ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 69 ; 3458 ; 3314 
 43 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF ; 49 ; Участник № 1718 ; 4600 
 44 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 30 ; Участник № 2 ; 8500 
 45 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF- ; 30 ; Участник № 1389 ; 16000 
 46 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 22 ; Участник № 1344 ; 5000 
 47 ; Рубль ; 1779 ; СПБ ФЛ ; Ag ; AU/XF ; 31 ; 108 ; 28093 
 48 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 40 ; Prostota ; 1409 
 49 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF+ ; 41 ; Prostota ; 2246 
 50 ; 5 копеек ; 1782 ; КМ ; Cu ; XF- ; 15 ; Участник № 1699 ; 2100 
