 83 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 39 ; Продано в зале ; 4200 
 84 ; 5 копеек (Петров-2,5р) ; 1806 ; КМ ; Cu ; VF+ ; 13 ; Продано в зале ; 7000 
 85 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; XF- ; 22 ; Isay ; 8120 
 86 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 7 ; double ; 3060 
 87 ; 5 копеек. В пластиковой капсуле PCGS ; 1833 ; ЕМ ФХ ; Cu ; MS62 ; 25 ; dsidorov ; 15242 
 88 ; 5 копеек ; 1865 ; ЕМ ; Cu ; AU ; 52 ; Продано в зале ; 16000 
 89 ; 4 копейки ; 1762 ;  ; Cu ; VF+ ; 29 ; Продано в зале ; 26000 
 90 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 17 ; seimens ; 1247 
 91 ; 2 копейки (Петров-30р, Ильин-20р) ; 1788 ; ТМ ; Cu ; F+ ; 41 ; double ; 23559 
 92 ; 2 копейки (Петров-2р, Ильин-3р) ; 1789 ; АМ ; Cu ; F-VF ; 11 ; Димон 77 ; 4600 
 93 ; 2 копейки ; 1797 ; КМ ; Cu ; VF-XF ; 9 ; seimens ; 1835 
 94 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 7 ; seimens ; 1893 
 95 ; 2 копейки ; 1799 ; КМ ; Cu ; VF-XF ; 9 ; seimens ; 2400 
 96 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 3 ; seimens ; 1835 
 97 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 19 ; acad ; 10000 
 98 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF_ ; 11 ; Продано в зале ; 3800 
 99 ; Копейка (Петров-20р, Ильин-8р) ; 1724 ;  ; Cu ; F- ; 53 ; Продано в зале ; 52000 
 100 ; Копейка ; 1755 ; ММД ; Cu ; VF_ ; 17 ; Продано в зале ; 7800 
 1 ; 5 рублей. М-6,54г ; 1842 ; СПБ АЧ ; Au ; AU ; 37 ; каламбурчик ; 38000 
 2 ; 5 рублей. М-6,51г ; 1870 ; СПБ НI ; Au ; AU ; 49 ; картуш ; 49164 
 3 ; Полтина. М-0,62г ; 1777 ; "Для дворцового обихода" ; Au ; XF ; 52 ; картуш ; 27544 
 4 ; Рубль ; 1719 ; OK ; Ag ; VF- ; 59 ; Продано в зале ; 23000 
 5 ; Рубль ; 1724 ;  ; Ag ; VF+ ; 31 ; vitapool ; 22222 
 6 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 18 ; 4758 ; 35555 
 7 ; Рубль ; 1727 ; СПБ ; Ag ; VF-XF ; 18 ; Продано в зале ; 38000 
 8 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 22 ; Хаа ; 21624 
 9 ; Рубль ; 1733 ;  ; Ag ; XF+_ ; 37 ; Продано в зале ; 48000 
 10 ; Рубль. Идеализированный портрет ; 1734 ;  ; Ag ; XF- ; 25 ; Продано в зале ; 42000 
 11 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 12 ; Рубль ; 1736 ;  ; Ag ; XF+ ; 37 ; ddv tv ; 40362 
 13 ; Рубль ; 1742 ; СПБ ; Ag ; XF+ ; 31 ; icebreaker ; 70380 
 14 ; Рубль ; 1746 ; СПБ ; Ag ; XF ; 27 ; INRI ; 27642 
 15 ; Рубль ; 1749 ; ММД ; Ag ; XF- ; 33 ; Продано в зале ; 27000 
 16 ; Рубль ; 1751 ; СПБ IM ; Ag ; VF-XF ; 22 ; double ; 17700 
 17 ; Рубль ; 1753 ; ММД IП ; Ag ; XF ; 23 ; Продано в зале ; 33000 
 18 ; Рубль ; 1756 ; ММД МБ ; Ag ; VF-XF ; 32 ; Продано в зале ; 28000 
 19 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; XF ; 28 ; Димон 77 ; 18054 
 20 ; Рубль ; 1758 ; СПБ ЯI TI ; Ag ; XF ; 18 ; Продано в зале ; 75000 
 21 ; Рубль ; 1764 ; ММД EI TI ; Ag ; XF ; 43 ; ruba ; 26010 
 22 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF+ ; 41 ; ruba ; 49980 
 23 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 34 ; CU77 ; 21930 
 24 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF ; 31 ; dav_79_2010 ; 22238 
 25 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF- ; 28 ; Продано в зале ; 7500 
 26 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 32 ; Продано в зале ; 9000 
 27 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 23 ; torbey ; 9500 
 28 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF ; 21 ; Продано в зале ; 9500 
 29 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 28 ; Sky2 ; 14000 
 30 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF ; 18 ; Димон 77 ; 8500 
 31 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 24 ; нумизмат ; 9623 
 32 ; Рубль ; 1896 ; ( * ) ; Ag ; XF ; 22 ; 0987654321 ; 5103 
 33 ; Рубль ; 1898 ; ( * ) ; Ag ; XF ; 35 ; Продано в зале ; 8000 
 34 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF ; 30 ; 0987654321 ; 13849 
 35 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 36 ; Продано в зале ; 22000 
 36 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; XF- ; 12 ; Sky2 ; 3162 
 37 ; Полтина (Пкетров-3,5р) ; 1723 ;  ; Ag ; VF+ ; 52 ; Продано в зале ; 28000 
 38 ; Полтина ; 1733 ;  ; Ag ; XF- ; 47 ; 67 ; 53040 
 39 ; Полтина (Петров-2,5р, Ильин-3р) ; 1738 ;  ; Ag ; VF-XF ; 31 ; Продано в зале ; 34000 
 40 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU ; 42 ; StrongTrading ; 19584 
 41 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF/AU ; 21 ; Продано в зале ; 11000 
 42 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 31 ; serg2010 ; 2313 
 43 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 51 ; каламбурчик ; 4928 
 44 ; 20 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 41 ; verunk1 ; 4584 
 45 ; 15 копеек ; 1767 ; ММД ; Ag ; VF-XF ; 33 ; Продано в зале ; 14000 
 46 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 9 ; Продано в зале ; 4000 
 47 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 11 ; Продано в зале ; 4800 
 48 ; Гривенник ; 1746 ;  ; Ag ; VF-XF ; 17 ; Продано в зале ; 2600 
 49 ; Гривенник ; 1747 ;  ; Ag ; XF- ; 11 ; Продано в зале ; 2600 
 50 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 22 ; Продано в зале ; 2300 
