 260 ; 25 копеек ; 1875 ; СПБ HI ; Ag ; VF+ ; 29 ; Dss ; 22950 
 261 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 9 ; Участник № 606 ; 1200 
 262 ; 15 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 30 ; Участник № 30 ; 5000 
 263 ; 5 копеек ; 1875 ; ЕМ ; Cu ; VF+ ; 15 ; AAE2006 ; 1100 
 264 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 3 ; Участник № 606 ; 1500 
 265 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; XF- ; 11 ; Участник № 133 ; 4800 
 266 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; AU ; 23 ; fikus ; 2493 
 267 ; Рубль ; 1877 ; СПБ HI ; Ag ; AU ; 11 ; Участник № 30 ; 19000 
 268 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF ; 19 ; AAE2006 ; 6122 
 269 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 17 ; PSP ; 2222 
 270 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 45 ; Dss ; 10211 
 271 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF+ ; 19 ; Участник № 1177 ; 6000 
 272 ; Полтина ; 1878 ; СПБ НФ ; Ag ; XF+ ; 41 ; Dss ; 9384 
 273 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 13 ; Dss ; 10710 
 274 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; VF-XF ; 46 ; лопух ; 7808 
 275 ; Рубль ; 1879 ; СПБ НФ ; Ag ; VF+ ; 40 ; Участник № 147 ; 13000 
 276 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 17 ; tisa66 ; 2040 
 277 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; VF-XF ; 24 ; krokodil ; 1813 
 278 ; Рубль ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 15 ; Dss ; 13250 
 279 ; Полтина ; 1880 ; СПБ НФ ; Ag ; XF ; 32 ; toto ; 9180 
 280 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 14 ; Участник № 133 ; 2600 
 281 ; 1/2 копейки ; 1880 ; СПБ ; Cu ; AU ; 14 ; Участник № 133 ; 1900 
 282 ; 20 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 18 ; Участник № 136 ; 4800 
 283 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 15 ; Участник № 1176 ; 12000 
 284 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 13 ; Участник № 636 ; 6500 
 285 ; 5 копеек ; 1883 ; СПБ ДС ; Ag ; XF- ; 15 ; Участник № 636 ; 4600 
 286 ; 10 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 23 ; max7421 ; 12546 
 287 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 11 ; 61К ; 1134 
 288 ; 3 копейки ; 1884 ; СПБ ; Cu ; XF- ; 20 ; андрейх ; 3333 
 289 ; Копейка ; 1884 ; СПБ ; Cu ; XF ; 15 ; int1965708 ; 3853 
 290 ; Рубль ; 1885 ; СПБ АГ ; Ag ; AU ; 41 ; Участник № 1179 ; 20000 
 291 ; 10 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 23 ; max7421 ; 10812 
 292 ; 2 копейки ; 1885 ; СПБ ; Cu ; XF ; 17 ; int1965708 ; 2700 
 293 ; 5 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 40 ; tisa66 ; 2040 
 294 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 9 ; fikus ; 2601 
 295 ; Рубль ; 1887 ; (АГ) ; Ag ; VF+ ; 38 ; Участник № 18 ; 19000 
 296 ; Копейка ; 1887 ; СПБ ; Cu ; AU ; 13 ; ZOLTAN333 ; 2267 
 297 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; AU ; 10 ; o.k. ; 1455 
 298 ; 1/4 копейки ; 1888 ; СПБ ; Cu ; XF+ ; 26 ; Участник № 9 ; 6000 
 299 ; 5 рублей ; 1889 ; (АГ) Борода короче ; Au ; XF ; 31 ; Участник № 606 ; 22000 
 300 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 22 ; Участник № 606 ; 700 
 201 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+ ; 15 ; Участник № 1179 ; 9000 
 202 ; Полтина ; 1854 ; СПБ HI ; Ag ; VF-XF ; 48 ; AAE2006 ; 7500 
 203 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF- ; 35 ; Участник № 1179 ; 14000 
 204 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF+/XF ; 31 ; Участник № 42 ; 9000 
 205 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU/XF+ ; 5 ; Участник № 606 ; 3000 
 206 ; 2 копейки ; 1855 ; ВМ ; Cu ; VF+ ; 11 ; Участник № 136 ; 2100 
 207 ; Копейка ; 1855 ; ВМ ; Cu ; XF+ ; 13 ; ААФ ; 3200 
 208 ; Денежка ; 1855 ; ЕМ ; Cu ; XF ; 13 ; toto ; 906 
 209 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF ; 25 ; Участник № 1179 ; 17000 
 210 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF+ ; 21 ; Участник № 18 ; 3800 
 211 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 26 ; Участник № 18 ; 3800 
 212 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 8 ; Участник № 133 ; 4200 
 213 ; Копейка ; 1856 ; ЕМ ; Cu ; VF+ ; 15 ; toto ; 793 
 214 ; Денежка ; 1856 ; ВМ ; Cu ; VF+ ; 24 ; Dss ; 3162 
 215 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 37 ; Участник № 606 ; 6000 
 216 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU/XF+ ; 16 ; Участник № 133 ; 3200 
 217 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 11 ; Участник № 133 ; 3000 
 218 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 22 ; Участник № 42 ; 8500 
 219 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 29 ; Dss ; 6279 
 220 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; XF- ; 52 ; Dss ; 10199 
 221 ; Рубль ; 1859 ; На открытие памятника Николаю  ; Ag ; VF-XF ; 33 ; ghjk ; 65000 
 222 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 25 ; Участник № 133 ; 11000 
 223 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 34 ; Участник № 18 ; 32000 
 224 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF- ; 11 ; Участник № 545 ; 1500 
 225 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 25 ; AAE2006 ; 1532 
 226 ; 2 копейки ; 1859 ; ВМ ; Cu ; VF ; 30 ; Dss ; 4090 
 227 ; Копейка ; 1859 ; ВМ ; Cu ; VF ; 12 ; ААФ ; 1708 
 228 ; Денежка ; 1859 ; ЕМ ; Cu ; XF- ; 29 ; Dss ; 4533 
 229 ; Полушка (Ильин-1р) ; 1859 ; ЕМ ; Cu ; XF+ ; 65 ; cash ; 5541 
 230 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; XF- ; 18 ; Участник № 606 ; 2600 
 231 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 23 ; Участник № 136 ; 2100 
 232 ; 15 копеек ; 1860 ; СПБ ФБ.  Особый тип герба ; Ag ; XF ; 11 ; Участник № 133 ; 3400 
 233 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 23 ; 61К ; 4590 
 234 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF-XF ; 15 ; Участник № 1168 ; 1300 
 235 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 15 ; vvt ; 3318 
 236 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 23 ; max7421 ; 2800 
 237 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 15 ; max7421 ; 3526 
 238 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 21 ; 61К ; 7142 
 239 ; Копейка ; 1861 ; ВМ ; Cu ; VF-XF ; 20 ; Dss ; 4200 
 240 ; Денежка ; 1861 ; ВМ ; Cu ; VF+ ; 14 ; Участник № 133 ; 2800 
 241 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 27 ; Участник № 9 ; 2800 
 242 ; 3 копейки. Инкузный след от застрявшей в штемпеле монеты ; 1862 ; ЕМ ; Cu ; VF- ; 16 ; Участник № 545 ; 1200 
 243 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU/XF+ ; 7 ; Участник № 9 ; 2000 
 244 ; 2 копейки ; 1863 ; ВМ ; Cu ; VF ; 17 ; cash ; 2720 
 245 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 15 ; AAE2006 ; 522 
 246 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 11 ; dimon46 ; 3400 
 247 ; 2 копейки ; 1865 ; ЕМ ; Cu ; XF- ; 19 ; Участник № 30 ; 2400 
 248 ; 15 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 49 ; Dss ; 10202 
 249 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; XF+ ; 32 ; krokodil ; 2856 
 250 ; 15 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 19 ; AVA01 ; 7000 
 151 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 20 ; AAE2006 ; 7167 
 152 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; VF-XF ; 9 ; PSP ; 1328 
