 6552 ; В.В. Уздеников. Монеты России 1700-1917гг. Издательство: "Финансы и статистика". Москва 1986 ;  ;  ;  ;  ; 50 ; Reks ; 326 
 6553 ; К.Е. Халин. Ордена и медали России. Издательство: ООО "Дом Славянской книги". Москва 2006 ;  ;  ;  ;  ; 40 ; бюрократ ; 906 
 6554 ; Каталог по банкнотам СНГ, России и СССР. 2010г ;  ;  ;  ;  ; 25 ; dimam_kz ; 340 
 6555 ; Аукционный каталог Fritz Rudolf Kuenker. Аукцион 305. 20/21 марта 2018 ;  ;  ;  ;  ; 7 ; неРио ; 55 
 6556 ; Каталог playrul pin-ups ;  ;  ;  ;  ; 33 ; lenohota ; 1299 
 6557 ; Dian Hanson s. Butt Book ;  ;  ;  ;  ; 15 ; Kartu ; 842 
 6558 ; Erotik. In der modernen fotografie. Band 2 ;  ;  ;  ;  ; 17 ; 462 ; 906 
 6559 ; Оптовый лот, 48 книг (12 коробок).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 47 ; ghjghj26 ; 49686 
 6560 ; Оптовый лот, 30 книг (5 коробок).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 23 ; оптовик ; 8524 
 6561 ; Оптовый лот, 100 книг (5 коробок). Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 16 ; zabor ; 17850 
 6562 ; Оптовый лот, 140 книг (2 коробки). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов ;  ;  ;  ;  ; 7 ; оптовик ; 4050 
 6502 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 22 ; 2372 ; 204 
 6503 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 29 ; lsp25 ; 240 
 6504 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 13 ; Матроскин ; 183 
 6505 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 20 ; О)(ОТНИК ; 171 
 6506 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 15 ; vjacha ; 175 
 6507 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 15 ; пасечник ; 175 
 6508 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 49 ; vjacha ; 2027 
 6509 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 25 ; NUMIZMAT 777 ; 2093 
 6510 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 19 ; vjacha ; 330 
 6511 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 20 ; Mikkii ; 348 
 6512 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 72 ; vjacha ; 837 
 6513 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 58 ; vjacha ; 459 
 6514 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 11 ; круча ; 266 
 6515 ; Монеты России в экспозиции Музея денежного обращения "Конрос" ;  ;  ;  ;  ; 17 ; aleksandr733 ; 171 
 6516 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 25 ; maorly ; 51 
