 189 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 17 ; AAE2006 ; 2222 
 190 ; 2 копейки ; 1896 ; СПБ ; Cu ; AU ; 59 ; ZAC ; 8840 
 191 ; Рубль ; 1897 ; (АГ) ; Ag ; XF- ; 25 ; PSP ; 4533 
 192 ; Рубль ; 1899 ; (ФЗ) ; Ag ; VF-XF ; 58 ; sas ; 7087 
 193 ; Рубль. В капсуле ANACS ; 1899 ; (ФЗ) ; Ag ; AU 53 ; 14 ; AAE2006 ; 7142 
 194 ; Полтина ; 1899 ; (ЭБ) АГ ; Ag ; VF ; 7 ; Участник № 54 ; 650 
 195 ; Полтина ; 1897 ; ( * ) ; Ag ; XF- ; 23 ; sail ; 4000 
 196 ; 3 копейки ; 1908 ; СПБ ; Cu ; XF ; 23 ; 1999 ; 1128 
 197 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 36 ; AAE2006 ; 84905 
 198 ; Копейка ; 1913 ; СПБ ; Cu ; AU ; 11 ; sem ; 612 
 199 ; 2 копейки ; 1914 ; СПБ ; Cu ; AU ; 17 ; Участник № 720 ; 800 
 200 ; 2 копейки ; 1915 ;  ; Cu ; AU ; 13 ; sem ; 663 
 101 ; Двойной абаз ; 1813 ; АТ Грузия ; Ag ; VF+ ; 24 ; Участник № 9 ; 22000 
 102 ; 2 копейки ; 1813 ; ЕМ НМ ; Cu ; VF-XF ; 9 ; кабан ; 113 
 103 ; 2 копейки ; 1813 ; СПБ ПС ; Cu ; VF-XF ; 5 ; кабан ; 818 
 104 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; VF+ ; 3 ; кабан ; 500 
 105 ; Копейка (Петров-10р, Ильин-8р) ; 1813 ; ЕМ НМ ; Cu ; VF- ; 50 ; пан ; 20476 
 106 ; 2 копейки ; 1814 ; ЕМ НМ ; Cu ; VF+/VF- ; 11 ; кабан ; 204 
 107 ; 2 копейки ; 1814 ; КМ АМ ; Cu ; VF-XF ; 7 ; ZAC ; 2550 
 108 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF+ ; 3 ; кабан ; 204 
 109 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 12 ; Гарик ; 2500 
 110 ; 2 копейки ; 1815 ; ЕМ НМ ; Cu ; XF-/VF+ ; 5 ; AAE2006 ; 1019 
 111 ; 2 копейки ; 1816 ; ЕМ НМ ; Cu ; VF+ ; 11 ; андрейх ; 1019 
 112 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF+/XF- ; 33 ; Kolya-kms ; 16322 
 113 ; 2 копейки ; 1818 ; КМ ДБ ; Cu ; VF+ ; 19 ; ZAC ; 4529 
 114 ; 2 копейки ; 1820 ; ЕМ НМ ; Cu ; VF-XF ; 5 ; igorf ; 1134 
 115 ; 2 копейки ; 1822 ; КМ АМ ; Cu ; XF- ; 15 ; Участник № 222 ; 10000 
 116 ; 2 копейки ; 1823 ; КМ АМ ; Cu ; VF+ ; 7 ; кабан ; 400 
 117 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF- ; 13 ; AAE2006 ; 5100 
 118 ; 2 копейки ; 1825 ; КМ АМ ; Cu ; VF+ ; 9 ; ZAC ; 3774 
 119 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 21 ; finger ; 11730 
 120 ; 2 копейки ; 1826 ; КМ АМ ; Cu ; VF-XF ; 5 ; Участник № 51 ; 4200 
 121 ; 2 копейки ; 1827 ; ЕМ ИК ; Cu ; XF- ; 7 ; Участник № 51 ; 1600 
 122 ; 2 копейки ; 1829 ; ЕМ ИК ; Cu ; XF ; 9 ; ZAC ; 2267 
 123 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF+ ; 7 ; priwet ; 408 
 124 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 28 ; azef ; 5200 
 125 ; 5 копеек ; 1831 ; СМ ; Cu ; VF- ; 21 ; Участник № 51 ; 5200 
 126 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF+/XF ; 21 ; Girus_ ; 15928 
 127 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 15 ; тнн ; 8046 
 128 ; 10 копеек (Ильин-3р) ; 1835 ; СМ ; Cu ; F-VF ; 16 ; Участник № 51 ; 2600 
 129 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF- ; 24 ; Kolya-kms ; 10012 
 130 ; 10 копеек (Ильин-2р) ; 1836 ; СМ ; Cu ; F-VF ; 7 ; кабан ; 6000 
 131 ; Дукат. Нидерланды. Петербургский чекан. Признаки по Узденикову: 1, 5, 17 ; 1839 ;  ; Au ; XF+ ; 28 ; Участник № 222 ; 26000 
 132 ; Полтина ; 1839 ; СПБ НГ ; Ag ; VF-XF ; 15 ; PSP ; 4284 
 133 ; 2 копейки (Ильин-1р) ; 1839 ; СМ ; Cu ; VF- ; 4 ; пан ; 521 
 134 ; Копейка ; 1840 ; СПМ ; Cu ; VF+ ; 25 ; sem ; 510 
 135 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; XF+ ; 13 ; hummer ; 2267 
 136 ; 20 копеек (Ильин-6р) ; 1841 ; СПБ НГ ; Ag ; F-VF ; 22 ; пан ; 11334 
 137 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; XF- ; 15 ; Глол ; 2403 
 138 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 16 ; Глол ; 7140 
 139 ; 3 копейки (Ильин-3р) ; 1842 ; СМ ; Cu ; F-VF ; 11 ; SadKo ; 355 
 140 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU ; 35 ; hummer ; 17907 
 141 ; 2 копейки ; 1843 ; ЕМ ; Cu ; VF ; 7 ; кабан ; 1020 
 142 ; 2 копейки ; 1843 ; СМ ; Cu ; VF ; 9 ; ZAC ; 4533 
 143 ; Рубль ; 1844 ; MW ; Ag ; VF-XF ; 9 ; тнн ; 5791 
 144 ; Полтина ; 1845 ; MW ; Ag ; VF+ ; 35 ; Глол ; 24621 
 145 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 15 ; Участник № 51 ; 4800 
 146 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 96 ; finger ; 19633 
 147 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF+/XF ; 32 ; 25 ; 5500 
 148 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; XF ; 14 ; андрейх ; 2754 
 149 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 10 ; Участник № 222 ; 6500 
 150 ; 2 копейки ; 1851 ; ЕМ ; Cu ; VF-XF ; 9 ; Участник № 9 ; 2000 
 51 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 8 ; o.k. ; 1226 
 52 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 55 ; foma71 ; 3988 
 53 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 24 ; Участник № 51 ; 28000 
 54 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 69 ; Участник № 580 ; 34000 
 55 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF-XF ; 20 ; Участник № 51 ; 900 
 56 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF ; 21 ; ksv11 ; 2993 
 57 ; Денга ; 1785 ; КМ ; Cu ; VF ; 7 ; 25 ; 1134 
 58 ; 20 копеек ; 1786 ; СПБ ; Ag ; VF- ; 26 ; Глол ; 7344 
 59 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+/VF ; 27 ; Участник № 1 ; 1600 
 60 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 5 ; igorf ; 816 
 61 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 9 ; sas ; 612 
 62 ; 5 копеек ; 1789 ; АМ ; Cu ; VF+ ; 13 ; Участник № 51 ; 1800 
 63 ; 2 копейки ; 1789 ; ЕМ ; Cu ; F-VF ; 5 ; sas ; 510 
 64 ; Полушка ; 1789 ; ЕМ ; Cu ; VF ; 9 ; кабан ; 867 
 65 ; Копейка ; 1790 ; ЕМ ; Cu ; VF ; 3 ; кабан ; 1122 
 66 ; Денга ; 1791 ; КМ ; Cu ; F-VF ; 10 ; o.k. ; 1134 
 67 ; Полушка (Ильин-4р) ; 1791 ; КМ ; Cu ; F-VF ; 10 ; кабан ; 1532 
 68 ; Денга ; 1792 ; КМ ; Cu ; F-VF ; 9 ; 25 ; 2204 
 69 ; Гривенник ; 1793 ; СПБ ; Ag ; VF+ ; 34 ; Глол ; 14000 
 70 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 5 ; Участник № 66 ; 1600 
 71 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; F-VF ; 5 ; priwet ; 1587 
 72 ; 2 копейки (Ильин-8р, Петров-6р) ; 1793 ; АМ ; Cu ; F-VF/VF ; 9 ; кабан ; 8162 
 73 ; 5 копеек ; 1794 ; ЕМ ; Cu ; XF- ; 15 ; sas ; 1200 
 74 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 5 ; кабан ; 1224 
 75 ; Денга ; 1795 ; КМ ; Cu ; VF- ; 5 ; 25 ; 2030 
 76 ; 2 копейки ; 1797 ;  ; Cu ; VF+ ; 20 ; ksv11 ; 12240 
 77 ; 2 копейки ; 1797 ; АМ ; Cu ; VF+ ; 12 ; sas ; 1226 
 78 ; Деньга ; 1797 ; ЕМ ; Cu ; VF/VF+ ; 25 ; sinisha ; 1125 
 79 ; Полушка ; 1797 ; ЕМ ; Cu ; VF ; 39 ; ZAC ; 4087 
 80 ; Деньга ; 1798 ; ЕМ ; Cu ; XF+ ; 15 ; Глол ; 5100 
 81 ; 2 копейки ; 1801 ; ЕМ ; Cu ; VF+ ; 15 ; sas ; 450 
 82 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF- ; 20 ; Sky2 ; 9446 
 83 ; 5 копеек ; 1805 ; КМ ; Cu ; XF- ; 32 ; ZAC ; 39780 
 84 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; VF+ ; 29 ; Girus_ ; 29616 
 85 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 5 ; кабан ; 426 
 86 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 11 ; Kolya-kms ; 1224 
 87 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 7 ; кабан ; 1360 
 88 ; 2 копейки ; 1810 ; КМ ПБ ; Cu ; VF ; 13 ; Глол ; 8500 
 89 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 7 ; Глол ; 1226 
 90 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 11 ; igorf ; 2267 
 91 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF+ ; 3 ; Участник № 222 ; 2400 
 92 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; VF-XF ; 3 ; кабан ; 1000 
 93 ; 2 копейки ; 1811 ; СПБ МК ; Cu ; VF-XF ; 3 ; кабан ; 204 
