 14 ; Полтина ; 1827 ; СПБ НГ ; Ag ; VF+ ; 35 ; Продано в зале ; 9000 
 15 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF/AU ; 17 ; niki ; 19000 
 16 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; VF-XF ; 62 ; Продано в зале ; 42000 
 17 ; Полуполтинник ; 1747 ; ММД ; Ag ; XF- ; 57 ; Продано в зале ; 13000 
 18 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 30 ; рад ; 4203 
 19 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 24 ; ОСА ; 3431 
 20 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 89 ; Olimpia ; 18000 
 21 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 34 ; Продано в зале ; 20000 
 22 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 33 ; 345345 ; 9294 
 23 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 82 ; tisa66 ; 16101 
 24 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 38 ; sherst1 ; 4045 
 25 ; 15 копеек ; 1765 ; ММД ; Ag ; VF-XF ; 61 ; нумизмат ; 15926 
 26 ; 15 копеек ; 1766 ; ММД ; Ag ; VF-XF ; 32 ; Продано в зале ; 8000 
 27 ; 15 копеек ; 1767 ; ММД ; Ag ; VF-XF ; 56 ; Продано в зале ; 17000 
 28 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 44 ; нумизмат ; 10213 
 29 ; 15 копеек ; 1861 ; СПБ МИ ; Ag ; VF-XF ; 17 ; Продано в зале ; 8500 
 30 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 4600 
 31 ; Гривенник ; 1764 ;  ; Ag ; VF+ ; 32 ; Продано в зале ; 7500 
 32 ; Гривенник ; 1752 ; IШ ; Ag ; XF+ ; 30 ; Продано в зале ; 7000 
 33 ; 10 копеек ; 1813 ; СПБ ПС ; Ag ; XF+ ; 14 ; Продано в зале ; 6500 
 34 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 53 ; Olimpia ; 15652 
 35 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF+/XF ; 42 ; ОСА ; 3162 
 36 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 20 ; Продано в зале ; 6500 
 37 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 30 ; DAndy-2003 ; 3449 
 38 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 63 ; Продано в зале ; 9500 
 39 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 37 ; alien34 ; 4400 
 40 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 22 ; zuza ; 6630 
 41 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF/AU ; 9 ; sherst1 ; 4316 
 42 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU/XF ; 39 ; tisa66 ; 6800 
 43 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 28 ; swoon ; 3740 
 44 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 18 ; swoon ; 4962 
 45 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 9 ; sherst1 ; 5102 
 46 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 34 ; Продано в зале ; 14000 
 47 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 13000 
 48 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 21 ; Продано в зале ; 11000 
 49 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 24 ; Продано в зале ; 7000 
 50 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 25 ; Продано в зале ; 38000 
