 74 ; 10 копеек (Петров-1р) ; 1804 ; СПБ ФГ ; Ag ; VF+ ; 36 ; Продано в зале ; 15000 
 75 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 13 ; 211345 ; 4080 
 76 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 81 ; Iskatel ; 4590 
 77 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU/XF ; 33 ; каламбурчик ; 2346 
 78 ; 10 копеек. В капсуле ICG ; 1901 ; СПБ ФЗ ; Ag ; MS 64 ; 14 ; Продано в зале ; 6600 
 79 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 25 ; verunk1 ; 3039 
 80 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF-XF ; 21 ; Продано в зале ; 1800 
 81 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 47 ; antiquar ; 4590 
 82 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 17 ; antiquar ; 3642 
 83 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 14 ; каламбурчик ; 4647 
 84 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 85 ; 10 копеек, Сибирь ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 36 ; Продано в зале ; 8000 
 86 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 28 ; OMT ; 6120 
 87 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 17 ; SSK ; 2270 
 88 ; 5 копеек ; 1763 ; СМ ; Cu ; VF+ ; 23 ; corr ; 5000 
 89 ; 5 копеек (Ильин-3р) ; 1768 ; ММ ; Cu ; VF ; 23 ; kucz.79 ; 6000 
 90 ; 5 копеек ; 1770 ; ЕМ ; Cu ; XF- ; 22 ; Sky2 ; 1500 
 91 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF- ; 24 ; Продано в зале ; 6800 
 92 ; 5 копеек (Ильин-3р) ; 1779 ; ЕМ ; Cu ; VF ; 24 ; SSK ; 5202 
 93 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF-XF ; 30 ; OMT ; 4590 
 94 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 1500 
 95 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 12 ; Trien ; 2395 
 96 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF ; 19 ; Продано в зале ; 11000 
 97 ; 5 копеек ; 1867 ; СПБ ; Cu ; VF-XF ; 26 ; Продано в зале ; 8000 
 98 ; 5 копеек ; 1869 ; СПБ ; Cu ; XF- ; 19 ; Продано в зале ; 5800 
 99 ; 5 копеек ; 1869 ; ЕМ ; Cu ; VF-XF ; 49 ; OMT ; 1224 
 100 ; 5 копеек ; 1876 ; СПБ ; Cu ; VF-XF ; 56 ; OMT ; 3264 
 1 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 2 ; 10 рублей. В капсуле NGC ; 1898 ; (АГ) АГ ; Au ; MS 62 ; 57 ; Продано в зале ; 30000 
 3 ; 10 рублей. В капсуле NGC ; 1899 ; (АГ) АГ ; Au ; MS 63 ; 45 ; verunk1 ; 23244 
 4 ; 10 рублей. В капсуле NGC ; 1903 ; (АР) АГ ; Au ; MS 64 ; 44 ; Продано в зале ; 23000 
 5 ; 10 рублей. М-8,58 г ; 1904 ; (АР) АГ ; Au ; AU ; 9 ; каламбурчик ; 22800 
