 117 ; 5 копеек ; 1901 ; СПБ АР ; Ag ; VF-XF ; 16 ; Продано в зале ; 4750 
 118 ; 5 копеек В капсуле NGC ; 1912 ; СПБ ЭБ ; Ag ;  ; 23 ; Продано в зале ; 5750 
 119 ; 5 копеек В капсуле NGC ; 1914 ; СПБ ВС ; Ag ;  ; 34 ; NikTop ; 4600 
 120 ; Алтын. В капсуле ННР ; 1704 ; БК ; Ag ;  ; 22 ; sheff78 ; 19000 
 121 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 36 ; ваня ; 12240 
 122 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 53 ; partanen ; 3400 
 123 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF ; 49 ; 9525255-2 ; 4029 
 124 ; 5 копеек ; 1766 ; СМ ; Cu ; VF ; 57 ; Sky2 ; 3502 
 125 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 27 ; обморок ; 8000 
 126 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 22 ; Продано в зале ; 7000 
 127 ; 5 копеек ; 1782 ; КМ ; Cu ; XF- ; 17 ; Продано в зале ; 2000 
 128 ; 5 копеек ; 1786 ; КМ ; Cu ; XF ; 13 ; Чук ; 2600 
 129 ; 5 копеек ; 1788 ; КМ ; Cu ; VF-XF ; 19 ; SSK ; 2754 
 130 ; 5 копеек ; 1790 ; КМ ; Cu ; XF ; 10 ; SSK ; 3001 
 131 ; 5 копеек ; 1792 ; КМ ; Cu ; XF ; 10 ; Чук ; 3062 
 132 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 10 ; specta ; 6119 
 133 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 10 ; sm-dc ; 2607 
 134 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 16 ; Sky2 ; 3002 
 135 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF+ ; 33 ; Sky2 ; 2714 
 136 ; 5 копеек ; 1807 ; ЕМ ; Cu ; XF- ; 27 ; Alex22D ; 3600 
 137 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF+ ; 17 ; Продано в зале ; 1800 
 138 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 17 ; masterovoi ; 7140 
 139 ; 3 копейки. В капсуле NGC ; 1844 ; ЕМ ; Cu ;  ; 79 ; sheff78 ; 14000 
 140 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 37 ; CapsulЪ ; 2800 
 141 ; 3 копейки. В капсуле NGC ; 1880 ; СПБ ; Cu ;  ; 58 ; vic-dmitri ; 10000 
 142 ; 3 копейки ; 1908 ; СПБ ; Cu ; AU ; 61 ; Продано в зале ; 6500 
 143 ; 2 копейки ; 1758 ;  ; Cu ; VF- ; 21 ; Продано в зале ; 3200 
